id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_nero_09_1,d_counseling_nero_09,Monologue,0,nero,Locale_Counseling:d_counseling_nero_09_1,False,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,,,,,,,
d_counseling_nero_09_2,d_counseling_nero_09,Monologue,0,nero,Locale_Counseling:d_counseling_nero_09_2,False,,L_10,L_10,1.0,,,,,,,,,
d_counseling_nero_09_3,d_counseling_nero_09,Choice,100,nero,Locale_Counseling:d_counseling_nero_09_3,False,,L_10,L_10,1.0,,d_counseling_nero_09_5,,,,,,,
d_counseling_nero_09_4,d_counseling_nero_09,Choice,120,nero,Locale_Counseling:d_counseling_nero_09_4,False,,L_10,L_10,1.0,,d_counseling_nero_09_10,,,,,,,
d_counseling_nero_09_5,d_counseling_nero_09,Narration,0,nero,Locale_Counseling:d_counseling_nero_09_5,False,,L_10,L_10,1.0,,,sfx_scn_boxopen,,,,,,
d_counseling_nero_09_6,d_counseling_nero_09,Monologue,0,nero,Locale_Counseling:d_counseling_nero_09_6,False,,L_10,L_10,1.0,,,,,,,,,
d_counseling_nero_09_7,d_counseling_nero_09,Narration,0,nero,Locale_Counseling:d_counseling_nero_09_7,False,,L_10,L_100,1.0,,,sfx_scn_run,Low_2,,,,,
d_counseling_nero_09_8,d_counseling_nero_09,Self,0,nero,Locale_Counseling:d_counseling_nero_09_8,False,,L_100,L_100,1.0,,,,,,,,,
d_counseling_nero_09_9,d_counseling_nero_09,Monologue,0,nero,Locale_Counseling:d_counseling_nero_09_9,False,,L_100,L_100,1.0,,d_counseling_nero_09_17,,,,,,,
d_counseling_nero_09_10,d_counseling_nero_09,Narration,0,nero,Locale_Counseling:d_counseling_nero_09_10,False,,L_10,L_10,1.0,,,sfx_scn_boxopen,,,,,,
d_counseling_nero_09_11,d_counseling_nero_09,Monologue,0,nero,Locale_Counseling:d_counseling_nero_09_11,False,,L_10,L_10,1.0,,,,,,,,,
d_counseling_nero_09_12,d_counseling_nero_09,Narration,0,nero,Locale_Counseling:d_counseling_nero_09_12,False,,L_10,L_100,1.0,,,sfx_scn_run,Low_2,,,,,
d_counseling_nero_09_13,d_counseling_nero_09,Speech,0,nero,Locale_Counseling:d_counseling_nero_09_13,True,,L_100,L_100,1.0,,,,,nero,nero,1,shy,
d_counseling_nero_09_14,d_counseling_nero_09,Monologue,0,nero,Locale_Counseling:d_counseling_nero_09_14,False,,L_100,L_100,1.0,,,,,,,1,shy,
d_counseling_nero_09_15,d_counseling_nero_09,Self,0,nero,Locale_Counseling:d_counseling_nero_09_15,False,,L_100,L_100,1.0,,,,,,,1,shy,
d_counseling_nero_09_16,d_counseling_nero_09,Speech,0,nero,Locale_Counseling:d_counseling_nero_09_16,True,,L_100,L_100,1.0,,d_counseling_nero_09_17,,,nero,,1,shy,
d_counseling_nero_09_17,d_counseling_nero_09,Narration,0,nero,Locale_Counseling:d_counseling_nero_09_17,False,none,black,black,1.0,,,,,,,1,shy,nero
