id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_mori_17_1,d_counseling_mori_17,Narration,0,mori,Locale_Counseling:d_counseling_mori_17_1,False,CommanderRoom,S_100,S_10,1.0,sfx_scn_hungry,bgm_story_backtonormal,,,mori,1,idle,
d_counseling_mori_17_2,d_counseling_mori_17,Self,0,mori,Locale_Counseling:d_counseling_mori_17_2,False,,S_10,S_10,1.0,,,,,,1,idle,
d_counseling_mori_17_3,d_counseling_mori_17,Speech,0,mori,Locale_Counseling:d_counseling_mori_17_3,True,,S_10,S_10,1.0,,,mori,,,1,idle,
d_counseling_mori_17_4,d_counseling_mori_17,Speech,0,mori,Locale_Counseling:d_counseling_mori_17_4,False,,S_10,S_10,1.0,,,mori,,,1,idle,
d_counseling_mori_17_5,d_counseling_mori_17,Narration,0,mori,Locale_Counseling:d_counseling_mori_17_5,False,,S_10,S_10,1.0,sfx_scn_hungry,,,,,1,shy_02,
d_counseling_mori_17_6,d_counseling_mori_17,Choice,100,mori,Locale_Counseling:d_counseling_mori_17_6,False,,S_10,S_10,1.0,,,,d_counseling_mori_17_8,,1,shy_02,
d_counseling_mori_17_7,d_counseling_mori_17,Choice,120,mori,Locale_Counseling:d_counseling_mori_17_7,False,,S_10,S_10,1.0,,,,d_counseling_mori_17_11,,1,shy_02,
d_counseling_mori_17_8,d_counseling_mori_17,Speech,0,mori,Locale_Counseling:d_counseling_mori_17_8,True,,S_10,S_100,0.7,,,mori,,,1,shy_02,
d_counseling_mori_17_9,d_counseling_mori_17,Narration,0,mori,Locale_Counseling:d_counseling_mori_17_9,False,,S_100,S_100,1.0,,,,,,1,shy_02,
d_counseling_mori_17_10,d_counseling_mori_17,Speech,0,mori,Locale_Counseling:d_counseling_mori_17_10,False,,S_100,S_100,1.0,,,mori,d_counseling_mori_17_16,,1,shy_02,
d_counseling_mori_17_11,d_counseling_mori_17,Speech,0,mori,Locale_Counseling:d_counseling_mori_17_11,True,,S_10,S_100,0.7,,,mori,,,1,surprise,
d_counseling_mori_17_12,d_counseling_mori_17,Speech,0,mori,Locale_Counseling:d_counseling_mori_17_12,True,,S_100,S_100,1.0,,,mori,,,1,surprise,
d_counseling_mori_17_13,d_counseling_mori_17,Narration,0,mori,Locale_Counseling:d_counseling_mori_17_13,False,,S_100,S_100,1.0,sfx_scn_catyummy,,,,,1,surprise,
d_counseling_mori_17_14,d_counseling_mori_17,Speech,0,mori,Locale_Counseling:d_counseling_mori_17_14,True,,S_100,S_100,1.0,,,mori,,,1,delight,
d_counseling_mori_17_15,d_counseling_mori_17,Speech,0,mori,Locale_Counseling:d_counseling_mori_17_15,True,,S_100,S_100,1.0,,,mori,d_counseling_mori_17_16,,1,delight,
d_counseling_mori_17_16,d_counseling_mori_17,Narration,0,mori,Locale_Counseling:d_counseling_mori_17_16,False,none,S_100,S_100,1.0,,,,,,1,idle,mori
