id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/hide_char_id
d_counseling_viper_05_1,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_1,True,viper,1,idle,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,
d_counseling_viper_05_2,d_counseling_viper_05,Monologue,0,viper,,Locale_Counseling:d_counseling_viper_05_2,False,,1,idle,,10,10,1.0,,Low_2,,
d_counseling_viper_05_3,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_3,True,,1,sad,,10,10,1.0,,,,
d_counseling_viper_05_4,d_counseling_viper_05,Monologue,0,viper,,Locale_Counseling:d_counseling_viper_05_4,False,,1,sad,,10,10,1.0,,Low_2,,
d_counseling_viper_05_5,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_5,True,,1,shy,,10,10,1.0,,,,
d_counseling_viper_05_6,d_counseling_viper_05,Monologue,0,viper,,Locale_Counseling:d_counseling_viper_05_6,False,,1,shy,,10,10,1.0,,Low_2,,
d_counseling_viper_05_7,d_counseling_viper_05,Choice,120,viper,,Locale_Counseling:d_counseling_viper_05_7,False,,1,shy,,10,10,1.0,,,d_counseling_viper_05_9,
d_counseling_viper_05_8,d_counseling_viper_05,Choice,100,viper,,Locale_Counseling:d_counseling_viper_05_8,False,,1,shy,,10,10,1.0,,,d_counseling_viper_05_13,
d_counseling_viper_05_9,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_9,True,,1,idle,,10,100,1.0,,Low_2,,
d_counseling_viper_05_10,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_10,True,,1,idle,,100,100,1.0,,,,
d_counseling_viper_05_11,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_11,True,,1,sad,,100,100,1.0,,,,
d_counseling_viper_05_12,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_12,True,,1,shy,,100,100,1.0,,,d_counseling_viper_05_16,
d_counseling_viper_05_13,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_13,True,,1,idle,,10,100,1.0,,,,
d_counseling_viper_05_14,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_14,True,,1,delight,,100,100,1.0,,,,
d_counseling_viper_05_15,d_counseling_viper_05,Speech,0,viper,viper,Locale_Counseling:d_counseling_viper_05_15,True,,1,shy,,100,100,1.0,,,,
d_counseling_viper_05_16,d_counseling_viper_05,Narration,0,viper,,Locale_Counseling:d_counseling_viper_05_16,False,,1,shy,none,100,100,1.0,,,,viper
