id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id
d_counseling_kilo_06_1,d_counseling_kilo_06,Speech,0,talos,talos,Locale_Counseling:d_counseling_kilo_06_1,True,talos,13,idle,CommanderRoom,13,13,1.0,bgm_story_backtonormal,,,,,,
d_counseling_kilo_06_2,d_counseling_kilo_06,Self,0,Self,,Locale_Counseling:d_counseling_kilo_06_2,False,,13,idle,,13,13,1.0,,,,,,,
d_counseling_kilo_06_3,d_counseling_kilo_06,Speech,0,talos,talos,Locale_Counseling:d_counseling_kilo_06_3,True,,13,idle,,13,13,1.0,,,,,,,
d_counseling_kilo_06_4,d_counseling_kilo_06,Speech,0,talos,talos,Locale_Counseling:d_counseling_kilo_06_4,True,,13,idle,,13,13,1.0,,,,,,,
d_counseling_kilo_06_5,d_counseling_kilo_06,Choice,100,Choice,,Locale_Counseling:d_counseling_kilo_06_5,False,,13,idle,,13,13,1.0,,d_counseling_kilo_06_7,,,,,
d_counseling_kilo_06_6,d_counseling_kilo_06,Choice,120,Choice,,Locale_Counseling:d_counseling_kilo_06_6,False,,13,idle,,13,13,1.0,,d_counseling_kilo_06_11,,,,,
d_counseling_kilo_06_7,d_counseling_kilo_06,Narration,0,Narration,,Locale_Counseling:d_counseling_kilo_06_7,False,,13,idle,,S_10,S_100,1.0,,,kilo,1,idle,,
d_counseling_kilo_06_8,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_8,True,,13,idle,,S_100,S_100,1.0,,,,1,idle,,
d_counseling_kilo_06_9,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_9,True,,13,idle,,S_100,S_100,1.0,,,,1,idle,,
d_counseling_kilo_06_10,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_10,True,,13,idle,,S_100,S_100,1.0,,d_counseling_kilo_06_20,,1,idle,,
d_counseling_kilo_06_11,d_counseling_kilo_06,Narration,0,Narration,,Locale_Counseling:d_counseling_kilo_06_11,False,,13,idle,,S_10,S_10,1.0,,,,1,,,
d_counseling_kilo_06_12,d_counseling_kilo_06,Narration,0,Narration,,Locale_Counseling:d_counseling_kilo_06_12,False,,13,idle,,S_10,S_100,1.0,,,kilo,1,idle,,
d_counseling_kilo_06_13,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_13,True,,13,idle,,S_100,S_100,1.0,,,,1,idle,,
d_counseling_kilo_06_14,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_14,True,,13,idle,,S_100,S_100,1.0,,,,1,surprise,,
d_counseling_kilo_06_15,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_15,True,,13,idle,,S_100,S_100,1.0,,,,1,surprise,,
d_counseling_kilo_06_16,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_16,True,,13,idle,,S_100,S_100,1.0,,,,1,surprise,,
d_counseling_kilo_06_17,d_counseling_kilo_06,Self,0,Self,,Locale_Counseling:d_counseling_kilo_06_17,False,,13,idle,,S_100,S_100,1.0,,,,1,surprise,,
d_counseling_kilo_06_18,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_18,True,,13,idle,,S_100,S_100,1.0,,,,1,surprise,,
d_counseling_kilo_06_19,d_counseling_kilo_06,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_06_19,True,,13,idle,,S_100,S_100,1.0,,d_counseling_kilo_06_20,,1,smile,,
d_counseling_kilo_06_20,d_counseling_kilo_06,Narration,0,Narration,,Locale_Counseling:d_counseling_kilo_06_20,False,,13,idle,none,S_100,S_100,1.0,,,,1,idle,kilo,talos
