id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/hide_char_id
d_counseling_guilty_03_1,d_counseling_guilty_03,Speech,0,guilty,guilty,Locale_Counseling:d_counseling_guilty_03_1,True,guilty,1,idle,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,
d_counseling_guilty_03_2,d_counseling_guilty_03,Monologue,0,guilty,,Locale_Counseling:d_counseling_guilty_03_2,False,,1,idle,,10,10,1.0,,,,
d_counseling_guilty_03_3,d_counseling_guilty_03,Speech,0,guilty,guilty,Locale_Counseling:d_counseling_guilty_03_3,True,,1,delight,,10,10,1.0,,,,
d_counseling_guilty_03_4,d_counseling_guilty_03,Monologue,0,guilty,,Locale_Counseling:d_counseling_guilty_03_4,False,,1,shy,,10,10,1.0,,Low_2,,
d_counseling_guilty_03_5,d_counseling_guilty_03,Choice,120,guilty,,Locale_Counseling:d_counseling_guilty_03_5,False,,1,shy,,10,10,1.0,,,d_counseling_guilty_03_7,
d_counseling_guilty_03_6,d_counseling_guilty_03,Choice,100,guilty,,Locale_Counseling:d_counseling_guilty_03_6,False,,1,shy,,10,10,1.0,,,d_counseling_guilty_03_10,
d_counseling_guilty_03_7,d_counseling_guilty_03,Speech,0,guilty,guilty,Locale_Counseling:d_counseling_guilty_03_7,True,,1,idle,,10,100,1.0,,,,
d_counseling_guilty_03_8,d_counseling_guilty_03,Speech,0,guilty,guilty,Locale_Counseling:d_counseling_guilty_03_8,True,,1,shy,,100,100,1.0,,,,
d_counseling_guilty_03_9,d_counseling_guilty_03,Speech,0,guilty,guilty,Locale_Counseling:d_counseling_guilty_03_9,True,,1,shy,,100,100,1.0,,,d_counseling_guilty_03_14,
d_counseling_guilty_03_10,d_counseling_guilty_03,Speech,0,guilty,guilty,Locale_Counseling:d_counseling_guilty_03_10,True,,1,angry,,10,100,1.0,,,,
d_counseling_guilty_03_11,d_counseling_guilty_03,Speech,0,guilty,guilty,Locale_Counseling:d_counseling_guilty_03_11,True,,1,shy,,100,100,1.0,,,,
d_counseling_guilty_03_12,d_counseling_guilty_03,Monologue,0,guilty,,Locale_Counseling:d_counseling_guilty_03_12,False,,1,shy,,100,100,1.0,,,,
d_counseling_guilty_03_13,d_counseling_guilty_03,Speech,0,guilty,guilty,Locale_Counseling:d_counseling_guilty_03_13,True,,1,shy,,100,100,1.0,,,,
d_counseling_guilty_03_14,d_counseling_guilty_03,Narration,0,guilty,,Locale_Counseling:d_counseling_guilty_03_14,False,,1,idle,none,100,100,1.0,,,,guilty
