id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_volume_10_1,d_counseling_volume_10,Speech,0,volume,volume,Locale_Counseling:d_counseling_volume_10_1,True,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,,volume,1,idle,
d_counseling_volume_10_2,d_counseling_volume_10,Speech,0,volume,volume,Locale_Counseling:d_counseling_volume_10_2,True,,S_10,S_10,1.0,,,,,1,idle,
d_counseling_volume_10_3,d_counseling_volume_10,Speech,0,volume,volume,Locale_Counseling:d_counseling_volume_10_3,True,,S_10,S_10,1.0,,,,,1,idle,
d_counseling_volume_10_4,d_counseling_volume_10,Choice,120,volume,,Locale_Counseling:d_counseling_volume_10_4,False,,S_10,S_10,1.0,,d_counseling_volume_10_6,,,1,idle,
d_counseling_volume_10_5,d_counseling_volume_10,Choice,100,volume,,Locale_Counseling:d_counseling_volume_10_5,False,,S_10,S_10,1.0,,d_counseling_volume_10_8,,,1,idle,
d_counseling_volume_10_6,d_counseling_volume_10,Speech,0,volume,volume,Locale_Counseling:d_counseling_volume_10_6,True,,S_10,S_100,1.0,,,,,1,delight,
d_counseling_volume_10_7,d_counseling_volume_10,Speech,0,volume,volume,Locale_Counseling:d_counseling_volume_10_7,True,,S_100,S_100,1.0,,d_counseling_volume_10_12,,,1,idle,
d_counseling_volume_10_8,d_counseling_volume_10,Narration,0,volume,,Locale_Counseling:d_counseling_volume_10_8,False,,S_10,S_100,1.0,,,Low_2,,1,angry,
d_counseling_volume_10_9,d_counseling_volume_10,Monologue,0,volume,,Locale_Counseling:d_counseling_volume_10_9,False,,S_100,S_100,1.0,,,,,1,angry,
d_counseling_volume_10_10,d_counseling_volume_10,Speech,0,volume,volume,Locale_Counseling:d_counseling_volume_10_10,True,,S_100,S_100,1.0,,,,,1,angry,
d_counseling_volume_10_11,d_counseling_volume_10,Speech,0,volume,volume,Locale_Counseling:d_counseling_volume_10_11,True,,S_100,S_100,1.0,,,,,1,angry,
d_counseling_volume_10_12,d_counseling_volume_10,Narration,0,volume,,Locale_Counseling:d_counseling_volume_10_12,False,none,S_100,S_100,1.0,,,,,1,idle,volume
