id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_counseling_rupee_wintershopper_03_2,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_2,True,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,rupee_w,1,special,,fx_Eventscene_camera_recording,rec,True,
d_counseling_rupee_wintershopper_03_3,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_3,True,,L_10,L_10,1.0,,,,1,idle_02,,,,,
d_counseling_rupee_wintershopper_03_4,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_4,True,,L_10,L_10,1.0,,,,1,idle_02,,,,,
d_counseling_rupee_wintershopper_03_5,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_5,True,,L_10,L_10,1.0,,,,1,idle_02,,,,,
d_counseling_rupee_wintershopper_03_6,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_6,True,,L_10,L_10,1.0,,,,1,special,,,,,
d_counseling_rupee_wintershopper_03_7,d_counseling_rupee_wintershopper_03,Choice,120,rupee_w,,Locale_Counseling:d_counseling_rupee_wintershopper_03_7,False,,L_10,L_10,1.0,,d_counseling_rupee_wintershopper_03_9,,1,special,,,,,
d_counseling_rupee_wintershopper_03_8,d_counseling_rupee_wintershopper_03,Choice,100,rupee_w,,Locale_Counseling:d_counseling_rupee_wintershopper_03_8,False,,L_10,L_10,1.0,,d_counseling_rupee_wintershopper_03_11,,1,special,,,,,
d_counseling_rupee_wintershopper_03_9,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_9,True,,L_10,L_100,1.0,,,,1,idle_02,,,,,
d_counseling_rupee_wintershopper_03_10,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_10,True,,L_100,L_100,1.0,,d_counseling_rupee_wintershopper_03_13,,1,sad,,,,,
d_counseling_rupee_wintershopper_03_11,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_11,True,,L_10,L_100,1.0,,,,1,surprise,,,,,
d_counseling_rupee_wintershopper_03_12,d_counseling_rupee_wintershopper_03,Speech,0,rupee_w,rupee_w,Locale_Counseling:d_counseling_rupee_wintershopper_03_12,True,,L_100,L_100,1.0,,,,1,surprise,,,,,
d_counseling_rupee_wintershopper_03_13,d_counseling_rupee_wintershopper_03,Narration,0,rupee_w,,Locale_Counseling:d_counseling_rupee_wintershopper_03_13,False,none,L_100,L_100,1.0,,,,1,idle_02,rupee_w,,,,fx_Eventscene_camera_recording
