id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_emma_tactical_03_1,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_1,True,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,emma_t,1,idle,
d_counseling_emma_tactical_03_2,d_counseling_emma_tactical_03,Narration,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_03_2,False,,10,10,1.0,,sfx_scn_boxrustle,,,1,idle,
d_counseling_emma_tactical_03_3,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_3,True,,10,10,1.0,,,,,1,delight,
d_counseling_emma_tactical_03_4,d_counseling_emma_tactical_03,Narration,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_03_4,False,,10,10,1.0,,,,,1,delight,
d_counseling_emma_tactical_03_5,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_5,True,,10,10,1.0,,,,,1,idle,
d_counseling_emma_tactical_03_6,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_6,True,,10,100,1.5,,,,,1,idle,
d_counseling_emma_tactical_03_7,d_counseling_emma_tactical_03,Choice,120,emma_t,,Locale_Counseling:d_counseling_emma_tactical_03_7,False,,100,100,1.0,,,d_counseling_emma_tactical_03_9,,1,idle,
d_counseling_emma_tactical_03_8,d_counseling_emma_tactical_03,Choice,100,emma_t,,Locale_Counseling:d_counseling_emma_tactical_03_8,False,,100,100,1.0,,,d_counseling_emma_tactical_03_13,,1,idle,
d_counseling_emma_tactical_03_9,d_counseling_emma_tactical_03,Narration,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_03_9,False,,100,100,1.0,,,,,1,idle,
d_counseling_emma_tactical_03_10,d_counseling_emma_tactical_03,Self,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_03_10,False,,100,100,1.0,,,,,1,idle,
d_counseling_emma_tactical_03_11,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_11,True,,100,100,1.0,,,,,1,delight,
d_counseling_emma_tactical_03_12,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_12,True,,100,100,1.0,,,d_counseling_emma_tactical_03_18,,1,delight,
d_counseling_emma_tactical_03_13,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_13,True,,100,100,1.0,,,,,1,surprise,
d_counseling_emma_tactical_03_14,d_counseling_emma_tactical_03,Self,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_03_14,False,,100,100,1.0,,,,,1,surprise,
d_counseling_emma_tactical_03_15,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_15,True,,100,100,1.0,,,,,1,surprise,
d_counseling_emma_tactical_03_16,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_16,True,,100,100,1.0,,,,,1,idle,
d_counseling_emma_tactical_03_17,d_counseling_emma_tactical_03,Speech,0,emma_t,emma_t,Locale_Counseling:d_counseling_emma_tactical_03_17,True,,100,100,1.0,,,d_counseling_emma_tactical_03_18,,1,idle,
d_counseling_emma_tactical_03_18,d_counseling_emma_tactical_03,Narration,0,emma_t,,Locale_Counseling:d_counseling_emma_tactical_03_18,False,none,100,100,1.0,,,,,1,idle,emma_t
