id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_counseling_mori_18_1,d_counseling_mori_18,Narration,0,mori,Locale_Counseling:d_counseling_mori_18_1,False,CommanderRoom,1,1,1.0,sfx_scn_autodooropen,bgm_story_backtonormal,,,,,,
d_counseling_mori_18_2,d_counseling_mori_18,Monologue,0,mori,Locale_Counseling:d_counseling_mori_18_2,False,,1,1,1.0,,,,,,,,
d_counseling_mori_18_3,d_counseling_mori_18,Narration,0,mori,Locale_Counseling:d_counseling_mori_18_3,False,,1,1,1.0,,,,,,,,
d_counseling_mori_18_4,d_counseling_mori_18,Speech,0,mori,Locale_Counseling:d_counseling_mori_18_4,True,,1,S_10,1.0,,,mori,mori,1,delight,,
d_counseling_mori_18_5,d_counseling_mori_18,Speech,0,mori,Locale_Counseling:d_counseling_mori_18_5,True,,S_10,S_10,1.0,,,mori,,1,delight,,
d_counseling_mori_18_6,d_counseling_mori_18,Choice,120,mori,Locale_Counseling:d_counseling_mori_18_6,False,,S_10,S_10,1.0,,,,,1,delight,d_counseling_mori_18_8,
d_counseling_mori_18_7,d_counseling_mori_18,Choice,100,mori,Locale_Counseling:d_counseling_mori_18_7,False,,S_10,S_10,1.0,,,,,1,delight,d_counseling_mori_18_11,
d_counseling_mori_18_8,d_counseling_mori_18,Speech,0,mori,Locale_Counseling:d_counseling_mori_18_8,True,,S_10,S_10,1.0,,,mori,,1,delight,,
d_counseling_mori_18_9,d_counseling_mori_18,Speech,0,mori,Locale_Counseling:d_counseling_mori_18_9,True,,S_10,S_100,1.0,,,mori,,1,delight,,
d_counseling_mori_18_10,d_counseling_mori_18,Speech,0,mori,Locale_Counseling:d_counseling_mori_18_10,True,,S_100,S_100,1.0,,,mori,,1,delight,d_counseling_mori_18_15,
d_counseling_mori_18_11,d_counseling_mori_18,Speech,0,mori,Locale_Counseling:d_counseling_mori_18_11,True,,S_10,S_10,1.0,,,mori,,1,shy_02,,
d_counseling_mori_18_12,d_counseling_mori_18,Speech,0,mori,Locale_Counseling:d_counseling_mori_18_12,True,,S_10,S_100,0.5,,,mori,,1,shy_02,,
d_counseling_mori_18_13,d_counseling_mori_18,Self,0,mori,Locale_Counseling:d_counseling_mori_18_13,False,,S_100,S_100,1.0,,,,,1,shy_02,,
d_counseling_mori_18_14,d_counseling_mori_18,Speech,0,mori,Locale_Counseling:d_counseling_mori_18_14,True,,S_100,S_100,1.0,,,mori,,1,shy_01,d_counseling_mori_18_15,
d_counseling_mori_18_15,d_counseling_mori_18,Narration,0,mori,Locale_Counseling:d_counseling_mori_18_15,False,none,S_100,S_100,1.0,,,,,1,idle,,mori
