id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_guillotine_winterslayer_05_1,d_counseling_guillotine_winterslayer_05,Narration,0,guillotine,Locale_Counseling:d_counseling_guillotine_winterslayer_05_1,False,black,XS_10,XS_10,1.0,event_bgm_icedragonsaga_adventure,,,,guillotine,1,idle,
d_counseling_guillotine_winterslayer_05_2,d_counseling_guillotine_winterslayer_05,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_2,True,SnowTown_d,XS_10,XS_10,1.0,,guillotine_w,,,guillotine_w,1,idle,guillotine
d_counseling_guillotine_winterslayer_05_3,d_counseling_guillotine_winterslayer_05,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_3,True,,XS_10,XS_10,1.0,,guillotine_w,,,,1,idle,
d_counseling_guillotine_winterslayer_05_4,d_counseling_guillotine_winterslayer_05,Monologue,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_4,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_counseling_guillotine_winterslayer_05_5,d_counseling_guillotine_winterslayer_05,Monologue,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_5,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_counseling_guillotine_winterslayer_05_6,d_counseling_guillotine_winterslayer_05,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_6,True,,XS_10,XS_10,1.0,,guillotine_w,,,,1,idle,
d_counseling_guillotine_winterslayer_05_7,d_counseling_guillotine_winterslayer_05,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_7,True,,XS_10,XS_10,1.0,,guillotine_w,,,,1,idle,
d_counseling_guillotine_winterslayer_05_8,d_counseling_guillotine_winterslayer_05,Monologue,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_8,False,,XS_10,XS_10,1.0,,,,,,1,idle,
d_counseling_guillotine_winterslayer_05_9,d_counseling_guillotine_winterslayer_05,Choice,100,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_9,False,,XS_10,XS_10,1.0,,,d_counseling_guillotine_winterslayer_05_11,,,1,surprise,
d_counseling_guillotine_winterslayer_05_10,d_counseling_guillotine_winterslayer_05,Choice,120,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_10,False,,XS_10,XS_10,1.0,,,d_counseling_guillotine_winterslayer_05_15,,,1,surprise,
d_counseling_guillotine_winterslayer_05_11,d_counseling_guillotine_winterslayer_05,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_11,True,,XS_10,XS_100,1.0,,guillotine_w,,,,1,sad,
d_counseling_guillotine_winterslayer_05_12,d_counseling_guillotine_winterslayer_05,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_12,True,,XS_100,XS_100,1.0,,guillotine_w,,,,1,sad,
d_counseling_guillotine_winterslayer_05_13,d_counseling_guillotine_winterslayer_05,Monologue,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_13,False,,XS_100,XS_100,1.0,,,,,,1,sad,
d_counseling_guillotine_winterslayer_05_14,d_counseling_guillotine_winterslayer_05,Monologue,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_14,False,,XS_100,XS_100,1.0,,,d_counseling_guillotine_winterslayer_05_18,,,1,sad,
d_counseling_guillotine_winterslayer_05_15,d_counseling_guillotine_winterslayer_05,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_15,True,,XS_10,XS_100,1.0,,guillotine_w,,Blur_Low,,1,sad,
d_counseling_guillotine_winterslayer_05_16,d_counseling_guillotine_winterslayer_05,Speech,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_16,True,,XS_100,XS_100,1.0,,guillotine_w,,Blur_Middle,,1,sad,
d_counseling_guillotine_winterslayer_05_17,d_counseling_guillotine_winterslayer_05,Monologue,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_17,False,,XS_100,XS_100,1.0,,,d_counseling_guillotine_winterslayer_05_18,Blur_High,,1,sad,
d_counseling_guillotine_winterslayer_05_18,d_counseling_guillotine_winterslayer_05,Narration,0,guillotine_w,Locale_Counseling:d_counseling_guillotine_winterslayer_05_18,False,none,black,black,1.0,,,,,,1,sad,guillotine_w
