id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_naga_14_1,d_counseling_naga_14,Speech,0,naga,naga,Locale_Counseling:d_counseling_naga_14_1,True,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,naga,1,worry,
d_counseling_naga_14_2,d_counseling_naga_14,Self,0,naga,,Locale_Counseling:d_counseling_naga_14_2,False,,10,10,1.0,,,,,1,worry,
d_counseling_naga_14_3,d_counseling_naga_14,Monologue,0,naga,,Locale_Counseling:d_counseling_naga_14_3,False,,10,10,1.0,,,,,1,worry,
d_counseling_naga_14_4,d_counseling_naga_14,Narration,0,naga,,Locale_Counseling:d_counseling_naga_14_4,False,,10,10,1.0,,sfx_scn_poke,,,1,idle,
d_counseling_naga_14_5,d_counseling_naga_14,Speech,0,naga,naga,Locale_Counseling:d_counseling_naga_14_5,True,,10,10,1.0,,,,,1,idle,
d_counseling_naga_14_6,d_counseling_naga_14,Monologue,0,naga,,Locale_Counseling:d_counseling_naga_14_6,False,,10,10,1.0,,,,,1,idle,
d_counseling_naga_14_7,d_counseling_naga_14,Choice,120,naga,,Locale_Counseling:d_counseling_naga_14_7,False,,10,10,1.0,,,d_counseling_naga_14_9,,1,idle,
d_counseling_naga_14_8,d_counseling_naga_14,Choice,100,naga,,Locale_Counseling:d_counseling_naga_14_8,False,,10,10,1.0,,,d_counseling_naga_14_11,,1,idle,
d_counseling_naga_14_9,d_counseling_naga_14,Speech,0,naga,naga,Locale_Counseling:d_counseling_naga_14_9,True,,10,100,1.0,,,,,1,delight,
d_counseling_naga_14_10,d_counseling_naga_14,Speech,0,naga,naga,Locale_Counseling:d_counseling_naga_14_10,True,,100,100,1.0,,,d_counseling_naga_14_13,,1,delight,
d_counseling_naga_14_11,d_counseling_naga_14,Speech,0,naga,naga,Locale_Counseling:d_counseling_naga_14_11,True,,10,100,1.0,,,,,1,delight,
d_counseling_naga_14_12,d_counseling_naga_14,Speech,0,naga,naga,Locale_Counseling:d_counseling_naga_14_12,True,,100,100,1.0,,,d_counseling_naga_14_13,,1,delight,
d_counseling_naga_14_13,d_counseling_naga_14,Narration,0,naga,,Locale_Counseling:d_counseling_naga_14_13,False,none,100,100,1.0,,,,,1,idle,naga
