id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,characters/0/hide_char_id
d_counseling_mary_baygoddess_19_1,d_counseling_mary_baygoddess_19,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_19_1,True,mary_s,1,idle,Beach_d,10,10,1.0,bgm_story_summermood,,,,
d_counseling_mary_baygoddess_19_2,d_counseling_mary_baygoddess_19,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_19_2,True,,1,idle,,10,10,1.0,,,,,
d_counseling_mary_baygoddess_19_3,d_counseling_mary_baygoddess_19,Choice,120,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_19_3,True,,1,idle,,10,10,1.0,,d_counseling_mary_baygoddess_19_5,,,
d_counseling_mary_baygoddess_19_4,d_counseling_mary_baygoddess_19,Choice,100,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_19_4,True,,1,idle,,10,10,1.0,,d_counseling_mary_baygoddess_19_11,,,
d_counseling_mary_baygoddess_19_5,d_counseling_mary_baygoddess_19,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_19_5,True,,1,idle,,10,100,1.0,,,,,
d_counseling_mary_baygoddess_19_6,d_counseling_mary_baygoddess_19,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_19_6,True,,1,idle,,100,100,1.0,,,,,
d_counseling_mary_baygoddess_19_7,d_counseling_mary_baygoddess_19,Narration,0,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_19_7,True,,1,idle,,black,black,1.0,,,sfx_scn_spraywater,,
d_counseling_mary_baygoddess_19_8,d_counseling_mary_baygoddess_19,Self,0,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_19_8,True,,1,idle,,100,10,0.5,,,,Low_2,
d_counseling_mary_baygoddess_19_9,d_counseling_mary_baygoddess_19,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_19_9,True,,1,idle,,10,10,1.0,,,,,
d_counseling_mary_baygoddess_19_10,d_counseling_mary_baygoddess_19,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_19_10,True,,1,idle,,10,10,1.0,,d_counseling_mary_baygoddess_19_15,,,
d_counseling_mary_baygoddess_19_11,d_counseling_mary_baygoddess_19,Speech,0,mary_s,mary_s,Locale_Counseling:d_counseling_mary_baygoddess_19_11,True,,1,idle,,10,100,1.0,,,,,
d_counseling_mary_baygoddess_19_12,d_counseling_mary_baygoddess_19,Narration,0,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_19_12,True,,1,idle,,black,black,1.0,,,sfx_scn_spraywater,,
d_counseling_mary_baygoddess_19_13,d_counseling_mary_baygoddess_19,Self,0,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_19_13,True,,1,idle,,100,10,0.5,,,,Low_2,
d_counseling_mary_baygoddess_19_14,d_counseling_mary_baygoddess_19,Monologue,0,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_19_14,True,,1,idle,,10,10,1.0,,,,,
d_counseling_mary_baygoddess_19_15,d_counseling_mary_baygoddess_19,Narration,0,mary_s,,Locale_Counseling:d_counseling_mary_baygoddess_19_15,True,,1,idle,none,10,10,1.0,,,,,mary_s
