id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_counseling_kilo_11_1,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_1,True,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,kilo,1,idle,,talos,13,idle,
d_counseling_kilo_11_2,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_2,True,,S_10,S_10,1.0,,,,1,idle,,,13,idle,
d_counseling_kilo_11_3,d_counseling_kilo_11,Choice,120,Choice,,Locale_Counseling:d_counseling_kilo_11_3,False,,S_10,S_10,1.0,,d_counseling_kilo_11_5,,1,idle,,,13,idle,
d_counseling_kilo_11_4,d_counseling_kilo_11,Choice,100,Choice,,Locale_Counseling:d_counseling_kilo_11_4,False,,S_10,S_10,1.0,,d_counseling_kilo_11_9,,1,idle,,,13,idle,
d_counseling_kilo_11_5,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_5,True,,S_10,S_100,1.0,,,,1,delight,,,13,idle,
d_counseling_kilo_11_6,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_6,True,,S_100,S_100,1.0,,,,1,delight,,,13,idle,
d_counseling_kilo_11_7,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_7,True,,S_100,S_100,1.0,,,,1,delight,,,13,idle,
d_counseling_kilo_11_8,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_8,True,,S_100,S_100,1.0,,d_counseling_kilo_11_12,,1,delight,,,13,idle,
d_counseling_kilo_11_9,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_9,True,,S_10,S_100,1.0,,,,1,idle,,,13,idle,
d_counseling_kilo_11_10,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_10,True,,S_100,S_100,1.0,,,,1,surprise,,,13,idle,
d_counseling_kilo_11_11,d_counseling_kilo_11,Speech,0,kilo,kilo,Locale_Counseling:d_counseling_kilo_11_11,True,,S_100,S_100,1.0,,d_counseling_kilo_11_12,,1,surprise,,,13,idle,
d_counseling_kilo_11_12,d_counseling_kilo_11,Narration,0,Narration,,Locale_Counseling:d_counseling_kilo_11_12,False,none,S_100,S_100,1.0,,,,1,idle,kilo,,13,idle,talos
