id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_quiry_09_1,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_1,True,CommanderRoom,S_10,S_10,1.0,bgm_story_backtonormal,,,quiry,1,surprise,
d_counseling_quiry_09_2,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_2,True,,S_10,S_10,1.0,,,,,1,surprise,
d_counseling_quiry_09_3,d_counseling_quiry_09,Choice,120,quiry,,Locale_Counseling:d_counseling_quiry_09_3,True,,S_10,S_10,1.0,,d_counseling_quiry_09_5,,,1,surprise,
d_counseling_quiry_09_4,d_counseling_quiry_09,Choice,100,quiry,,Locale_Counseling:d_counseling_quiry_09_4,True,,S_10,S_10,1.0,,d_counseling_quiry_09_12,,,1,surprise,
d_counseling_quiry_09_5,d_counseling_quiry_09,Narration,0,quiry,,Locale_Counseling:d_counseling_quiry_09_5,True,,black,black,1.0,,,sfx_scn_tablehit,,1,surprise,
d_counseling_quiry_09_6,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_6,True,,S_10,S_100,1.0,,,,,1,idle,
d_counseling_quiry_09_7,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_7,True,,S_100,S_100,1.0,,,,,1,delight,
d_counseling_quiry_09_8,d_counseling_quiry_09,Self,0,quiry,,Locale_Counseling:d_counseling_quiry_09_8,True,,S_100,S_100,1.0,,,,,1,delight,
d_counseling_quiry_09_9,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_9,True,,S_100,S_100,1.0,,,,,1,surprise,
d_counseling_quiry_09_10,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_10,True,,S_100,S_100,1.0,,,,,1,surprise,
d_counseling_quiry_09_11,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_11,True,,S_100,S_100,1.0,,d_counseling_quiry_09_16,,,1,surprise,
d_counseling_quiry_09_12,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_12,True,,S_10,S_100,1.0,,,,,1,surprise,
d_counseling_quiry_09_13,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_13,True,,S_100,S_100,1.0,,,,,1,surprise,
d_counseling_quiry_09_14,d_counseling_quiry_09,Speech,0,quiry,quiry,Locale_Counseling:d_counseling_quiry_09_14,True,,S_100,S_100,1.0,,,,,1,angry,
d_counseling_quiry_09_15,d_counseling_quiry_09,Narration,0,quiry,,Locale_Counseling:d_counseling_quiry_09_15,True,,black,black,1.0,,d_counseling_quiry_09_16,sfx_scn_tablehit,,1,angry,
d_counseling_quiry_09_16,d_counseling_quiry_09,Narration,0,quiry,,Locale_Counseling:d_counseling_quiry_09_16,True,none,black,black,1.0,,,,,1,angry,quiry
