id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,characters/0/hide_char_id
d_counseling_isabel_16_1,d_counseling_isabel_16,Speech,0,isabel,isabel,Locale_Counseling:d_counseling_isabel_16_1,True,isabel,1,idle,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,
d_counseling_isabel_16_2,d_counseling_isabel_16,Speech,0,isabel,isabel,Locale_Counseling:d_counseling_isabel_16_2,True,,1,idle,,10,10,1.0,,,,
d_counseling_isabel_16_3,d_counseling_isabel_16,Choice,100,isabel,,Locale_Counseling:d_counseling_isabel_16_3,False,,1,idle,,10,10,1.0,,d_counseling_isabel_16_5,,
d_counseling_isabel_16_4,d_counseling_isabel_16,Choice,120,isabel,,Locale_Counseling:d_counseling_isabel_16_4,False,,1,idle,,10,10,1.0,,d_counseling_isabel_16_7,,
d_counseling_isabel_16_5,d_counseling_isabel_16,Speech,0,isabel,isabel,Locale_Counseling:d_counseling_isabel_16_5,True,,1,good,,10,100,1.0,,,,
d_counseling_isabel_16_6,d_counseling_isabel_16,Speech,0,isabel,isabel,Locale_Counseling:d_counseling_isabel_16_6,True,,1,good,,100,100,1.0,,d_counseling_isabel_16_11,,
d_counseling_isabel_16_7,d_counseling_isabel_16,Narration,0,isabel,,Locale_Counseling:d_counseling_isabel_16_7,False,,1,surprise,,10,100,1.0,,,Low_2,
d_counseling_isabel_16_8,d_counseling_isabel_16,Speech,0,isabel,isabel,Locale_Counseling:d_counseling_isabel_16_8,True,,1,shy,,100,100,1.0,,,,
d_counseling_isabel_16_9,d_counseling_isabel_16,Speech,0,isabel,isabel,Locale_Counseling:d_counseling_isabel_16_9,True,,1,shy,,100,100,1.0,,,,
d_counseling_isabel_16_10,d_counseling_isabel_16,Speech,0,isabel,isabel,Locale_Counseling:d_counseling_isabel_16_10,True,,1,shy,,100,100,1.0,,,,
d_counseling_isabel_16_11,d_counseling_isabel_16,Narration,0,isabel,,Locale_Counseling:d_counseling_isabel_16_11,False,,1,idle,none,100,100,1.0,,,,isabel
