id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/set_char_position,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_counseling_k_14_1,d_counseling_k_14,Narration,0,k,Locale_Counseling:d_counseling_k_14_1,False,1,CommanderRoom,S_10,S_10,1.0,sfx_scn_autodooropen,bgm_story_backtonormal,,,,,
d_counseling_k_14_2,d_counseling_k_14,Speech,0,k,Locale_Counseling:d_counseling_k_14_2,True,1,,S_10,S_10,1.0,,,k,k,angry,,
d_counseling_k_14_3,d_counseling_k_14,Speech,0,k,Locale_Counseling:d_counseling_k_14_3,True,1,,S_10,S_10,1.0,,,k,,angry,,
d_counseling_k_14_4,d_counseling_k_14,Narration,0,k,Locale_Counseling:d_counseling_k_14_4,False,1,,S_10,S_10,1.0,sfx_scn_solidtablehit,,,,angry,,
d_counseling_k_14_5,d_counseling_k_14,Monologue,0,k,Locale_Counseling:d_counseling_k_14_5,False,1,,S_10,S_10,1.0,,,,,angry,,
d_counseling_k_14_6,d_counseling_k_14,Choice,100,k,Locale_Counseling:d_counseling_k_14_6,False,1,,S_10,S_10,1.0,,,,,angry,d_counseling_k_14_8,
d_counseling_k_14_7,d_counseling_k_14,Choice,120,k,Locale_Counseling:d_counseling_k_14_7,False,1,,S_10,S_10,1.0,,,,,angry,d_counseling_k_14_11,
d_counseling_k_14_8,d_counseling_k_14,Speech,0,k,Locale_Counseling:d_counseling_k_14_8,True,1,,S_10,S_100,0.5,,,k,,angry,,
d_counseling_k_14_9,d_counseling_k_14,Speech,0,k,Locale_Counseling:d_counseling_k_14_9,True,1,,S_100,S_100,1.0,,,k,,angry,,
d_counseling_k_14_10,d_counseling_k_14,Speech,0,k,Locale_Counseling:d_counseling_k_14_10,True,1,,S_100,S_100,1.0,,,k,,angry,d_counseling_k_14_14,
d_counseling_k_14_11,d_counseling_k_14,Speech,0,k,Locale_Counseling:d_counseling_k_14_11,True,1,,S_10,S_100,1.0,,,k,,surprise,,
d_counseling_k_14_12,d_counseling_k_14,Speech,0,k,Locale_Counseling:d_counseling_k_14_12,True,1,,S_100,S_100,1.0,,,k,,surprise,,
d_counseling_k_14_13,d_counseling_k_14,Speech,0,k,Locale_Counseling:d_counseling_k_14_13,True,1,,S_100,S_100,1.0,,,k,,surprise,d_counseling_k_14_14,
d_counseling_k_14_14,d_counseling_k_14,Narration,0,k,Locale_Counseling:d_counseling_k_14_14,True,1,none,S_100,S_100,1.0,,,,,idle,,k
