id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_rosanna_18_1,d_counseling_rosanna_18,Narration,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_1,False,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,rosanna,1,idle,
d_counseling_rosanna_18_2,d_counseling_rosanna_18,Monologue,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_2,False,,10,10,1.0,,,,,1,idle,
d_counseling_rosanna_18_3,d_counseling_rosanna_18,Choice,100,rosanna,Locale_Counseling:d_counseling_rosanna_18_3,False,,10,10,1.0,,d_counseling_rosanna_18_5,,,1,idle,
d_counseling_rosanna_18_4,d_counseling_rosanna_18,Choice,120,rosanna,Locale_Counseling:d_counseling_rosanna_18_4,False,,10,10,1.0,,d_counseling_rosanna_18_9,,,1,idle,
d_counseling_rosanna_18_5,d_counseling_rosanna_18,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_5,True,,10,100,1.0,,,rosanna,,1,idle,
d_counseling_rosanna_18_6,d_counseling_rosanna_18,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_6,True,,100,100,1.0,,,rosanna,,1,idle,
d_counseling_rosanna_18_7,d_counseling_rosanna_18,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_7,True,,100,100,1.0,,,rosanna,,1,idle,
d_counseling_rosanna_18_8,d_counseling_rosanna_18,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_8,True,,100,100,1.0,,d_counseling_rosanna_18_13,rosanna,,1,idle,
d_counseling_rosanna_18_9,d_counseling_rosanna_18,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_9,True,,10,100,1.0,,,rosanna,,1,idle,
d_counseling_rosanna_18_10,d_counseling_rosanna_18,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_10,True,,100,100,1.0,,,rosanna,,1,idle,
d_counseling_rosanna_18_11,d_counseling_rosanna_18,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_11,True,,100,100,1.0,,,rosanna,,1,idle,
d_counseling_rosanna_18_12,d_counseling_rosanna_18,Speech,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_12,True,,100,100,1.0,,d_counseling_rosanna_18_13,rosanna,,1,good,
d_counseling_rosanna_18_13,d_counseling_rosanna_18,Narration,0,rosanna,Locale_Counseling:d_counseling_rosanna_18_13,False,none,100,100,1.0,,,,,1,idle,rosanna
