id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,speaker,characters/0/hide_char_id
d_counseling_dorothy_serendipity_07_1,d_counseling_dorothy_serendipity_07,Monologue,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_1,False,dorothy_s,1,idle,Deck_n,100,100,1.0,bgm_story_milkyway,,,
d_counseling_dorothy_serendipity_07_2,d_counseling_dorothy_serendipity_07,Monologue,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_2,False,,1,idle,,100,100,1.0,,,,
d_counseling_dorothy_serendipity_07_3,d_counseling_dorothy_serendipity_07,Choice,100,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_3,False,,1,idle,,100,100,1.0,,d_counseling_dorothy_serendipity_07_5,,
d_counseling_dorothy_serendipity_07_4,d_counseling_dorothy_serendipity_07,Choice,120,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_4,False,,1,idle,,100,100,1.0,,d_counseling_dorothy_serendipity_07_11,,
d_counseling_dorothy_serendipity_07_5,d_counseling_dorothy_serendipity_07,Monologue,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_5,False,,1,idle,,100,10,0.5,,,,
d_counseling_dorothy_serendipity_07_6,d_counseling_dorothy_serendipity_07,Self,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_6,False,,1,idle,,10,10,1.0,,,,
d_counseling_dorothy_serendipity_07_7,d_counseling_dorothy_serendipity_07,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_7,True,,1,no,,10,10,1.0,,,dorothy_s,
d_counseling_dorothy_serendipity_07_8,d_counseling_dorothy_serendipity_07,Self,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_8,False,,1,no,,10,10,1.0,,,,
d_counseling_dorothy_serendipity_07_9,d_counseling_dorothy_serendipity_07,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_9,True,,1,no,,10,10,1.0,,,dorothy_s,
d_counseling_dorothy_serendipity_07_10,d_counseling_dorothy_serendipity_07,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_10,True,,1,no,,10,10,1.0,,d_counseling_dorothy_serendipity_07_16,dorothy_s,
d_counseling_dorothy_serendipity_07_11,d_counseling_dorothy_serendipity_07,Monologue,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_11,False,,1,think,,black,black,1.0,,,,
d_counseling_dorothy_serendipity_07_12,d_counseling_dorothy_serendipity_07,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_12,True,,1,think,,100,100,1.0,,,dorothy_s,
d_counseling_dorothy_serendipity_07_13,d_counseling_dorothy_serendipity_07,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_13,True,,1,think,,100,10,1.0,,,dorothy_s,
d_counseling_dorothy_serendipity_07_14,d_counseling_dorothy_serendipity_07,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_14,True,,1,think,,10,10,1.0,,,dorothy_s,
d_counseling_dorothy_serendipity_07_15,d_counseling_dorothy_serendipity_07,Speech,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_15,True,,1,think,,10,10,1.0,,d_counseling_dorothy_serendipity_07_16,dorothy_s,
d_counseling_dorothy_serendipity_07_16,d_counseling_dorothy_serendipity_07,Narration,0,dorothy_s,Locale_Counseling:d_counseling_dorothy_serendipity_07_16,False,,1,idle,none,10,10,1.0,,,,dorothy_s
