id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/0/hide_char_id
d_counseling_trina_15_1,d_counseling_trina_15,Monologue,0,trina,Locale_Counseling:d_counseling_trina_15_1,False,trina,1,idle,CommanderRoom,L_10,L_10,1.0,bgm_story_backtonormal,,,
d_counseling_trina_15_2,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_2,True,,1,idle,,L_10,L_10,1.0,,trina,,
d_counseling_trina_15_3,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_3,True,,1,idle,,L_10,L_10,1.0,,trina,,
d_counseling_trina_15_4,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_4,True,,1,idle,,L_10,L_10,1.0,,trina,,
d_counseling_trina_15_5,d_counseling_trina_15,Choice,100,trina,Locale_Counseling:d_counseling_trina_15_5,False,,1,idle,,L_10,L_10,1.0,,,d_counseling_trina_15_7,
d_counseling_trina_15_6,d_counseling_trina_15,Choice,120,trina,Locale_Counseling:d_counseling_trina_15_6,False,,1,idle,,L_10,L_10,1.0,,,d_counseling_trina_15_11,
d_counseling_trina_15_7,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_7,True,,1,think1,,L_10,L_100,1.0,,trina,,
d_counseling_trina_15_8,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_8,True,,1,think1,,L_100,L_100,1.0,,trina,,
d_counseling_trina_15_9,d_counseling_trina_15,Self,0,trina,Locale_Counseling:d_counseling_trina_15_9,False,,1,think1,,L_100,L_100,1.0,,,,
d_counseling_trina_15_10,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_10,True,,1,think2,,L_100,L_100,1.0,,trina,d_counseling_trina_15_15,
d_counseling_trina_15_11,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_11,True,,1,idle,,L_10,L_100,1.0,,trina,,
d_counseling_trina_15_12,d_counseling_trina_15,Self,0,trina,Locale_Counseling:d_counseling_trina_15_12,False,,1,idle,,L_100,L_100,1.0,,,,
d_counseling_trina_15_13,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_13,True,,1,delight,,L_100,L_100,1.0,,trina,,
d_counseling_trina_15_14,d_counseling_trina_15,Speech,0,trina,Locale_Counseling:d_counseling_trina_15_14,True,,1,delight,,L_100,L_100,1.0,,trina,d_counseling_trina_15_15,
d_counseling_trina_15_15,d_counseling_trina_15,Narration,0,trina,Locale_Counseling:d_counseling_trina_15_15,False,,1,idle,none,L_100,L_100,1.0,,,,trina
