id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_mori_02_1,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_1,True,CommanderRoom,S_100,S_100,1.0,bgm_story_backtonormal,,,,mori,1,idle,
d_counseling_mori_02_2,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_2,True,,S_100,S_100,1.0,,,,,,1,idle,
d_counseling_mori_02_3,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_3,False,,S_100,S_10,1.0,,,,,,1,shy_01,
d_counseling_mori_02_4,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_4,True,,S_10,S_10,1.0,,,,,,1,shy_01,
d_counseling_mori_02_5,d_counseling_mori_02,Choice,120,mori,,Locale_Counseling:d_counseling_mori_02_5,False,,S_10,S_10,1.0,,d_counseling_mori_02_7,,,,1,shy_01,
d_counseling_mori_02_6,d_counseling_mori_02,Choice,100,mori,,Locale_Counseling:d_counseling_mori_02_6,False,,S_10,S_10,1.0,,d_counseling_mori_02_15,,,,1,shy_01,
d_counseling_mori_02_7,d_counseling_mori_02,Narration,0,mori,,Locale_Counseling:d_counseling_mori_02_7,False,,S_10,S_10,1.0,,,,,,1,shy_01,
d_counseling_mori_02_8,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_8,True,,S_10,S_10,1.0,,,,,,1,shy_01,
d_counseling_mori_02_9,d_counseling_mori_02,Narration,0,mori,,Locale_Counseling:d_counseling_mori_02_9,False,,S_10,S_10,1.0,,,sfx_scn_blanket,,,1,shy_01,
d_counseling_mori_02_10,d_counseling_mori_02,Self,0,mori,,Locale_Counseling:d_counseling_mori_02_10,False,,S_10,S_10,1.0,,,,,,1,shy_01,
d_counseling_mori_02_11,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_11,False,,S_10,S_100,0.7,,,,,,1,shy_02,
d_counseling_mori_02_12,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_12,True,,S_100,S_100,1.0,,,,,,1,shy_02,
d_counseling_mori_02_13,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_13,True,,S_100,S_100,1.0,,,,,,1,shy_02,
d_counseling_mori_02_14,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_14,True,,S_100,S_100,1.0,,d_counseling_mori_02_19,,,,1,shy_02,
d_counseling_mori_02_15,d_counseling_mori_02,Narration,0,mori,,Locale_Counseling:d_counseling_mori_02_15,False,,S_10,S_10,1.0,,,sfx_scn_heavytrip,Low_2,,1,shy_02,
d_counseling_mori_02_16,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_16,True,,S_10,S_100,0.7,,,,,,1,shy_02,
d_counseling_mori_02_17,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_17,True,,S_100,S_100,1.0,,,,,,1,shy_02,
d_counseling_mori_02_18,d_counseling_mori_02,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_02_18,True,,S_100,S_100,1.0,,d_counseling_mori_02_19,,,,1,shy_02,
d_counseling_mori_02_19,d_counseling_mori_02,Narration,0,mori,,Locale_Counseling:d_counseling_mori_02_19,False,none,S_100,S_100,1.0,,,,,,1,idle,mori
