id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,speaker,jump_target,characters/0/hide_char_id
d_counseling_rapi_redhood_02_1,d_counseling_rapi_redhood_02,Monologue,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_1,False,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,,,,,
d_counseling_rapi_redhood_02_2,d_counseling_rapi_redhood_02,Self,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_2,False,,10,10,1.0,,,,,,,,
d_counseling_rapi_redhood_02_3,d_counseling_rapi_redhood_02,Narration,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_3,False,,10,10,1.0,,rapi_red,1,idle,sfx_scn_autodooropen,,,
d_counseling_rapi_redhood_02_4,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_4,True,,10,10,1.0,,,1,idle,,rapi_red,,
d_counseling_rapi_redhood_02_5,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_5,True,,10,10,1.0,,,1,idle,,rapi_red,,
d_counseling_rapi_redhood_02_6,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_6,True,,10,10,1.0,,,1,idle,,rapi_red,,
d_counseling_rapi_redhood_02_7,d_counseling_rapi_redhood_02,Choice,120,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_7,False,,10,10,1.0,,,1,idle,,,d_counseling_rapi_redhood_02_9,
d_counseling_rapi_redhood_02_8,d_counseling_rapi_redhood_02,Choice,100,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_8,False,,10,10,1.0,,,1,idle,,,d_counseling_rapi_redhood_02_11,
d_counseling_rapi_redhood_02_9,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_9,True,,10,100,1.0,,,1,shy,,rapi_red,,
d_counseling_rapi_redhood_02_10,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_10,True,,100,100,1.0,,,1,shy,,rapi_red,d_counseling_rapi_redhood_02_13,
d_counseling_rapi_redhood_02_11,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_11,True,,10,100,1.0,,,1,shy,,rapi_red,,
d_counseling_rapi_redhood_02_12,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_12,True,,100,100,1.0,,,1,shy,,rapi_red,d_counseling_rapi_redhood_02_13,
d_counseling_rapi_redhood_02_13,d_counseling_rapi_redhood_02,Self,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_13,False,,100,100,1.0,,,1,shy,,,,
d_counseling_rapi_redhood_02_14,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_14,True,,100,100,1.0,,,1,shy,,rapi_red,,
d_counseling_rapi_redhood_02_15,d_counseling_rapi_redhood_02,Self,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_15,False,,100,100,1.0,,,1,shy,,,,
d_counseling_rapi_redhood_02_16,d_counseling_rapi_redhood_02,Speech,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_16,True,,100,100,1.0,,,1,shy,,rapi_red,,
d_counseling_rapi_redhood_02_17,d_counseling_rapi_redhood_02,Narration,0,rapi_red,Locale_Counseling:d_counseling_rapi_redhood_02_17,False,none,100,100,1.0,,,1,shy,,,,rapi_red
