id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_noah_11_1,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_1,True,CommanderRoom,XS_10,XS_10,1.0,bgm_story_backtonormal,,,,noah,1,good,
d_counseling_noah_11_2,d_counseling_noah_11,Narration,0,noah,,Locale_Counseling:d_counseling_noah_11_2,False,,XS_10,XS_10,1.0,,,,,,1,good,
d_counseling_noah_11_3,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_3,True,,XS_10,XS_10,1.0,,,,,,1,good,
d_counseling_noah_11_4,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_4,True,,XS_10,XS_10,1.0,,,,,,1,good,
d_counseling_noah_11_5,d_counseling_noah_11,Choice,120,noah,,Locale_Counseling:d_counseling_noah_11_5,False,,XS_10,XS_10,1.0,,d_counseling_noah_11_7,,,,1,good,
d_counseling_noah_11_6,d_counseling_noah_11,Choice,100,noah,,Locale_Counseling:d_counseling_noah_11_6,False,,XS_10,XS_10,1.0,,d_counseling_noah_11_10,,,,1,good,
d_counseling_noah_11_7,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_7,True,,XS_10,XS_100,1.0,,,,,,1,surprise,
d_counseling_noah_11_8,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_8,True,,XS_100,XS_100,1.0,,,,,,1,good,
d_counseling_noah_11_9,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_9,True,,XS_100,XS_100,1.0,,d_counseling_noah_11_15,,,,1,good,
d_counseling_noah_11_10,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_10,True,,XS_10,XS_10,1.0,,,,,,1,good,
d_counseling_noah_11_11,d_counseling_noah_11,Monologue,0,noah,,Locale_Counseling:d_counseling_noah_11_11,False,,XS_10,XS_100,1.0,,,Low_2,Blur_High,,1,good,
d_counseling_noah_11_12,d_counseling_noah_11,Narration,0,noah,,Locale_Counseling:d_counseling_noah_11_12,False,,black,black,1.0,,,,,,1,idle,
d_counseling_noah_11_13,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_13,False,,black,black,1.0,,,,,,1,idle,
d_counseling_noah_11_14,d_counseling_noah_11,Speech,0,noah,noah,Locale_Counseling:d_counseling_noah_11_14,True,,black,black,1.0,,,,,,1,idle,
d_counseling_noah_11_15,d_counseling_noah_11,Narration,0,noah,,Locale_Counseling:d_counseling_noah_11_15,False,none,black,black,1.0,,,,,,1,idle,noah
