id,group_id,speech_window,attractive_point,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_counseling_mori_04_1,d_counseling_mori_04,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_04_1,True,CommanderRoom,S_10,S_100,0.5,bgm_story_backtonormal,,,,mori,1,idle,
d_counseling_mori_04_2,d_counseling_mori_04,Narration,0,mori,,Locale_Counseling:d_counseling_mori_04_2,False,,S_100,S_100,1.0,,sfx_scn_crumblingsupplies,Low_2,,,1,idle,
d_counseling_mori_04_3,d_counseling_mori_04,Monologue,0,mori,,Locale_Counseling:d_counseling_mori_04_3,False,,S_100,S_100,1.0,,,,,,1,idle,
d_counseling_mori_04_4,d_counseling_mori_04,Choice,120,mori,,Locale_Counseling:d_counseling_mori_04_4,False,,S_100,S_100,1.0,,,,d_counseling_mori_04_6,,1,idle,
d_counseling_mori_04_5,d_counseling_mori_04,Choice,100,mori,,Locale_Counseling:d_counseling_mori_04_5,False,,S_100,S_100,1.0,,,,d_counseling_mori_04_10,,1,idle,
d_counseling_mori_04_6,d_counseling_mori_04,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_04_6,True,,S_100,S_100,1.0,,,,,,1,think,
d_counseling_mori_04_7,d_counseling_mori_04,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_04_7,False,,S_100,S_10,1.0,,,,,,1,think,
d_counseling_mori_04_8,d_counseling_mori_04,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_04_8,True,,S_10,S_10,1.0,,,,,,1,think,
d_counseling_mori_04_9,d_counseling_mori_04,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_04_9,True,,S_10,S_10,1.0,,,,d_counseling_mori_04_13,,1,think,
d_counseling_mori_04_10,d_counseling_mori_04,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_04_10,False,,S_100,S_10,0.5,,,,,,1,pain,
d_counseling_mori_04_11,d_counseling_mori_04,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_04_11,True,,S_10,S_10,1.0,,,,,,1,pain,
d_counseling_mori_04_12,d_counseling_mori_04,Speech,0,mori,mori,Locale_Counseling:d_counseling_mori_04_12,True,,S_10,S_10,1.0,,,,d_counseling_mori_04_13,,1,pain,
d_counseling_mori_04_13,d_counseling_mori_04,Narration,0,mori,,Locale_Counseling:d_counseling_mori_04_13,False,none,S_10,S_10,1.0,,,,,,1,idle,mori
