id,group_id,speech_window,attractive_point,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_counseling_d_killerwife_10_1,d_counseling_d_killerwife_10,Monologue,0,Monologue,Locale_Counseling:d_counseling_d_killerwife_10_1,False,CommanderRoom,10,10,1.0,bgm_story_backtonormal,,,,,,,
d_counseling_d_killerwife_10_2,d_counseling_d_killerwife_10,Narration,0,Narration,Locale_Counseling:d_counseling_d_killerwife_10_2,False,,10,10,1.0,,sfx_scn_autodooropen,,,,,,
d_counseling_d_killerwife_10_3,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_3,True,,10,10,1.0,,,d,d_w,1,idle,,
d_counseling_d_killerwife_10_4,d_counseling_d_killerwife_10,Choice,120,Choice,Locale_Counseling:d_counseling_d_killerwife_10_4,False,,10,10,1.0,,,,,1,idle,d_counseling_d_killerwife_10_6,
d_counseling_d_killerwife_10_5,d_counseling_d_killerwife_10,Choice,100,Choice,Locale_Counseling:d_counseling_d_killerwife_10_5,False,,10,10,1.0,,,,,1,idle,d_counseling_d_killerwife_10_9,
d_counseling_d_killerwife_10_6,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_6,True,,10,100,1.0,,,d,,1,special,,
d_counseling_d_killerwife_10_7,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_7,True,,100,100,1.0,,,d,,1,special,,
d_counseling_d_killerwife_10_8,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_8,True,,100,100,1.0,,,d,,1,special,d_counseling_d_killerwife_10_15,
d_counseling_d_killerwife_10_9,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_9,True,,10,100,1.0,,,d,,1,think,,
d_counseling_d_killerwife_10_10,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_10,True,,100,100,1.0,,,d,,1,think,,
d_counseling_d_killerwife_10_11,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_11,True,,100,100,1.0,,,d,,1,think,,
d_counseling_d_killerwife_10_12,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_12,True,,100,100,1.0,,,d,,1,special,,
d_counseling_d_killerwife_10_13,d_counseling_d_killerwife_10,Speech,0,d_w,Locale_Counseling:d_counseling_d_killerwife_10_13,True,,100,100,1.0,,,d,,1,special,,
d_counseling_d_killerwife_10_14,d_counseling_d_killerwife_10,Monologue,0,Monologue,Locale_Counseling:d_counseling_d_killerwife_10_14,False,,100,100,1.0,,,,,1,special,d_counseling_d_killerwife_10_15,
d_counseling_d_killerwife_10_15,d_counseling_d_killerwife_10,Narration,0,Narration,Locale_Counseling:d_counseling_d_killerwife_10_15,False,none,100,100,1.0,,,,,1,special,,d_w
