id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
s003_16_1,s003_16,Narration,Locale_SideStory:s003_16_1,False,CityForest_01,black,black,1.0,bgm_destroyingcalamity,,,yuni_n,2,idle,mihara_b,12,surprise
s003_16_2,s003_16,Speech,Locale_SideStory:s003_16_2,False,,black,black,1.0,,mihara_b,unknown,,2,idle,,12,surprise
s003_16_3,s003_16,Speech,Locale_SideStory:s003_16_3,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,surprise
s003_16_4,s003_16,Speech,Locale_SideStory:s003_16_4,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,surprise
s003_16_5,s003_16,Speech,Locale_SideStory:s003_16_5,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,surprise
s003_16_6,s003_16,Speech,Locale_SideStory:s003_16_6,True,,120,1,1.3,,yuni_n,yuni_n,,2,idle,,12,surprise
s003_16_7,s003_16,Monologue,Locale_SideStory:s003_16_7,False,,1,1,1.0,,mihara_b,,,2,idle,,12,surprise
s003_16_8,s003_16,Speech,Locale_SideStory:s003_16_8,True,,1,1,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_9,s003_16,Speech,Locale_SideStory:s003_16_9,True,,1,1,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_10,s003_16,Speech,Locale_SideStory:s003_16_10,True,,1,1,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_11,s003_16,Speech,Locale_SideStory:s003_16_11,True,,1,1,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_12,s003_16,Speech,Locale_SideStory:s003_16_12,True,,1,1,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_13,s003_16,Monologue,Locale_SideStory:s003_16_13,False,,1,120,1.3,,mihara_b,,,2,idle,,12,think
s003_16_14,s003_16,Speech,Locale_SideStory:s003_16_14,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_15,s003_16,Speech,Locale_SideStory:s003_16_15,False,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_16,s003_16,Monologue,Locale_SideStory:s003_16_16,False,,120,1200,1.3,,mihara_b,,,2,idle,,12,think
s003_16_17,s003_16,Speech,Locale_SideStory:s003_16_17,False,,1200,1200,1.0,,mihara_b,yuni_n,,2,idle,,12,think
s003_16_18,s003_16,Speech,Locale_SideStory:s003_16_18,True,,1200,120,1.3,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_19,s003_16,Speech,Locale_SideStory:s003_16_19,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_20,s003_16,Speech,Locale_SideStory:s003_16_20,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_21,s003_16,Speech,Locale_SideStory:s003_16_21,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_22,s003_16,Speech,Locale_SideStory:s003_16_22,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,think
s003_16_23,s003_16,Speech,Locale_SideStory:s003_16_23,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,idle
s003_16_24,s003_16,Speech,Locale_SideStory:s003_16_24,True,,120,1,1.3,,yuni_n,yuni_n,,2,idle,,12,idle
s003_16_25,s003_16,Speech,Locale_SideStory:s003_16_25,True,,1,1,1.0,,mihara_b,mihara_b,,2,idle,,12,idle
s003_16_26,s003_16,Speech,Locale_SideStory:s003_16_26,True,,1,1,1.0,,yuni_n,yuni_n,,2,idle,,12,idle
s003_16_27,s003_16,Speech,Locale_SideStory:s003_16_27,True,,1,1,1.0,,mihara_b,mihara_b,,2,idle,,12,idle
s003_16_28,s003_16,Speech,Locale_SideStory:s003_16_28,True,,1,1,1.0,,mihara_b,mihara_b,,2,idle,,12,idle
s003_16_29,s003_16,Speech,Locale_SideStory:s003_16_29,True,,1,120,1.3,,mihara_b,mihara_b,,2,idle,,12,idle
s003_16_30,s003_16,Speech,Locale_SideStory:s003_16_30,True,,120,120,1.0,,mihara_b,mihara_b,,2,idle,,12,idle
