id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
s002_01_1,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_1,True,Jail,1,113,1.5,bgm_recognition_underworld,,mana,1,idle,yuni,13,think
s002_01_2,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_2,False,,113,113,1.0,,,,1,idle,,13,think
s002_01_3,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_3,True,,113,113,1.0,,,,1,idle,,13,think
s002_01_4,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_4,True,,113,113,1.0,,,,1,idle,,13,think
s002_01_5,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_5,True,,113,113,1.0,,,,1,idle,,13,think
s002_01_6,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_6,False,,113,113,1.0,,,,1,idle,,13,think
s002_01_7,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_7,True,,113,10,1.0,,,,1,idle,,13,think
s002_01_8,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_8,True,,10,10,1.0,,,,1,idle,,13,think
s002_01_9,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_9,True,,S_1300,S_1300,1.0,,,,1,idle,,13,surprise
s002_01_10,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_10,True,,S_1300,S_130,1.0,,,,1,idle,,13,surprise
s002_01_11,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_11,True,,S_130,113,1.0,,,,1,idle,,13,surprise
s002_01_12,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_12,True,,113,113,1.0,,,,1,idle,,13,surprise
s002_01_13,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_13,True,,113,113,1.0,,,,1,idle,,13,surprise
s002_01_14,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_14,True,,113,113,1.0,,,,1,idle,,13,surprise
s002_01_15,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_15,True,,113,113,1.0,,,,1,idle,,13,surprise
s002_01_16,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_16,True,,113,113,1.0,,,,1,idle,,13,surprise
s002_01_17,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_17,True,,113,10,1.0,,,,1,idle,,13,surprise
s002_01_18,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_18,True,,10,100,1.0,,,,1,idle,,13,surprise
s002_01_19,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_19,True,,100,100,1.0,,,,1,idle,,13,surprise
s002_01_20,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_20,True,,S_1300,S_1300,1.0,,,,1,idle,,13,think
s002_01_21,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_21,True,,100,100,1.0,,,,1,idle,,13,think
s002_01_22,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_22,True,,S_1300,S_1300,1.0,,,,1,idle,,13,think
s002_01_23,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_23,True,,100,10,1.0,,,,1,idle,,13,think
s002_01_24,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_24,True,,10,10,1.0,,,,1,idle,,13,think
s002_01_25,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_25,True,,10,10,1.0,,,,1,idle,,13,think
s002_01_26,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_26,True,,10,10,1.0,,,,1,idle,,13,think
s002_01_27,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_27,True,,10,100,1.0,,,,1,idle,,13,think
s002_01_28,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_28,True,,S_1300,S_1300,1.0,,,,1,idle,,13,surprise
s002_01_29,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_29,True,,100,100,1.0,,,,1,idle,,13,surprise
s002_01_30,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_30,True,,100,10,1.0,,,,1,idle,,13,surprise
s002_01_31,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_31,True,,10,113,1.0,,,,1,idle,,13,think
s002_01_32,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_32,True,,113,113,1.0,,,,1,idle,,13,think
s002_01_33,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_33,True,,113,113,1.0,,,,1,idle,,13,think
s002_01_34,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_34,False,,113,113,1.0,,,,1,idle,,13,think
s002_01_35,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_35,True,,113,113,1.0,,,,1,idle,,13,think
s002_01_36,s002_01,Narration,mana,,Locale_SideStory:s002_01_36,False,,black,black,1.0,none,sfx_scn_grab,,1,idle,,13,think
s002_01_37,s002_01,Monologue,yuni,,Locale_SideStory:s002_01_37,False,,black,black,1.0,,,,1,idle,,13,think
s002_01_38,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_38,True,,S_130,S_1300,0.7,bgm_areah,,,1,idle,,13,pain
s002_01_39,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_39,True,,10,100,0.7,,,,1,idle,,13,pain
s002_01_40,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_40,True,,S_1300,S_1300,1.0,,,,1,idle,,13,pain
s002_01_41,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_41,True,,S_1300,S_1300,1.0,,,,1,idle,,13,pain
s002_01_42,s002_01,Speech,mana,mana,Locale_SideStory:s002_01_42,True,,100,100,1.0,,,,1,idle,,13,pain
s002_01_43,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_43,True,,S_1300,S_1300,1.0,,,,1,idle,,13,pain
s002_01_44,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_44,True,,S_1300,S_1300,1.0,,,,1,idle,,13,pain
s002_01_45,s002_01,Speech,yuni,yuni,Locale_SideStory:s002_01_45,True,,S_1300,S_130,0.7,,,,1,idle,,13,pain
