id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
s002_09_1,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_1,False,MissilisOffice,black,black,1.0,bgm_floraltribute,Grey,Vignetting,,,,,,,syuen,1,idle,,,,,
s002_09_2,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_2,False,,S_10,S_100,1.0,,Grey,Vignetting,,,,,,,,1,idle,,,,,
s002_09_3,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_3,False,,S_100,S_100,1.0,,Grey,Vignetting,,,,,,,,1,idle,,,,,
s002_09_4,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_4,False,,S_100,S_100,1.0,,Grey,Vignetting,,,,,,,,1,idle,,,,,
s002_09_5,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_5,False,,S_100,S_100,1.0,,Grey,Vignetting,,,,,,,,1,idle,,,,,
s002_09_6,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_6,False,none,black,black,1.0,,Grey,Vignetting,,,,,,,,3,idle,syuen,,,,
s002_09_7,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_7,False,,black,black,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
s002_09_8,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_8,False,,black,black,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
s002_09_9,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_9,False,,black,black,1.0,,Grey,Vignetting,,,,,,,,,,,,,,
s002_09_10,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_10,False,CityForest_01,black,black,1.0,,Grey,Vignetting,,,,,,,talkative,1,idle,,,,,
s002_09_11,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_11,False,,XS_100,XS_10,1.0,,Grey,Vignetting,,,,,,,,1,idle,,,,,
s002_09_12,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_12,False,,XS_10,XS_10,1.0,,Grey,Vignetting,,,,,,,,1,idle,,,,,
s002_09_13,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_13,False,,XS_10,XS_10,1.0,,Grey,Vignetting,,,,,,,,1,idle,,,,,
s002_09_14,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_14,False,,XS_10,XS_10,1.0,,Grey,Vignetting,,,,,,,,1,idle,,,,,
s002_09_15,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_15,False,,black,black,1.0,,,,,,,,,,,1,idle,talkative,,,,
s002_09_16,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_16,False,,black,black,1.0,,,,,,,,,,,,,,,,,
s002_09_17,s002_09,Monologue,mihara,,Locale_SideStory:s002_09_17,False,NikkeCorridor,100,100,1.0,none,,,black,,mihara,1,think,,,,,,,,,
s002_09_18,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_18,False,,100,100,1.0,,,,,,,1,think,,,,,,,,,
s002_09_19,s002_09,Monologue,mihara,,Locale_SideStory:s002_09_19,False,,100,10,1.0,,,,,,,1,think,,,,,,,,,
s002_09_20,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_20,True,,10,10,1.0,bgm_recognition_underworld,,,,,,1,think,,,,,,,,,
s002_09_21,s002_09,Narration,mihara,,Locale_SideStory:s002_09_21,False,,black,black,1.0,,,,,sfx_scn_autodooropen,,1,think,,,,,,,,,
s002_09_22,s002_09,Monologue,mihara,,Locale_SideStory:s002_09_22,False,NikkeRoom,black,black,1.0,,,,,,,1,think,,,,,,,,,
s002_09_23,s002_09,Monologue,mihara,,Locale_SideStory:s002_09_23,False,,5,1,2.0,,,,,,,1,think,,,,,,,,,
s002_09_24,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_24,True,,1,1,1.0,,,,,,,1,pain,,,,,,,,,
s002_09_25,s002_09,Monologue,mihara,,Locale_SideStory:s002_09_25,False,,1,15,2.0,,,,,,,1,pain,,,,,,,,,
s002_09_26,s002_09,Monologue,mihara,,Locale_SideStory:s002_09_26,False,,15,15,1.0,,,,,,,1,pain,,,,,,,,,
s002_09_27,s002_09,Monologue,mihara,,Locale_SideStory:s002_09_27,False,,15,150,1.0,,,,,,,1,pain,,,,,,,,,
s002_09_28,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_28,True,,150,10,2.0,,,,,,,1,pain,,,,,,,,,
s002_09_29,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_29,True,,10,10,1.0,,,,,,,1,pain,,,,,,,,,
s002_09_30,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_30,True,,10,10,1.0,,,,,,,1,pain,,,,,,,,,
s002_09_31,s002_09,Monologue,mihara,,Locale_SideStory:s002_09_31,False,,10,10,1.0,,,,,,,1,pain,,,,,,,,,
s002_09_32,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_32,True,,10,10,1.0,,,,,,,1,pain,,,,,,,,,
s002_09_33,s002_09,Speech,mihara,mihara,Locale_SideStory:s002_09_33,True,,10,10,1.0,,,,,,,1,think,,,,,,,,,
