id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id
s002_10_1,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_1,True,mihara,1,think,mana,3,idle,NikkeRoom,10,1,1.0,bgm_floraltribute,,
s002_10_2,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_2,True,,1,think,,3,idle,,1,1,1.0,,,
s002_10_3,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_3,True,,1,think,,3,idle,,1,31,1.0,,,
s002_10_4,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_4,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_5,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_5,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_6,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_6,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_7,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_7,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_8,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_8,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_9,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_9,True,,1,think,,3,idle,,31,30,1.0,,,
s002_10_10,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_10,True,,1,think,,3,idle,,30,30,1.0,,,
s002_10_11,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_11,True,,1,think,,3,idle,,30,30,1.0,,,
s002_10_12,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_12,True,,1,think,,3,idle,,30,30,1.0,,,
s002_10_13,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_13,True,,1,think,,3,idle,,30,30,1.0,,,
s002_10_14,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_14,True,,1,think,,3,idle,,30,31,1.0,,,
s002_10_15,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_15,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_16,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_16,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_17,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_17,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_18,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_18,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_19,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_19,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_20,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_20,True,,1,think,,3,idle,,31,10,1.0,,,
s002_10_21,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_21,True,,1,think,,3,idle,,10,100,1.0,,,
s002_10_22,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_22,True,,1,think,,3,idle,,300,300,1.0,,,
s002_10_23,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_23,True,,1,think,,3,idle,,100,100,1.0,,,
s002_10_24,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_24,True,,1,think,,3,idle,,300,300,1.0,,,
s002_10_25,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_25,True,,1,think,,3,idle,,100,100,1.0,,,
s002_10_26,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_26,True,,1,think,,3,idle,,100,10,1.0,,,
s002_10_27,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_27,True,,1,think,,3,idle,,10,31,1.0,,,
s002_10_28,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_28,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_29,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_29,False,,1,think,,3,idle,,31,31,1.0,,,
s002_10_30,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_30,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_31,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_31,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_32,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_32,False,,1,think,,3,idle,,31,31,1.0,,,
s002_10_33,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_33,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_34,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_34,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_35,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_35,True,,1,think,,3,idle,,31,31,1.0,,,
s002_10_36,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_36,True,,1,idle,,3,idle,,31,31,1.0,,,
s002_10_37,s002_10,Speech,mihara,mihara,Locale_SideStory:s002_10_37,True,,1,idle,,3,idle,,31,31,1.0,,,
s002_10_38,s002_10,Speech,mana,mana,Locale_SideStory:s002_10_38,True,,1,idle,,3,idle,,300,300,1.0,,,
