id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake
s003_14_1,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_1,True,lev,2,idle_02,littlemermaid,12,idle,SilentBeach_d,1,1,1.0,bgm_chapter31_field_beast_b,,,,,
s003_14_2,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_2,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_3,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_3,True,,2,angry_02,,12,idle,,1,1,1.0,,,,,,
s003_14_4,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_4,True,,2,angry_02,,12,rage,,1,L_120,1.3,,,,,,
s003_14_5,s003_14,Monologue,littlemermaid,,Locale_SideStory:s003_14_5,False,,2,angry_02,,12,rage,,black,black,1.0,,,,,,
s003_14_6,s003_14,Monologue,littlemermaid,,Locale_SideStory:s003_14_6,False,,2,angry_02,,12,rage,,black,black,1.0,,,,,,
s003_14_7,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_7,False,,2,worry_02,,12,rage,,S_20,S_20,1.0,,,,,,
s003_14_8,s003_14,Narration,,,Locale_SideStory:s003_14_8,False,,2,idle_02,,12,idle,SilentBeach_d,black,black,1.0,,black,,,,
s003_14_9,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_9,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_10,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_10,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_11,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_11,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_12,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_12,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_13,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_13,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_14,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_14,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_15,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_15,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_16,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_16,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_17,s003_14,Speech,lev,lev,Locale_SideStory:s003_14_17,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_14_18,s003_14,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_14_18,True,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
