id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
s003_06_1,s003_06,Monologue,lev,Locale_SideStory:s003_06_1,False,silentcave_on,black,black,1.0,bgm_story_discussion,,,,lev,2,idle,,,,
s003_06_2,s003_06,Speech,lev,Locale_SideStory:s003_06_2,True,,2,2,1.0,,lev,,,,2,delight,,,,
s003_06_3,s003_06,Speech,lev,Locale_SideStory:s003_06_3,False,,2,1,1.3,,littlemermaid,,,,2,delight,littlemermaid,12,idle,
s003_06_4,s003_06,Narration,lev,Locale_SideStory:s003_06_4,False,,1,1,1.0,,,sfx_scn_blankethit,,,2,delight,,12,idle,
s003_06_5,s003_06,Monologue,lev,Locale_SideStory:s003_06_5,False,,1,1,1.0,,,,,,2,delight,,12,idle,
s003_06_6,s003_06,Speech,lev,Locale_SideStory:s003_06_6,True,,1,1,1.0,,lev,,,,2,delight,,12,idle,
s003_06_7,s003_06,Speech,littlemermaid,Locale_SideStory:s003_06_7,True,,1,1,1.3,,littlemermaid,,,,2,delight,,12,delight,
s003_06_8,s003_06,Monologue,littlemermaid,Locale_SideStory:s003_06_8,False,,1,1,1.0,,,,,,2,delight,,12,delight,
s003_06_9,s003_06,Speech,lev,Locale_SideStory:s003_06_9,True,,1,S_20,1.3,,lev,,,,2,shy,,12,delight,
s003_06_10,s003_06,Monologue,lev,Locale_SideStory:s003_06_10,False,,black,black,1.0,,,,,,2,shy,,12,idle,
s003_06_11,s003_06,Speech,littlemermaid,Locale_SideStory:s003_06_11,True,,L_120,L_120,1.0,,littlemermaid,,,,2,shy,,12,idle,
s003_06_12,s003_06,Speech,lev,Locale_SideStory:s003_06_12,True,,L_120,1,1.3,,lev,,,,2,surprise,,12,idle,
s003_06_13,s003_06,Speech,lev,Locale_SideStory:s003_06_13,True,,1,1,1.0,,lev,,,,2,surprise,,12,idle,
s003_06_14,s003_06,Speech,littlemermaid,Locale_SideStory:s003_06_14,True,,1,1,1.0,,littlemermaid,,,,2,idle,,12,idle,
s003_06_15,s003_06,Speech,lev,Locale_SideStory:s003_06_15,True,,1,1,1.0,,lev,,,,2,idle,,12,idle,
s003_06_16,s003_06,Narration,littlemermaid,Locale_SideStory:s003_06_16,False,,1,1,1.0,,,,,,2,idle,,12,idle,
s003_06_17,s003_06,Speech,lev,Locale_SideStory:s003_06_17,True,,1,1,1.0,,lev,,,,2,idle,,12,idle,
s003_06_18,s003_06,Speech,littlemermaid,Locale_SideStory:s003_06_18,True,,1,1,1.0,,littlemermaid,,,,2,idle,,12,idle,
s003_06_19,s003_06,Speech,lev,Locale_SideStory:s003_06_19,True,,1,S_20,1.3,,lev,,,,2,angry,,12,idle,
s003_06_20,s003_06,Speech,lev,Locale_SideStory:s003_06_20,True,,S_20,S_20,1.0,,lev,,,,2,worry,,12,idle,
