id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,characters/2/hide_char_id
s001_13_1,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_1,True,marian_p,1,idle,chime,3,angry_02,crown,13,idle,CrownCastleDiningRoom_d,3,XXS_30,0.5,bgm_story_boing,,,
s001_13_2,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_2,True,,1,idle,,3,angry_02,,13,idle,,XXS_30,XXS_30,1.0,,,,
s001_13_3,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_3,True,,1,idle,,3,angry_02,,13,idle,,XXS_30,XXS_300,1.0,,,,
s001_13_4,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_4,True,,1,idle,,3,angry_02,,13,idle,,XXS_300,31,1.0,,,,
s001_13_5,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_5,True,,1,idle,,3,angry_02,,13,idle,,31,31,1.0,,,,
s001_13_6,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_6,True,,1,idle,,3,angry_02,,13,idle,,31,31,1.0,,,,
s001_13_7,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_7,True,,1,idle,,3,angry_02,,13,idle,,31,31,1.0,,,,
s001_13_8,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_8,True,,1,idle,,3,angry_02,,13,idle,,31,31,1.0,,,,
s001_13_9,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_9,True,,1,idle,,3,angry_02,,13,idle,,31,3,1.0,,,,
s001_13_10,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_10,True,,1,idle,,3,angry,,13,idle,,3,XXS_30,1.0,,,,
s001_13_11,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_11,True,,1,idle,,3,angry,,13,idle,,XXS_30,XXS_30,1.0,,,,
s001_13_12,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_12,True,,1,idle,,3,angry,,13,idle,,130,130,1.0,,,,
s001_13_13,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_13,True,,1,idle,,3,angry,,13,delight,,130,130,1.0,,,,
s001_13_14,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_14,True,,1,idle,,3,sad,,13,delight,,XXS_30,XXS_30,1.0,,,,
s001_13_15,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_15,True,,1,idle,,3,sad,,13,delight,,10,10,1.0,,,,
s001_13_16,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_16,True,,1,idle,,3,sad,,13,think,,10,113,1.0,,,,
s001_13_17,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_17,True,,1,delight,,3,sad,,13,think,,113,113,1.0,,,,
s001_13_18,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_18,False,,1,delight,,3,sad,,13,angry,,113,113,1.0,,,,
s001_13_19,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_19,True,,1,delight,,3,angry_02,,13,angry,,XXS_30,XXS_300,0.7,,,,
s001_13_20,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_20,True,,1,delight,,3,angry_02,,13,idle,,1300,1300,1.0,,,,
s001_13_21,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_21,True,,1,delight,,3,angry_02,,13,idle,,1300,100,1.0,,,,
s001_13_22,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_22,True,,1,delight,,3,angry_02,,13,idle,,100,113,1.0,,,,
s001_13_23,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_23,True,,1,delight,,3,angry_02,,13,idle,,113,113,1.0,,,,
s001_13_24,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_24,True,,1,delight,,3,angry_02,,13,idle,,113,113,1.0,,,,
s001_13_25,s001_13,Narration,crown,,Locale_SideStory:s001_13_25,False,,1,delight,,1,angry_02,,13,idle,,black,black,1.0,none,marian_p,sfx_scn_dooropenlarge2,
s001_13_26,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_26,False,,,,,1,void,,13,idle,,113,113,1.0,,,,
s001_13_27,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_27,True,,,,,1,void,,13,idle,,113,113,1.0,bgm_frostpillar,,,
s001_13_28,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_28,True,,,,,1,void,,13,idle,,113,113,1.0,,,,
s001_13_29,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_29,True,,,,,1,void,,13,idle,,113,113,1.0,,,,
s001_13_30,s001_13,Narration,chime,,Locale_SideStory:s001_13_30,False,,,,,1,shy,,13,idle,,113,XXS_10,1.0,,,,
s001_13_31,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_31,True,,,,,1,special,,13,idle,,XXS_10,XXS_100,1.0,,,,
s001_13_32,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_32,True,,,,,1,special,,13,think,,1300,1300,1.0,,,,
s001_13_33,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_33,True,,,,,1,special,,13,think,,1300,130,1.0,,,,
s001_13_34,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_34,True,,,,,1,void,,13,idle,,130,113,1.0,,,,
s001_13_35,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_35,False,,,,,1,void,,13,idle,,113,113,1.0,,,,
s001_13_36,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_36,True,,,,,1,sad,,13,idle,,113,113,1.0,,,,
s001_13_37,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_37,True,,,,,1,sad,,13,idle,,113,113,1.0,,,,
s001_13_38,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_38,True,,,,,1,void,,13,idle,,113,113,1.0,,,,
s001_13_39,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_39,True,,,,,1,void,,13,idle,,113,113,1.0,,,,
s001_13_40,s001_13,Speech,crown,crown,Locale_SideStory:s001_13_40,True,,,,,1,void,,13,idle,,113,113,1.0,,,,
s001_13_41,s001_13,Narration,crown,,Locale_SideStory:s001_13_41,False,,,,,1,void,,13,idle,,113,113,1.0,,,,crown
s001_13_42,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_42,False,,,,,1,void,,,,,113,1,1.0,,,,
s001_13_43,s001_13,Narration,chime,,Locale_SideStory:s001_13_43,False,marian_p,1,idle,,3,void,,,,,black,black,1.0,,,,
s001_13_44,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_44,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,
s001_13_45,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_45,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,
s001_13_46,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_46,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,
s001_13_47,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_47,True,,1,idle,,3,idle,,,,,31,31,1.0,,,,
s001_13_48,s001_13,Speech,chime,chime,Locale_SideStory:s001_13_48,True,,1,surprise,,3,void,,,,,31,31,1.0,,,,
s001_13_49,s001_13,Speech,marian_p,marian_p,Locale_SideStory:s001_13_49,True,,1,surprise,,3,void,,,,,31,31,1.0,,,,
