id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,play_ambient,ambient_volume,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
s001_06_1,s001_06,Narration,Locale_SideStory:s001_06_1,False,Desert_02_n,black,black,1.0,event_bgm_wm_riverside,,,,,,,,marian_p,1,delight,,rapunzel,3,idle,snowwhite,5,special,,hongryeon,7,idle
s001_06_2,s001_06,Speech,Locale_SideStory:s001_06_2,False,,5,50,0.7,,snowwhite,snowwhite,,,,,,,1,delight,,,3,idle,,5,special,,,7,idle
s001_06_3,s001_06,Speech,Locale_SideStory:s001_06_3,True,,50,53,1.0,,rapunzel,rapunzel,,,,,,,1,delight,,,3,idle,,5,special,,,7,idle
s001_06_4,s001_06,Speech,Locale_SideStory:s001_06_4,True,,53,53,1.0,,snowwhite,snowwhite,,,,,,,1,delight,,,3,idle,,5,special,,,7,idle
s001_06_5,s001_06,Speech,Locale_SideStory:s001_06_5,True,,70,70,1.0,,hongryeon,hongryeon,,,,,,,1,delight,,,3,idle,,5,special,,,7,idle
s001_06_6,s001_06,Speech,Locale_SideStory:s001_06_6,True,,70,70,1.0,,hongryeon,hongryeon,,,,,,,1,delight,,,3,idle,,5,special,,,7,idle
s001_06_7,s001_06,Speech,Locale_SideStory:s001_06_7,True,,10,10,1.0,,marian_p,marian_p,,,,,,,1,delight,,,3,idle,,5,special,,,7,idle
s001_06_8,s001_06,Speech,Locale_SideStory:s001_06_8,True,,10,30,1.0,,rapunzel,rapunzel,,,,,,,1,delight,,,3,idle,,5,special,,,7,idle
s001_06_9,s001_06,Speech,Locale_SideStory:s001_06_9,True,,30,30,1.0,,rapunzel,rapunzel,,,,,,,1,delight,,,3,idle,,5,special,,,7,idle
s001_06_10,s001_06,Speech,Locale_SideStory:s001_06_10,True,,30,53,1.0,,snowwhite,snowwhite,,,,,,,1,idle,,,3,idle,,5,special,,,7,idle
s001_06_11,s001_06,Speech,Locale_SideStory:s001_06_11,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,1,idle,,,3,sad,,5,special,,,7,idle
s001_06_12,s001_06,Speech,Locale_SideStory:s001_06_12,True,,53,53,1.0,,snowwhite,snowwhite,,,,,,,1,idle,,,3,sad,,5,special,,,7,idle
s001_06_13,s001_06,Speech,Locale_SideStory:s001_06_13,True,,53,53,1.0,,rapunzel,rapunzel,,,,,,,1,idle,,,3,idle,,5,special,,,7,idle
s001_06_14,s001_06,Narration,Locale_SideStory:s001_06_14,False,,53,53,1.0,,rapunzel,,,,,,,,1,idle,,,3,idle,,5,special,,,7,idle
s001_06_15,s001_06,Speech,Locale_SideStory:s001_06_15,True,,53,5,1.0,,snowwhite,snowwhite,,,,,,,1,idle,,,3,idle,,5,special,,,7,idle
s001_06_16,s001_06,Speech,Locale_SideStory:s001_06_16,False,,5,50,1.0,,snowwhite,snowwhite,,,,,,,1,idle,,,3,idle,,5,special,,,7,idle
s001_06_17,s001_06,Speech,Locale_SideStory:s001_06_17,True,,50,50,1.0,,snowwhite,snowwhite,,,,,,,1,idle,,,3,idle,,5,special,,,7,idle
s001_06_18,s001_06,Speech,Locale_SideStory:s001_06_18,True,,50,53,1.0,,rapunzel,rapunzel,,,,,,,1,idle,,,3,sad,,5,special,,,7,idle
s001_06_19,s001_06,Speech,Locale_SideStory:s001_06_19,True,,53,53,1.0,,snowwhite,snowwhite,,,,,,,1,idle,,,3,sad,,5,special,,,7,idle
s001_06_20,s001_06,Narration,Locale_SideStory:s001_06_20,False,,53,53,1.0,,snowwhite,,,,,,,,1,idle,,,3,sad,,5,special,snowwhite,,7,idle
s001_06_21,s001_06,Speech,Locale_SideStory:s001_06_21,True,,53,31,1.0,,marian_p,marian_p,,,,,,,1,surprise,,,3,sad,,,,,,7,idle
s001_06_22,s001_06,Speech,Locale_SideStory:s001_06_22,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,1,surprise,,,3,idle,,,,,,7,idle
s001_06_23,s001_06,Narration,Locale_SideStory:s001_06_23,False,,31,31,1.0,,rapunzel,,,,,,,,1,surprise,,,3,idle,,,,,,7,idle
s001_06_24,s001_06,Speech,Locale_SideStory:s001_06_24,True,,31,31,1.0,,marian_p,marian_p,,,,,,,1,surprise,,,3,idle,,,,,,7,idle
s001_06_25,s001_06,Speech,Locale_SideStory:s001_06_25,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,1,surprise,,,3,idle,,,,,,7,idle
s001_06_26,s001_06,Speech,Locale_SideStory:s001_06_26,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,1,surprise,,,3,idle,,,,,,7,idle
s001_06_27,s001_06,Speech,Locale_SideStory:s001_06_27,False,,31,31,1.0,,marian_p,marian_p,,,,,,,1,sad2,,,3,idle,,,,,,7,idle
s001_06_28,s001_06,Speech,Locale_SideStory:s001_06_28,True,,31,31,1.0,,rapunzel,rapunzel,,,,,,,1,sad2,,,3,idle,,,,,,7,idle
s001_06_29,s001_06,Narration,Locale_SideStory:s001_06_29,False,,black,black,1.0,,rapunzel,,sfx_scn_rustle,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_30,s001_06,Narration,Locale_SideStory:s001_06_30,False,,3,30,1.0,,rapunzel,,sfx_scn_firestarter,,,,,,1,sad2,,,3,idle,,,,,,5,idle
s001_06_31,s001_06,Narration,Locale_SideStory:s001_06_31,False,,30,30,1.0,,rapunzel,,,ambient_scn_burnsilent,100.0,,,,1,sad2,,,3,idle,,,,,,5,idle
