id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,fade
s003_04_1,s003_04,Narration,blackwatergirl,Locale_SideStory:s003_04_1,False,blackwatergirl,2,idle,silentcave_on,2,2,1.0,sfx_scn_hungry,none,,,,,,,,
s003_04_2,s003_04,Speech,blackwatergirl,Locale_SideStory:s003_04_2,True,,2,angry,,2,2,1.0,,,blackwatergirl,,,,,,,
s003_04_3,s003_04,Speech,blackwatergirl,Locale_SideStory:s003_04_3,True,,2,angry,,2,2,1.0,,,blackwatergirl,,,,,,,
s003_04_4,s003_04,Speech,blackwatergirl,Locale_SideStory:s003_04_4,True,,2,angry,,2,2,1.0,,,blackwatergirl,,,,,,,
s003_04_5,s003_04,Speech,littlemermaid,Locale_SideStory:s003_04_5,False,,2,angry,,2,1,1.0,,bgm_story_boing,littlemermaid,littlemermaid,12,delight,,,,
s003_04_6,s003_04,Speech,blackwatergirl,Locale_SideStory:s003_04_6,False,,2,surprise,,1,1,1.0,,,blackwatergirl,,12,delight,,,,
s003_04_7,s003_04,Speech,blackwatergirl,Locale_SideStory:s003_04_7,True,,2,surprise,,1,S_20,1.3,,,blackwatergirl,,12,delight,Low_2,,,
s003_04_8,s003_04,Speech,littlemermaid,Locale_SideStory:s003_04_8,False,,2,surprise,,S_20,L_120,1.3,,,littlemermaid,,12,surprise,,,,
s003_04_9,s003_04,Narration,blackwatergirl,Locale_SideStory:s003_04_9,False,,2,surprise,,black,black,1.0,sfx_scn_heavytrip,,,,12,surprise,,,,
s003_04_10,s003_04,Monologue,blackwatergirl,Locale_SideStory:s003_04_10,False,,2,surprise,,black,black,1.0,,,,,12,surprise,,blackwatergirl,,
