id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
s003_07_1,s003_07,Narration,lev,Locale_SideStory:s003_07_1,False,silentcave_on,black,black,1.0,bgm_frostpillar,,,,lev,2,idle,,littlemermaid,12,idle
s003_07_2,s003_07,Narration,lev,Locale_SideStory:s003_07_2,False,,2,S_20,1.3,,sfx_scn_darkwater,,,,2,idle,,,12,idle
s003_07_3,s003_07,Speech,lev,Locale_SideStory:s003_07_3,True,,S_20,S_20,1.0,,,lev,,,2,angry,,,12,idle
s003_07_4,s003_07,Speech,lev,Locale_SideStory:s003_07_4,True,,S_20,S_20,1.0,,,lev,,,2,angry,,,12,idle
s003_07_5,s003_07,Monologue,lev,Locale_SideStory:s003_07_5,False,,S_20,S_20,1.0,,,,,,2,angry,,,12,idle
s003_07_6,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_6,False,,S_20,L_120,1.3,,,littlemermaid,,,2,angry,,,12,idle
s003_07_7,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_7,True,,L_120,L_120,1.0,,,littlemermaid,,,2,angry,,,12,idle
s003_07_8,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_8,True,,L_120,L_120,1.0,,,littlemermaid,,,2,angry,,,12,idle
s003_07_9,s003_07,Speech,lev,Locale_SideStory:s003_07_9,True,,L_120,1,1.3,,,lev,,,2,idle,,,12,idle
s003_07_10,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_10,True,,1,1,1.0,,,littlemermaid,,,2,idle,,,12,idle
s003_07_11,s003_07,Speech,lev,Locale_SideStory:s003_07_11,False,,1,1,1.0,,,lev,,,2,idle,,,12,idle
s003_07_12,s003_07,Speech,lev,Locale_SideStory:s003_07_12,True,,1,1,1.0,,,lev,,,2,idle,,,12,idle
s003_07_13,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_13,True,,1,1,1.0,,,littlemermaid,,,2,idle,,,12,idle
s003_07_14,s003_07,Speech,lev,Locale_SideStory:s003_07_14,True,,1,1,1.0,,,lev,,,2,angry,,,12,idle
s003_07_15,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_15,True,,1,1,1.0,,,littlemermaid,,,2,angry,,,12,idle
s003_07_16,s003_07,Speech,lev,Locale_SideStory:s003_07_16,True,,1,1,1.0,,,lev,,,2,worry,,,12,idle
s003_07_17,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_17,True,,1,1,1.0,,,littlemermaid,,,2,worry,,,12,idle
s003_07_18,s003_07,Speech,lev,Locale_SideStory:s003_07_18,True,,1,1,1.0,,,lev,,,2,worry,,,12,idle
s003_07_19,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_19,False,,1,1,1.0,,,littlemermaid,,,2,worry,,,12,idle
s003_07_20,s003_07,Speech,lev,Locale_SideStory:s003_07_20,True,,1,1,1.0,,,lev,,,2,angry,,,12,idle
s003_07_21,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_21,True,,1,1,1.0,,,littlemermaid,,,2,angry,,,12,idle
s003_07_22,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_22,True,,1,1,1.0,,,littlemermaid,,,2,angry,,,12,idle
s003_07_23,s003_07,Speech,lev,Locale_SideStory:s003_07_23,True,,1,S_20,1.3,,,lev,,,2,angry,,,12,idle
s003_07_24,s003_07,Speech,lev,Locale_SideStory:s003_07_24,True,,S_20,S_20,1.0,,,lev,,,2,angry,,,12,idle
s003_07_25,s003_07,Speech,lev,Locale_SideStory:s003_07_25,True,,S_20,S_20,1.0,,,lev,,,2,angry,,,12,idle
s003_07_26,s003_07,Speech,lev,Locale_SideStory:s003_07_26,True,,S_20,S_20,1.0,,,lev,,,2,angry,,,12,idle
s003_07_27,s003_07,Speech,lev,Locale_SideStory:s003_07_27,False,,S_20,S_20,1.0,,,littlemermaid,,,2,angry,,,12,angry
s003_07_28,s003_07,Speech,lev,Locale_SideStory:s003_07_28,True,,S_20,S_20,1.0,,,lev,,,2,surprise,,,12,angry
s003_07_29,s003_07,Speech,lev,Locale_SideStory:s003_07_29,True,,S_20,S_20,1.0,,,lev,,,2,surprise,,,12,angry
s003_07_30,s003_07,Speech,lev,Locale_SideStory:s003_07_30,True,,S_20,S_20,1.0,,,lev,,,2,surprise,,,12,angry
s003_07_31,s003_07,Speech,lev,Locale_SideStory:s003_07_31,True,,S_20,S_20,1.0,,,lev,,,2,surprise,,,12,angry
s003_07_32,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_32,True,,S_20,1,1.3,,,littlemermaid,,,2,surprise,,,12,idle
s003_07_33,s003_07,Speech,lev,Locale_SideStory:s003_07_33,True,,1,1,1.0,,,lev,,,2,idle,,,12,idle
s003_07_34,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_34,True,,1,1,1.0,,,littlemermaid,,,2,idle,,,12,idle
s003_07_35,s003_07,Speech,lev,Locale_SideStory:s003_07_35,True,,1,1,1.0,,,lev,,,2,surprise,,,12,idle
s003_07_36,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_36,True,,1,1,1.0,,,littlemermaid,,,2,surprise,,,12,idle
s003_07_37,s003_07,Speech,lev,Locale_SideStory:s003_07_37,True,,1,1,1.0,,,lev,,,2,worry,,,12,idle
s003_07_38,s003_07,Speech,lev,Locale_SideStory:s003_07_38,True,,1,1,1.0,,,lev,,,2,worry,,,12,idle
s003_07_39,s003_07,Speech,lev,Locale_SideStory:s003_07_39,True,,1,1,1.0,,,lev,,,2,worry,,,12,idle
s003_07_40,s003_07,Speech,lev,Locale_SideStory:s003_07_40,True,,1,1,1.0,,,lev,,,2,worry,,,12,idle
s003_07_41,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_41,True,,1,1,1.0,,,littlemermaid,,,2,worry,,,12,delight
s003_07_42,s003_07,Speech,lev,Locale_SideStory:s003_07_42,True,,1,1,1.0,,,lev,,,2,worry,,,12,delight
s003_07_43,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_43,True,,1,1,1.0,,,littlemermaid,,,2,worry,,,12,idle
s003_07_44,s003_07,Speech,lev,Locale_SideStory:s003_07_44,True,,1,1,1.0,,,lev,,,2,worry,,,12,idle
s003_07_45,s003_07,Monologue,littlemermaid,Locale_SideStory:s003_07_45,False,,1,L_120,1.3,,,,,,2,worry,,,12,idle
s003_07_46,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_46,True,,L_120,L_120,1.0,,,littlemermaid,,,2,worry,,,12,idle
s003_07_47,s003_07,Monologue,littlemermaid,Locale_SideStory:s003_07_47,False,,L_120,L_120,1.0,,,,,,2,worry,,,12,idle
s003_07_48,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_48,True,,L_120,L_120,1.0,,,littlemermaid,,,2,worry,,,12,idle
s003_07_49,s003_07,Speech,lev,Locale_SideStory:s003_07_49,True,,L_120,1,1.3,,,lev,,,2,idle,,,12,idle
s003_07_50,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_50,True,,1,1,1.0,,,littlemermaid,,,2,idle,,,12,idle
s003_07_51,s003_07,Speech,lev,Locale_SideStory:s003_07_51,True,,1,1,1.0,,,lev,,,2,idle,,,12,idle
s003_07_52,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_52,True,,1,1,1.0,,,littlemermaid,,,2,idle,,,12,think
s003_07_53,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_53,True,,1,1,1.0,,,littlemermaid,,,2,idle,,,12,idle
s003_07_54,s003_07,Speech,lev,Locale_SideStory:s003_07_54,True,,1,1,1.0,,,lev,,,2,surprise,,,12,idle
s003_07_55,s003_07,Speech,lev,Locale_SideStory:s003_07_55,True,,1,1,1.0,,,lev,,,2,surprise,,,12,idle
s003_07_56,s003_07,Speech,littlemermaid,Locale_SideStory:s003_07_56,False,,1,1,1.0,,,littlemermaid,,,2,surprise,,,12,think
s003_07_57,s003_07,Speech,lev,Locale_SideStory:s003_07_57,True,,1,1,1.0,,,lev,,,2,angry,,,12,think
