id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
s001_09_1,s001_09,Narration,Locale_SideStory:s001_09_1,False,Desert_05,black,black,1.0,bgm_story_thepilgrimacv,,,,marian_p,1,cry,rapunzel,3,sad,hongryeon,5,pain,snowwhite,13,idle,
s001_09_2,s001_09,Speech,Locale_SideStory:s001_09_2,True,,1,10,1.0,,marian_p,marian_p,,,1,cry,,3,sad,,5,pain,,13,idle,
s001_09_3,s001_09,Speech,Locale_SideStory:s001_09_3,True,,10,10,1.0,,marian_p,marian_p,,,1,cry,,3,sad,,5,pain,,13,idle,
s001_09_4,s001_09,Speech,Locale_SideStory:s001_09_4,True,,10,10,1.0,,marian_p,marian_p,,,1,cry,,3,sad,,5,pain,,13,idle,
s001_09_5,s001_09,Speech,Locale_SideStory:s001_09_5,True,,10,31,1.0,,rapunzel,rapunzel,,,1,cry,,3,sad,,5,pain,,13,idle,
s001_09_6,s001_09,Speech,Locale_SideStory:s001_09_6,False,,31,31,1.0,,marian_p,marian_p,,,1,cry,,3,sad,,5,pain,,13,idle,
s001_09_7,s001_09,Speech,Locale_SideStory:s001_09_7,True,,31,53,1.0,,hongryeon,hongryeon,,,1,cry,,3,sad,,5,pain,,13,idle,
s001_09_8,s001_09,Narration,Locale_SideStory:s001_09_8,False,,black,black,1.0,none,hongryeon,,,,1,cry,,3,sad,,5,pain,,13,idle,
s001_09_9,s001_09,Narration,Locale_SideStory:s001_09_9,False,,black,black,1.0,,hongryeon,,,,1,cry,,3,sad,,5,pain,,13,idle,
s001_09_10,s001_09,Speech,Locale_SideStory:s001_09_10,True,,130,1300,0.5,bgm_enemyclose,snowwhite,snowwhite,,,1,cry,,3,sad,,5,idle,,13,idle,
s001_09_11,s001_09,Speech,Locale_SideStory:s001_09_11,True,,500,500,1.0,,hongryeon,hongryeon,,,1,cry,,3,sad,,5,no,,13,idle,
s001_09_12,s001_09,Speech,Locale_SideStory:s001_09_12,True,,300,300,1.0,,rapunzel,rapunzel,,,1,cry,,3,sad,,5,no,,13,idle,
s001_09_13,s001_09,Speech,Locale_SideStory:s001_09_13,True,,1300,1300,1.0,,snowwhite,snowwhite,,,1,cry,,3,sad,,5,no,,13,idle,
s001_09_14,s001_09,Narration,Locale_SideStory:s001_09_14,False,,1300,13,1.0,,snowwhite,,sfx_scn_running,,1,cry,,3,sad,,5,no,,13,idle,snowwhite
s001_09_15,s001_09,Speech,Locale_SideStory:s001_09_15,True,,53,53,1.0,,hongryeon,hongryeon,,,1,cry,,3,sad,,5,no,,,,
s001_09_16,s001_09,Speech,Locale_SideStory:s001_09_16,True,,53,53,1.0,,rapunzel,rapunzel,,,1,cry,,3,sad,,5,no,,,,
s001_09_17,s001_09,Speech,Locale_SideStory:s001_09_17,True,,53,53,1.0,,hongryeon,hongryeon,,,1,cry,,3,sad,,5,idle,,,,
