id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/hide_char_id,characters/3/hide_char_id,play_ambient,ambient_volume,set_filter_01
s001_05_1,s001_05,Speech,marian_p,marian_p,Locale_SideStory:s001_05_1,True,marian_p,1,sad2,rapunzel,3,sad,hongryeon,13,idle,snowwhite,15,idle,Desert_02_n,10,10,1.0,event_bgm_wm_grassland,,,,,,
s001_05_2,s001_05,Speech,rapunzel,rapunzel,Locale_SideStory:s001_05_2,True,,1,sad2,,3,sad,,13,idle,,15,idle,,10,31,1.0,,,,,,,
s001_05_3,s001_05,Speech,marian_p,marian_p,Locale_SideStory:s001_05_3,False,,1,sad2,,3,sad,,13,idle,,15,idle,,31,31,1.0,,,,,,,
s001_05_4,s001_05,Speech,rapunzel,rapunzel,Locale_SideStory:s001_05_4,True,,1,sad2,,3,sad,,13,idle,,15,idle,,31,31,1.0,,,,,,,
s001_05_5,s001_05,Speech,marian_p,marian_p,Locale_SideStory:s001_05_5,True,,1,sad2,,3,sad,,13,idle,,15,idle,,31,31,1.0,,,,,,,
s001_05_6,s001_05,Speech,marian_p,marian_p,Locale_SideStory:s001_05_6,True,,1,sad2,,3,sad,,13,idle,,15,idle,,31,31,1.0,,,,,,,
s001_05_7,s001_05,Speech,rapunzel,rapunzel,Locale_SideStory:s001_05_7,False,,1,sad2,,3,sad,,13,idle,,15,idle,,31,31,1.0,,,,,,,
s001_05_8,s001_05,Speech,hongryeon,hongryeon,Locale_SideStory:s001_05_8,True,,1,sad2,,3,sad,,13,idle,,15,special,,31,13,1.5,,,,,,,
s001_05_9,s001_05,Speech,snowwhite,snowwhite,Locale_SideStory:s001_05_9,True,,1,sad2,,3,sad,,13,idle,,15,special,,13,1315,1.0,,,,,,,
s001_05_10,s001_05,Speech,hongryeon,hongryeon,Locale_SideStory:s001_05_10,True,,1,sad2,,3,sad,,13,pain,,15,special,,1315,1315,1.0,,,,,,,
