id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
s001_10_1,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_1,False,CrownCastleDiningRoom_d,3,XXS_30,1.0,bgm_story_thepilgrimacv,,snowwhite,1,idle,,chime,3,angry,,,
s001_10_2,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_2,False,,XXS_30,XXS_300,1.0,,,,1,idle,,,3,angry,,,
s001_10_3,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_3,True,,XXS_300,31,1.0,,,,1,idle,,,3,angry,,,
s001_10_4,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_4,True,,31,31,1.0,,,,1,idle,,,3,angry_02,,,
s001_10_5,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_5,True,,31,31,1.0,,,,1,idle,,,3,angry_02,,,
s001_10_6,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_6,True,,31,31,1.0,,,,1,idle,,,3,angry_02,,,
s001_10_7,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_7,True,,31,XXS_300,1.0,,,,1,idle,,,3,angry,,,
s001_10_8,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_8,True,,XXS_300,XXS_300,1.0,,,,1,idle,,,3,void,,,
s001_10_9,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_9,True,,XXS_300,XXS_300,1.0,,,,1,idle,,,3,void,,,
s001_10_10,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_10,True,,XXS_300,31,1.0,,,,1,idle,,,3,void,,,
s001_10_11,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_11,True,,31,31,1.0,,,,1,idle,,,3,void,,,
s001_10_12,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_12,True,,31,31,1.0,,,,1,idle,,,3,void,,,
s001_10_13,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_13,True,,31,10,1.0,,,,1,idle,,,3,void,,,
s001_10_14,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_14,True,,10,10,1.0,,,,1,idle,,,3,void,,,
s001_10_15,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_15,True,,10,10,1.0,,,,1,idle,,,3,void,,,
s001_10_16,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_16,True,,10,100,1.0,,,,1,idle,,,3,void,,,
s001_10_17,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_17,True,,XXS_300,XXS_300,1.0,,,,1,idle,,,3,void,,,
s001_10_18,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_18,True,,100,100,1.0,,,,1,idle,,,3,void,,,
s001_10_19,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_19,True,,100,10,1.0,,,,1,idle,,,3,void,,,
s001_10_20,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_20,True,,10,31,1.0,,,,1,idle,,,3,void,,,
s001_10_21,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_21,True,,31,31,1.0,,,,1,idle,,,3,void,,,
s001_10_22,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_22,True,,31,31,1.0,,,,1,idle,,,3,void,,,
s001_10_23,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_23,True,,31,31,1.0,none,,,1,idle,,,3,void,,,
s001_10_24,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_24,True,,31,31,1.0,,,,1,idle,,,3,void,,,
s001_10_25,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_25,True,,black,black,1.0,bgm_story_girls,,,1,idle,,,5,void,crown,3,idle
s001_10_26,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_26,True,,3,30,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_27,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_27,True,,30,30,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_28,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_28,False,,10,10,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_29,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_29,True,,XXS_50,XXS_50,1.0,,,,1,idle,,,5,angry_02,,3,idle
s001_10_30,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_30,True,,10,10,1.0,,,,1,idle,,,5,angry_02,,3,idle
s001_10_31,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_31,True,,10,31,1.0,,,,1,idle,,,5,angry_02,,3,idle
s001_10_32,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_32,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_33,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_33,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_34,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_34,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_35,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_35,True,,31,31,1.0,,,,1,special,,,5,idle,,3,idle
s001_10_36,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_36,True,,31,53,1.0,,,,1,special,,,5,idle,,3,idle
s001_10_37,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_37,True,,53,53,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_38,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_38,True,,53,53,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_39,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_39,True,,53,53,1.0,,,,1,idle,,,5,delight,,3,idle
s001_10_40,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_40,True,,53,53,1.0,,,,1,idle,,,5,delight,,3,idle
s001_10_41,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_41,True,,53,53,1.0,,,,1,idle,,,5,delight,,3,idle
s001_10_42,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_42,True,,53,53,1.0,,,,1,idle,,,5,delight,,3,think
s001_10_43,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_43,True,,53,53,1.0,none,,,1,idle,,,5,delight,,3,idle
s001_10_44,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_44,True,,53,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_45,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_45,True,,31,31,1.0,bgm_story_thepilgrimacv,,,1,idle,,,5,idle,,3,idle
s001_10_46,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_46,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_47,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_47,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_48,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_48,True,,31,10,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_49,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_49,True,,10,10,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_50,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_50,True,,10,10,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_51,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_51,True,,10,10,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_52,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_52,True,,10,100,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_53,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_53,True,,100,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_54,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_54,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_55,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_55,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_56,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_56,True,,XXS_50,XXS_50,1.0,,,,1,idle,,,5,void,,3,idle
s001_10_57,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_57,True,,10,10,1.0,,,,1,idle,,,5,void,,3,idle
s001_10_58,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_58,True,,XXS_50,XXS_50,1.0,,,,1,idle,,,5,angry,,3,idle
s001_10_59,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_59,True,,XXS_50,XXS_50,1.0,,,,1,idle,,,5,angry,,3,idle
s001_10_60,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_60,True,,XXS_50,XXS_500,0.7,,,,1,idle,,,5,angry,,3,idle
s001_10_61,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_61,True,,100,100,1.0,,,,1,idle,,,5,angry,,3,idle
s001_10_62,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_62,False,,XXS_500,XXS_500,1.0,,,,1,idle,,,5,angry_02,,3,idle
s001_10_63,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_63,True,,100,100,1.0,,,,1,idle,,,5,angry_02,,3,idle
s001_10_64,s001_10,Narration,snowwhite,,Locale_SideStory:s001_10_64,False,,100,31,1.0,,sfx_scn_toolpasslight,,1,idle,,,5,angry_02,,3,idle
s001_10_65,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_65,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_66,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_66,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_67,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_67,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_68,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_68,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_69,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_69,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_70,s001_10,Speech,snowwhite,snowwhite,Locale_SideStory:s001_10_70,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_71,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_71,True,,31,31,1.0,,,,1,idle,,,5,idle,,3,idle
s001_10_72,s001_10,Narration,crown,,Locale_SideStory:s001_10_72,False,,31,31,1.0,,,,1,idle,snowwhite,,5,idle,,3,idle
s001_10_73,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_73,True,,31,53,1.0,,,,,,,,5,angry,,3,idle
s001_10_74,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_74,False,,53,53,1.0,,,,,,,,5,angry,,3,idle
s001_10_75,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_75,False,,53,53,1.0,,,,,,,,5,idle,,3,idle
s001_10_76,s001_10,Speech,crown,crown,Locale_SideStory:s001_10_76,True,,53,53,1.0,,,,,,,,5,idle,,3,delight
s001_10_77,s001_10,Speech,chime,chime,Locale_SideStory:s001_10_77,True,,53,53,1.0,,,,,,,,5,delight,,3,delight
