id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
s003_11_1,s003_11,Monologue,lev,Locale_SideStory:s003_11_1,False,lev,2,idle_02,littlemermaid,12,idle,silentcave_on,black,black,1.0,bgm_story_discussion,
s003_11_2,s003_11,Monologue,lev,Locale_SideStory:s003_11_2,False,,2,idle_02,,12,idle,,black,black,1.0,,
s003_11_3,s003_11,Speech,lev,Locale_SideStory:s003_11_3,True,,2,idle_02,,12,idle,,1,1,1.0,,lev
s003_11_4,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_4,True,,2,idle_02,,12,idle,,1,1,1.0,,littlemermaid
s003_11_5,s003_11,Speech,lev,Locale_SideStory:s003_11_5,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_6,s003_11,Speech,lev,Locale_SideStory:s003_11_6,True,,2,delight_02,,12,idle,,1,1,1.0,,lev
s003_11_7,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_7,True,,2,delight_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_8,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_8,True,,2,delight_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_9,s003_11,Speech,lev,Locale_SideStory:s003_11_9,True,,2,idle_02,,12,delight,,1,1,1.0,,lev
s003_11_10,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_10,True,,2,idle_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_11,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_11,True,,2,idle_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_12,s003_11,Speech,lev,Locale_SideStory:s003_11_12,False,,2,surprise_02,,12,delight,,1,1,1.0,,lev
s003_11_13,s003_11,Speech,lev,Locale_SideStory:s003_11_13,True,,2,surprise_02,,12,delight,,1,1,1.0,,lev
s003_11_14,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_14,True,,2,surprise_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_15,s003_11,Speech,lev,Locale_SideStory:s003_11_15,True,,2,angry_02,,12,delight,,1,1,1.0,,lev
s003_11_16,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_16,True,,2,angry_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_17,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_17,True,,2,angry_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_18,s003_11,Speech,littlemermaid,Locale_SideStory:s003_11_18,True,,2,angry_02,,12,delight,,1,1,1.0,,littlemermaid
s003_11_19,s003_11,Speech,lev,Locale_SideStory:s003_11_19,True,,2,delight_02,,12,delight,,1,1,1.0,,lev
s003_11_20,s003_11,Speech,lev,Locale_SideStory:s003_11_20,True,,2,delight_02,,12,delight,,1,1,1.0,,lev
s003_11_21,s003_11,Monologue,lev,Locale_SideStory:s003_11_21,False,,2,idle_02,,12,delight,,1,1,1.0,,
s003_11_22,s003_11,Speech,lev,Locale_SideStory:s003_11_22,True,,2,idle_02,,12,delight,,1,1,1.0,,lev
