id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
s003_02_1,s003_02,Narration,Locale_SideStory:s003_02_1,False,silentcave_on,black,black,1.0,sfx_scn_waterdropmany,none,,,,,,,,,,,
s003_02_2,s003_02,Monologue,Locale_SideStory:s003_02_2,False,,black,black,1.0,,,,,,,,,,,,,
s003_02_3,s003_02,Speech,Locale_SideStory:s003_02_3,True,,black,black,1.0,,,blackwatergirl,blackwatergirl,,,,,,,,,
s003_02_4,s003_02,Monologue,Locale_SideStory:s003_02_4,False,,black,black,1.0,,,blackwatergirl,,,,,,,,,,
s003_02_5,s003_02,Speech,Locale_SideStory:s003_02_5,True,,black,black,1.0,,,blackwatergirl,blackwatergirl,,,,,,,,,
s003_02_6,s003_02,Monologue,Locale_SideStory:s003_02_6,False,,black,black,1.0,,,blackwatergirl,,,,,,,,,,
s003_02_7,s003_02,Monologue,Locale_SideStory:s003_02_7,False,,black,black,1.0,,,blackwatergirl,,,,,,,littlemermaid,12,idle,
s003_02_8,s003_02,Speech,Locale_SideStory:s003_02_8,False,,L_1200,L_1200,1.0,,bgm_recognition_underworld,blackwatergirl,littlemermaid,,,,,,,12,idle,
s003_02_9,s003_02,Monologue,Locale_SideStory:s003_02_9,False,,L_1200,L_1200,1.0,,,,,,,,,,,12,idle,
s003_02_10,s003_02,Monologue,Locale_SideStory:s003_02_10,False,,L_1200,L_1200,1.0,,,,,,,,,,,12,idle,
s003_02_11,s003_02,Monologue,Locale_SideStory:s003_02_11,False,,L_1200,L_1200,1.0,,,,,,,,,,,12,idle,
s003_02_12,s003_02,Speech,Locale_SideStory:s003_02_12,True,,L_1200,L_120,1.3,,,littlemermaid,littlemermaid,,,,,,,12,think,
s003_02_13,s003_02,Speech,Locale_SideStory:s003_02_13,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,,,,,,12,think,
s003_02_14,s003_02,Narration,Locale_SideStory:s003_02_14,False,,L_120,L_120,1.0,sfx_scn_heavytrip,,littlemermaid,,Low_2,,,,,,12,think,
s003_02_15,s003_02,Speech,Locale_SideStory:s003_02_15,False,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,,,,,,12,surprise,
s003_02_16,s003_02,Monologue,Locale_SideStory:s003_02_16,False,,L_120,L_120,1.0,,,littlemermaid,,,,,,,,12,surprise,
s003_02_17,s003_02,Speech,Locale_SideStory:s003_02_17,True,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,,,,,,12,surprise,
s003_02_18,s003_02,Speech,Locale_SideStory:s003_02_18,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,,,,,,12,surprise,
s003_02_19,s003_02,Speech,Locale_SideStory:s003_02_19,True,,L_120,L_1200,1.3,,,littlemermaid,littlemermaid,,,,,,,12,idle,
s003_02_20,s003_02,Monologue,Locale_SideStory:s003_02_20,False,,L_1200,L_1200,1.0,,,littlemermaid,,,,,,,,12,idle,
s003_02_21,s003_02,Speech,Locale_SideStory:s003_02_21,False,,L_1200,L_1200,1.0,,,littlemermaid,blackwatergirl,,,,,,,12,idle,
s003_02_22,s003_02,Speech,Locale_SideStory:s003_02_22,True,,L_1200,L_1200,1.0,,,littlemermaid,littlemermaid,,,,,,,12,idle,
s003_02_23,s003_02,Speech,Locale_SideStory:s003_02_23,False,,L_1200,L_1200,1.0,,,littlemermaid,blackwatergirl,,,,,,,12,idle,
s003_02_24,s003_02,Speech,Locale_SideStory:s003_02_24,False,,L_1200,L_1200,1.0,,,littlemermaid,blackwatergirl,,,,,,,12,idle,
s003_02_25,s003_02,Monologue,Locale_SideStory:s003_02_25,False,,L_1200,L_120,1.3,,,littlemermaid,,,,,,,,12,idle,
s003_02_26,s003_02,Speech,Locale_SideStory:s003_02_26,False,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,,,,,,12,idle,
s003_02_27,s003_02,Speech,Locale_SideStory:s003_02_27,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,,,,,,12,idle,
s003_02_28,s003_02,Speech,Locale_SideStory:s003_02_28,True,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,,,,,,12,idle,
s003_02_29,s003_02,Speech,Locale_SideStory:s003_02_29,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,,,,,,12,idle,
s003_02_30,s003_02,Speech,Locale_SideStory:s003_02_30,True,,L_120,L_120,1.0,,,littlemermaid,littlemermaid,,,,,,,12,idle,
s003_02_31,s003_02,Speech,Locale_SideStory:s003_02_31,False,,L_120,L_120,1.0,,,littlemermaid,blackwatergirl,,,,,,,12,idle,
