id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,characters/0/hide_char_id
s003_15_1,s003_15,Narration,littlemermaid,Locale_SideStory:s003_15_1,False,EventScene_Side_03_02_4,black,black,1.0,sfx_scn_gluttonyopen,bgm_disaster,Low_2,,,,,,
s003_15_2,s003_15,Monologue,littlemermaid,Locale_SideStory:s003_15_2,False,,Mudfish_11,Mudfish_11,1.0,,,,,,,,,
s003_15_3,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_3,True,,Mudfish_11,Mudfish_11,1.0,,,,littlemermaid,,,,,
s003_15_4,s003_15,Monologue,littlemermaid,Locale_SideStory:s003_15_4,False,,Mudfish_11,Mudfish_11,1.0,,,,,,,,,
s003_15_5,s003_15,Narration,littlemermaid,Locale_SideStory:s003_15_5,False,,black,black,1.0,sfx_scn_mermaidchange,,,,,,,,
s003_15_6,s003_15,Monologue,littlemermaid,Locale_SideStory:s003_15_6,False,,black,black,1.0,,,,,,,,,
s003_15_7,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_7,True,,black,black,1.3,,,,littlemermaid,,,,,
s003_15_8,s003_15,Speech,lev,Locale_SideStory:s003_15_8,False,,black,black,1.0,,,,lev,,,,,
s003_15_9,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_9,True,,Mudfish_11,Mudfish_12,1.5,,,,littlemermaid,,,,,
s003_15_10,s003_15,Speech,lev,Locale_SideStory:s003_15_10,True,,Mudfish_12,Mudfish_12,1.0,,,,lev,,,,,
s003_15_11,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_11,True,,Mudfish_12,Mudfish_12,1.0,,,,littlemermaid,,,,,
s003_15_12,s003_15,Speech,lev,Locale_SideStory:s003_15_12,True,,Mudfish_12,Mudfish_12,1.0,,,,lev,,,,,
s003_15_13,s003_15,Monologue,lev,Locale_SideStory:s003_15_13,False,EventScene_Side_03_03_1,black,black,1.0,,,,,,,,,
s003_15_14,s003_15,Speech,lev,Locale_SideStory:s003_15_14,True,,Mudfish_13,Mudfish_14,1.5,,,,lev,,,,,
s003_15_15,s003_15,Monologue,lev,Locale_SideStory:s003_15_15,False,,Mudfish_14,Mudfish_14,1.0,,,,,,,,,
s003_15_16,s003_15,Speech,lev,Locale_SideStory:s003_15_16,True,,Mudfish_14,Mudfish_14,1.0,,,,lev,,,,,
s003_15_17,s003_15,Monologue,lev,Locale_SideStory:s003_15_17,False,,black,black,1.0,,,,,,,,,
s003_15_18,s003_15,Monologue,lev,Locale_SideStory:s003_15_18,False,,black,black,1.0,,,,,,,,,
s003_15_19,s003_15,Monologue,lev,Locale_SideStory:s003_15_19,False,,black,black,1.0,,,,,,,,,
s003_15_20,s003_15,Narration,lev,Locale_SideStory:s003_15_20,False,,Mudfish_14,Mudfish_14,1.0,sfx_scn_gluttonyclosing,,Low_2,,,,,,
s003_15_21,s003_15,Monologue,lev,Locale_SideStory:s003_15_21,False,,Mudfish_14,Mudfish_14,1.0,,,,,,,,,
s003_15_22,s003_15,Speech,lev,Locale_SideStory:s003_15_22,True,,Mudfish_14,Mudfish_14,1.0,,,,lev,,,,,
s003_15_23,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_23,True,,Mudfish_14,Mudfish_14,1.0,,,,littlemermaid,,,,,
s003_15_24,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_24,True,,Mudfish_14,Mudfish_14,1.0,,,,littlemermaid,,,,,
s003_15_25,s003_15,Speech,lev,Locale_SideStory:s003_15_25,True,,Mudfish_14,Mudfish_14,1.0,,,,lev,,,,,
s003_15_26,s003_15,Monologue,lev,Locale_SideStory:s003_15_26,False,,black,black,1.0,,,,,,,,,
s003_15_27,s003_15,Narration,lev,Locale_SideStory:s003_15_27,False,EventScene_Side_03_03_2,black,black,1.0,sfx_scn_mermaidcrack,,Low_2,,,,,,
s003_15_28,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_28,True,,Mudfish_24,Mudfish_24,1.0,,,,littlemermaid,,,,,
s003_15_29,s003_15,Speech,lev,Locale_SideStory:s003_15_29,True,,Mudfish_24,Mudfish_24,1.0,,,,lev,,,,,
s003_15_30,s003_15,Speech,lev,Locale_SideStory:s003_15_30,False,,black,black,1.0,,none,,lev,,,,,
s003_15_31,s003_15,Monologue,lev,Locale_SideStory:s003_15_31,False,,black,black,1.0,,bgm_story_trauma,,,,,,,
s003_15_32,s003_15,Speech,lev,Locale_SideStory:s003_15_32,False,,Mudfish_22,Mudfish_16,1.3,,,,lev,,,,,
s003_15_33,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_33,True,,Mudfish_16,Mudfish_16,1.0,,,,littlemermaid,,,,,
s003_15_34,s003_15,Speech,lev,Locale_SideStory:s003_15_34,True,,Mudfish_16,Mudfish_16,1.0,,,,lev,,,,,
s003_15_35,s003_15,Monologue,lev,Locale_SideStory:s003_15_35,False,,Mudfish_16,Mudfish_22,1.5,,,,,,,,,
s003_15_36,s003_15,Narration,lev,Locale_SideStory:s003_15_36,False,,Mudfish_22,Mudfish_22,1.0,,,,,,,,,
s003_15_37,s003_15,Speech,lev,Locale_SideStory:s003_15_37,True,,Mudfish_22,Mudfish_16,1.5,,,,lev,,,,,
s003_15_38,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_38,True,,Mudfish_16,Mudfish_16,1.0,,,,littlemermaid,,,,,
s003_15_39,s003_15,Speech,littlemermaid,Locale_SideStory:s003_15_39,True,,Mudfish_16,Mudfish_16,1.0,,,,littlemermaid,,,,,
s003_15_40,s003_15,Speech,lev,Locale_SideStory:s003_15_40,True,,Mudfish_16,Mudfish_16,1.0,,,,lev,,,,,
s003_15_41,s003_15,Speech,lev,Locale_SideStory:s003_15_41,True,EventScene_Side_03_03_3,black,black,1.0,,,,lev,,,,,
s003_15_42,s003_15,Monologue,lev,Locale_SideStory:s003_15_42,False,,Mudfish_17,Mudfish_17,1.0,,,,,,,,,
s003_15_43,s003_15,Monologue,lev,Locale_SideStory:s003_15_43,False,,Mudfish_17,Mudfish_17,1.0,,,,,,,,,
s003_15_44,s003_15,Monologue,lev,Locale_SideStory:s003_15_44,False,,Mudfish_17,Mudfish_17,1.0,,,,,,,,,
s003_15_45,s003_15,Monologue,lev,Locale_SideStory:s003_15_45,False,,Mudfish_17,Mudfish_17,1.0,,,,,,,,,
s003_15_46,s003_15,Monologue,lev,Locale_SideStory:s003_15_46,False,,Mudfish_17,Mudfish_17,1.0,,,,,,,,,
s003_15_47,s003_15,Monologue,lev,Locale_SideStory:s003_15_47,False,,Mudfish_17,Mudfish_17,1.0,,,,,,,,,
s003_15_48,s003_15,Monologue,lev,Locale_SideStory:s003_15_48,False,,Mudfish_17,Mudfish_17,1.0,,,,,,,,,
s003_15_49,s003_15,Monologue,lev,Locale_SideStory:s003_15_49,False,,Mudfish_17,Mudfish_17,1.0,,,,,,,,,
