id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
s001_14_b3_e_1,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_1,True,land_n,1,10,1.0,bgm_intotheswarm,,,marian_p,1,angry,,,,,,,,
s001_14_b3_e_2,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_2,True,,10,10,1.0,,,,,1,angry,,,,,,,,
s001_14_b3_e_3,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_3,True,,10,10,1.0,,,,,1,angry,,,,,,,,
s001_14_b3_e_4,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_4,False,,10,10,1.0,,sfx_scn_2rapturestep,Low_2,,1,angry,,,,,,,,
s001_14_b3_e_5,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_5,False,,10,1,1.0,,,,,1,angry,,,,,,,,
s001_14_b3_e_6,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_6,True,,1,1,1.0,,,,,1,angry,,,,,,,,
s001_14_b3_e_7,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_7,False,,1,1,1.0,,sfx_scn_2rapturestep,Low_2,,1,angry,,,,,,,,
s001_14_b3_e_8,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_8,True,,1,10,1.0,,,,,1,angry,,,,,,,,
s001_14_b3_e_9,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_9,False,,10,10,1.0,,,,,1,angry,,,,,,,,
s001_14_b3_e_10,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_10,True,,10,10,1.0,,,,,1,angry,,,,,,,,
s001_14_b3_e_11,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_11,False,,10,10,1.0,,sfx_scn_3rapturestep,Low_2,,1,angry,,,,,,,,
s001_14_b3_e_12,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_12,True,,10,10,1.0,,,,,1,angry,,,,,,,,
s001_14_b3_e_13,s001_14_b3_e,Speech,marian_p,marian_p,Locale_SideStory:s001_14_b3_e_13,True,,10,100,0.5,,,,,1,angry,,,,,,,,
s001_14_b3_e_14,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_14,False,,100,100,1.0,none,sfx_scn_4rapturestep,Low_2,,1,angry,,,,,,,,
s001_14_b3_e_15,s001_14_b3_e,Narration,marian_p,,Locale_SideStory:s001_14_b3_e_15,False,,black,black,1.0,,sfx_scn_mechanichorse,,,1,angry,,,,,,,,
