id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,play_ambient,ambient_volume,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
s002_12_1,s002_12,Narration,Locale_SideStory:s002_12_1,False,Jail,black,black,1.0,sfx_scn_heavydoorclose2,none,,,,,,mihara,1,think,,yuni_n,3,idle,,,,,,,,,
s002_12_2,s002_12,Speech,Locale_SideStory:s002_12_2,True,,L_300,L_300,1.0,,,yuni_n,yuni_n,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_3,s002_12,Monologue,Locale_SideStory:s002_12_3,False,,L_300,L_30,1.0,,,yuni_n,,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_4,s002_12,Speech,Locale_SideStory:s002_12_4,False,,L_30,31,1.0,,,mihara,mihara,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_5,s002_12,Speech,Locale_SideStory:s002_12_5,False,,31,31,1.0,,,yuni_n,yuni_n,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_6,s002_12,Speech,Locale_SideStory:s002_12_6,True,,31,31,1.0,,,mihara,mihara,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_7,s002_12,Speech,Locale_SideStory:s002_12_7,True,,31,31,1.0,,,yuni_n,yuni_n,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_8,s002_12,Narration,Locale_SideStory:s002_12_8,False,,black,black,1.0,sfx_scn_heelfootstep,,mihara,,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_9,s002_12,Monologue,Locale_SideStory:s002_12_9,False,,black,black,1.0,,,mihara,,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_10,s002_12,Speech,Locale_SideStory:s002_12_10,True,,100,100,1.0,,bgm_story_weare,mihara,mihara,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_11,s002_12,Speech,Locale_SideStory:s002_12_11,True,,100,100,1.0,,,mihara,mihara,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_12,s002_12,Speech,Locale_SideStory:s002_12_12,True,,100,10,1.0,,,mihara,mihara,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_13,s002_12,Speech,Locale_SideStory:s002_12_13,True,,10,10,1.0,,,mihara,mihara,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_14,s002_12,Monologue,Locale_SideStory:s002_12_14,False,,10,31,1.0,,,yuni_n,,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_15,s002_12,Speech,Locale_SideStory:s002_12_15,True,,31,31,1.0,,,yuni_n,yuni_n,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_16,s002_12,Monologue,Locale_SideStory:s002_12_16,False,,31,31,1.0,,,yuni_n,,,,,,1,think,,,3,idle,,,,,,,,,
s002_12_17,s002_12,Speech,Locale_SideStory:s002_12_17,True,,black,black,1.0,,,yuni_n,yuni_n,,,,,1,think,mihara,,3,idle,yuni_n,yuni,1,surprise,,,,,
s002_12_18,s002_12,Speech,Locale_SideStory:s002_12_18,True,,S_10,S_100,1.0,,,yuni,yuni,ambient_scn_memorialnoise,50.0,Grey,,,,,,,,,,1,surprise,,fx_Eventscene_camera_recording,rec,True,
s002_12_19,s002_12,Speech,Locale_SideStory:s002_12_19,False,,black,black,1.0,,,mihara,mihara,none,,Grey,mihara,1,pain,,yuni_n,3,idle,,,1,surprise,yuni,,,,fx_Eventscene_camera_recording
s002_12_20,s002_12,Speech,Locale_SideStory:s002_12_20,True,,100,100,1.0,,,mihara,mihara,,,,,1,pain,,,3,idle,,,,,,,,,
s002_12_21,s002_12,Speech,Locale_SideStory:s002_12_21,True,,100,100,1.0,,,mihara,mihara,,,,,1,pain,,,3,idle,,,,,,,,,
s002_12_22,s002_12,Speech,Locale_SideStory:s002_12_22,True,,100,10,1.0,,,mihara,mihara,,,,,1,pain,,,3,idle,,,,,,,,,
s002_12_23,s002_12,Speech,Locale_SideStory:s002_12_23,True,,10,31,1.0,,,yuni_n,yuni_n,,,,,1,pain,,,3,idle,,,,,,,,,
s002_12_24,s002_12,Speech,Locale_SideStory:s002_12_24,True,,31,31,1.0,,,mihara,mihara,,,,,1,pain,,,3,idle,,,,,,,,,
s002_12_25,s002_12,Speech,Locale_SideStory:s002_12_25,True,,31,31,1.0,,,mihara,mihara,,,,,1,pain,,,3,idle,,,,,,,,,
s002_12_26,s002_12,Speech,Locale_SideStory:s002_12_26,True,,31,31,1.0,,,mihara,mihara,,,,,1,pain,,,3,idle,,,,,,,,,
s002_12_27,s002_12,Monologue,Locale_SideStory:s002_12_27,False,EventScene_Side_02_02,black,black,1.0,sfx_scn_grab,,mihara,,,,,,1,pain,mihara,,3,idle,yuni_n,,,,,,,,
s002_12_28,s002_12,Speech,Locale_SideStory:s002_12_28,True,,miharahug_01,miharahug_02,1.5,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_29,s002_12,Speech,Locale_SideStory:s002_12_29,True,,miharahug_02,miharahug_02,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_30,s002_12,Speech,Locale_SideStory:s002_12_30,True,,miharahug_02,miharahug_02,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_31,s002_12,Speech,Locale_SideStory:s002_12_31,False,,miharahug_02,miharahug_02,1.0,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_32,s002_12,Speech,Locale_SideStory:s002_12_32,True,,miharahug_02,miharahug_02,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_33,s002_12,Speech,Locale_SideStory:s002_12_33,True,,miharahug_02,miharahug_02,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_34,s002_12,Speech,Locale_SideStory:s002_12_34,True,,miharahug_02,yunimiharasad_01,1.5,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_35,s002_12,Speech,Locale_SideStory:s002_12_35,True,,yunimiharasad_01,yunimiharasad_01,1.0,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_36,s002_12,Monologue,Locale_SideStory:s002_12_36,False,,yunimiharasad_01,yunimiharasad_01,1.0,,,yuni_n,,,,,,,,,,,,,,,,,,,,
s002_12_37,s002_12,Speech,Locale_SideStory:s002_12_37,True,,yunimiharasad_01,yunimiharasad_02,0.7,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_38,s002_12,Speech,Locale_SideStory:s002_12_38,True,,yunimiharasad_02,yunimiharasad_02,1.0,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_39,s002_12,Speech,Locale_SideStory:s002_12_39,True,,yunimiharasad_02,yunimiharasad_02,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_40,s002_12,Monologue,Locale_SideStory:s002_12_40,False,EventScene_Side_02_03,black,black,1.0,,,mihara,,,,,,,,,,,,,,,,,,,,
s002_12_41,s002_12,Speech,Locale_SideStory:s002_12_41,True,,yunimiharasad_02,yunimiharasad_01,1.5,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_42,s002_12,Speech,Locale_SideStory:s002_12_42,True,,yunimiharasad_01,yunimiharasad_01,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_43,s002_12,Speech,Locale_SideStory:s002_12_43,True,,yunimiharasad_01,yunimiharasad_01,1.0,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_44,s002_12,Speech,Locale_SideStory:s002_12_44,True,,yunimiharasad_01,yunimiharasad_01,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_45,s002_12,Speech,Locale_SideStory:s002_12_45,True,,yunimiharasad_01,yunimiharasad_01,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_46,s002_12,Speech,Locale_SideStory:s002_12_46,True,,yunimiharasad_01,yunimiharasad_01,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_47,s002_12,Speech,Locale_SideStory:s002_12_47,True,,yunimiharasad_01,yunimiharasad_02,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_48,s002_12,Speech,Locale_SideStory:s002_12_48,True,,yunimiharasad_02,yunimiharasad_02,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_49,s002_12,Speech,Locale_SideStory:s002_12_49,True,,yunimiharasad_02,yunimiharasad_03,1.5,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_50,s002_12,Speech,Locale_SideStory:s002_12_50,False,,yunimiharasad_03,yunimiharasad_03,1.0,,,yuni_n,yuni_n,,,,,,,,,,,,,,,,,,,
s002_12_51,s002_12,Speech,Locale_SideStory:s002_12_51,True,,yunimiharasad_03,yunimiharasad_03,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
s002_12_52,s002_12,Speech,Locale_SideStory:s002_12_52,True,,yunimiharasad_03,yunimiharasad_03,1.0,,,mihara,mihara,,,,,,,,,,,,,,,,,,,
