id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
s002_07_1,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_1,True,JailCorridor,113,113,1.0,bgm_frostpillar,,,mihara,1,idle,,,,leona_no,13,idle,timi,15,idle
s002_07_2,s002_07,Speech,leona_no,leona_no,Locale_SideStory:s002_07_2,True,,113,113,1.0,,,,,1,idle,,,,,13,idle,,15,idle
s002_07_3,s002_07,Speech,leona_no,leona_no,Locale_SideStory:s002_07_3,True,,113,1315,1.0,,,,,1,idle,,,,,13,idle,,15,idle
s002_07_4,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_4,True,,100,100,1.0,,,,,1,idle,,,,,13,idle,,15,idle
s002_07_5,s002_07,Speech,timi,timi,Locale_SideStory:s002_07_5,True,,XS_150,XS_150,1.0,,sfx_scn_lionask,,,1,idle,,,,,13,idle,,15,idle
s002_07_6,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_6,True,,100,100,1.0,,,,,1,idle,,,,,13,idle,,15,idle
s002_07_7,s002_07,Speech,timi,timi,Locale_SideStory:s002_07_7,True,,XS_150,XS_150,1.0,,sfx_scn_liongrowl,,,1,idle,,,,,13,idle,,15,shy
s002_07_8,s002_07,Speech,leona_no,leona_no,Locale_SideStory:s002_07_8,True,,XS_150,1315,1.0,,,,,1,idle,,,,,13,idle,,15,shy
s002_07_9,s002_07,Speech,leona_no,leona_no,Locale_SideStory:s002_07_9,True,,1315,113,1.0,,,,,1,idle,,,,,13,idle,,15,shy
s002_07_10,s002_07,Speech,leona_no,leona_no,Locale_SideStory:s002_07_10,True,,113,113,1.0,,,,,1,idle,,,,,13,idle,,15,shy
s002_07_11,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_11,True,,113,113,1.0,,,,,1,idle,,,,,13,idle,,15,shy
s002_07_12,s002_07,Speech,leona_no,leona_no,Locale_SideStory:s002_07_12,True,,113,113,1.0,,,,,1,idle,,,,,13,idle,,15,shy
s002_07_13,s002_07,Speech,leona_no,leona_no,Locale_SideStory:s002_07_13,True,,113,113,1.0,,,,,1,idle,,,,,13,idle,,15,shy
s002_07_14,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_14,True,Jail,3,31,1.0,,,black,,1,idle,yuni_n,3,idle,,13,idle,,15,idle
s002_07_15,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_15,True,,31,31,1.0,,,,,1,idle,,3,idle,,13,idle,,15,idle
s002_07_16,s002_07,Speech,yuni_n,yuni_n,Locale_SideStory:s002_07_16,True,,31,31,1.0,,,,,1,idle,,3,idle,,13,idle,,15,idle
s002_07_17,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_17,True,,31,31,1.0,,,,,1,idle,,3,idle,,13,idle,,15,idle
s002_07_18,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_18,True,,31,31,1.0,,,,,1,idle,,3,idle,,13,idle,,15,idle
s002_07_19,s002_07,Speech,yuni_n,yuni_n,Locale_SideStory:s002_07_19,True,,31,31,1.0,,,,,1,idle,,3,idle,,13,idle,,15,idle
s002_07_20,s002_07,Speech,leona_no,leona_no,Locale_SideStory:s002_07_20,True,,31,113,1.5,,,,,1,idle,,3,idle,,13,sad,,15,idle
s002_07_21,s002_07,Speech,mihara,mihara,Locale_SideStory:s002_07_21,True,,113,113,1.0,,,,,1,idle,,3,idle,,13,sad,,15,idle
