id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
s001_11_1,s001_11,Narration,Locale_SideStory:s001_11_1,False,Crowncastlebedroom_d,black,black,1.0,bgm_theruinedcity,,,,,marian_p,1,pain,,chime,3,void,,,,,
s001_11_2,s001_11,Speech,Locale_SideStory:s001_11_2,True,,XXS_30,XXS_30,1.0,,chime,chime,,,,1,pain,,,3,void,,,,,
s001_11_3,s001_11,Speech,Locale_SideStory:s001_11_3,True,,XXS_30,XXS_30,1.0,,chime,chime,,,,1,pain,,,3,void,,,,,
s001_11_4,s001_11,Speech,Locale_SideStory:s001_11_4,False,,XXS_30,31,1.0,,marian_p,marian_p,,,,1,pain,,,3,void,,,,,
s001_11_5,s001_11,Speech,Locale_SideStory:s001_11_5,True,,31,31,1.0,,chime,chime,,,,1,pain,,,3,void,,,,,
s001_11_6,s001_11,Speech,Locale_SideStory:s001_11_6,True,,31,31,1.0,,chime,chime,,,,1,pain,,,3,void,,,,,
s001_11_7,s001_11,Speech,Locale_SideStory:s001_11_7,False,,31,31,1.0,,marian_p,marian_p,,,,1,pain,,,3,void,,,,,
s001_11_8,s001_11,Speech,Locale_SideStory:s001_11_8,True,,31,31,1.0,,chime,chime,,,,1,pain,,,3,void,,,,,
s001_11_9,s001_11,Speech,Locale_SideStory:s001_11_9,True,,31,31,1.0,,chime,chime,,,,1,pain,,,3,void,,,,,
s001_11_10,s001_11,Narration,Locale_SideStory:s001_11_10,False,,31,31,1.0,,chime,,sfx_scn_putdown,,,1,pain,,,3,void,chime,,,,
s001_11_11,s001_11,Speech,Locale_SideStory:s001_11_11,False,,31,1,1.0,,marian_p,marian_p,,,,1,pain,,,,,,,,,
s001_11_12,s001_11,Speech,Locale_SideStory:s001_11_12,True,CrownCastleDiningRoom_d,31,31,1.0,,crown,crown,,black,,1,pain,marian_p,chime,3,void,,crown,1,idle,
