id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/0/hide_char_id,play_sound,set_camera_shake
s003_10_1,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_1,True,lev,2,surprise,littlemermaid,12,idle,silentcave_on,S_20,S_20,1.0,bgm_story_treatment,,,,
s003_10_2,s003_10,Monologue,lev,,Locale_SideStory:s003_10_2,False,,2,surprise,,12,idle,,S_20,S_20,1.0,,,,,
s003_10_3,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_3,False,,2,surprise,,12,idle,,S_20,1,1.3,,,,,
s003_10_4,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_4,True,,2,surprise,,12,delight,,1,1,1.0,,,,,
s003_10_5,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_5,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_6,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_6,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_7,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_7,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_8,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_8,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_9,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_9,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_10,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_10,True,,2,surprise,,12,delight,,1,1,1.0,,,,,
s003_10_11,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_11,True,,2,surprise,,12,delight,,1,1,1.0,,,,,
s003_10_12,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_12,True,,2,surprise,,12,delight,,1,1,1.0,,,,,
s003_10_13,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_13,True,,2,surprise,,12,delight,,1,1,1.0,,,,,
s003_10_14,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_14,True,,2,surprise,,12,delight,,1,1,1.0,,,,,
s003_10_15,s003_10,Narration,littlemermaid,,Locale_SideStory:s003_10_15,False,,2,surprise,,12,delight,,1,1,1.0,,,,,
s003_10_16,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_16,True,,2,surprise,,12,idle,,1,1,1.0,,,,,
s003_10_17,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_17,True,,2,surprise,,12,idle,,1,1,1.0,,,,,
s003_10_18,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_18,True,,2,idle,,12,idle,,1,1,1.0,,,,,
s003_10_19,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_19,True,,2,idle,,12,idle,,1,1,1.0,,,,,
s003_10_20,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_20,True,,2,idle,,12,idle,,1,1,1.0,,,,,
s003_10_21,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_21,True,,2,idle,,12,idle,,1,1,1.0,,,,,
s003_10_22,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_22,True,,2,idle,,12,idle,,1,1,1.0,,,,,
s003_10_23,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_23,True,,2,angry,,12,idle,,1,1,1.0,,,,,
s003_10_24,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_24,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_25,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_25,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_26,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_26,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_27,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_27,True,,2,angry,,12,delight,,1,1,1.0,,,,,
s003_10_28,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_28,True,,2,idle,,12,delight,,1,1,1.0,,,,,
s003_10_29,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_29,True,,2,idle,,12,delight,,1,1,1.0,,,,,
s003_10_30,s003_10,Narration,littlemermaid,,Locale_SideStory:s003_10_30,False,,2,idle,,12,delight,,1,1,1.0,,,,,
s003_10_31,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_31,True,,2,idle,,12,delight,,1,1,1.0,,,,,
s003_10_32,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_32,True,,2,surprise,,12,delight,,1,1,1.0,,,,,
s003_10_33,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_33,True,,2,surprise,,12,delight,,1,L_120,1.3,,,,,
s003_10_34,s003_10,Monologue,littlemermaid,,Locale_SideStory:s003_10_34,False,,2,surprise,,12,delight,,black,black,1.0,,littlemermaid,,,
s003_10_35,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_35,True,,2,surprise,,,,,S_20,S_20,1.3,,,,,
s003_10_36,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_36,True,,2,surprise,,,,,S_20,S_20,1.0,,,,,
s003_10_37,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_37,True,,2,worry,,,,,S_20,S_20,1.0,,,,,
s003_10_38,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_38,True,,2,worry,,,,,S_20,S_20,1.0,,,,,
s003_10_39,s003_10,Monologue,lev,,Locale_SideStory:s003_10_39,False,,2,worry,,,,,S_20,S_200,1.3,,,,,
s003_10_40,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_40,True,,2,idle,,,,,S_200,S_20,1.3,,,,,
s003_10_41,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_41,False,,2,idle,,,,,S_20,S_20,1.0,,,,,
s003_10_42,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_42,True,,2,angry,,,,,S_20,S_20,1.0,,,,,
s003_10_43,s003_10,Monologue,lev,,Locale_SideStory:s003_10_43,False,,2,angry,,,,,black,black,1.0,,,,,
s003_10_44,s003_10,Narration,lev,,Locale_SideStory:s003_10_44,False,,2,angry,,,,EventScene_Side_03_01_1,black,black,1.0,none,,lev,sfx_scn_underwater,
s003_10_45,s003_10,Monologue,lev,,Locale_SideStory:s003_10_45,False,,,,,,,,Mudfish_01,Mudfish_02,1.5,event_bgm_oldtales_beautifulthing,,,,
s003_10_46,s003_10,Monologue,lev,,Locale_SideStory:s003_10_46,False,,,,,,,,Mudfish_02,Mudfish_02,1.0,,,,,
s003_10_47,s003_10,Monologue,lev,,Locale_SideStory:s003_10_47,False,,,,,,,,Mudfish_02,Mudfish_02,1.0,,,,,
s003_10_48,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_48,True,,,,,,,,Mudfish_02,Mudfish_02,1.0,,,,,
s003_10_49,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_49,True,,,,,,,,Mudfish_02,Mudfish_02,1.0,,,,,
s003_10_50,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_50,True,,,,,,,,Mudfish_02,Mudfish_02,1.0,,,,,
s003_10_51,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_51,True,,,,,,,,Mudfish_02,Mudfish_03,2.0,,,,,
s003_10_52,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_52,True,,,,,,,,Mudfish_03,Mudfish_03,1.0,,,,,
s003_10_53,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_53,True,,,,,,,,Mudfish_03,Mudfish_03,1.0,,,,,
s003_10_54,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_54,True,,,,,,,,Mudfish_03,Mudfish_03,1.0,,,,,
s003_10_55,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_55,True,,,,,,,,Mudfish_03,Mudfish_03,1.0,,,,,
s003_10_56,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_56,True,,,,,,,,Mudfish_03,Mudfish_03,1.0,,,,,
s003_10_57,s003_10,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_10_57,True,,,,,,,,Mudfish_03,Mudfish_03,1.0,,,,,
s003_10_58,s003_10,Speech,lev,lev,Locale_SideStory:s003_10_58,True,,,,,,,,Mudfish_03,Mudfish_03,1.0,,,,,
