id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id
s001_14_1,s001_14,Narration,marian_p,Locale_SideStory:s001_14_1,False,marian_p,1,angry,Sky_n,black,black,1.0,none,,,,,,,
s001_14_2,s001_14,Narration,marian_p,Locale_SideStory:s001_14_2,False,,1,angry,,black,black,1.0,,,,,,,,
s001_14_3,s001_14,Narration,marian_p,Locale_SideStory:s001_14_3,False,,1,angry,,black,black,1.0,bgm_recognition_underworld,,,,,,,
s001_14_4,s001_14,Narration,marian_p,Locale_SideStory:s001_14_4,False,,1,angry,CrownCastleDiningRoom_n,black,black,1.0,,sfx_scn_rustydooropen,,,,,,
s001_14_5,s001_14,Speech,chime,Locale_SideStory:s001_14_5,True,,1,angry,,3,XXS_30,1.0,,,chime,chime,3,idle,black,
s001_14_6,s001_14,Speech,chime,Locale_SideStory:s001_14_6,True,,1,idle,,XXS_30,XXS_30,1.0,,,chime,,3,idle,,
s001_14_7,s001_14,Speech,chime,Locale_SideStory:s001_14_7,True,,1,idle,,XXS_30,XXS_30,1.0,,,chime,,3,idle,,
s001_14_8,s001_14,Speech,chime,Locale_SideStory:s001_14_8,True,,1,idle,,XXS_30,3,1.0,,,chime,,3,idle,,
s001_14_9,s001_14,Speech,marian_p,Locale_SideStory:s001_14_9,True,,1,idle,,3,31,1.0,,,marian_p,,3,idle,,
s001_14_10,s001_14,Speech,marian_p,Locale_SideStory:s001_14_10,True,,1,idle,,31,31,1.0,,,marian_p,,3,idle,,
s001_14_11,s001_14,Speech,chime,Locale_SideStory:s001_14_11,True,,1,idle,,31,31,1.0,,,chime,,3,idle,,
s001_14_12,s001_14,Speech,marian_p,Locale_SideStory:s001_14_12,True,,1,idle,,31,31,1.0,,,marian_p,,3,idle,,
s001_14_13,s001_14,Speech,chime,Locale_SideStory:s001_14_13,False,,1,idle,,31,XXS_30,1.0,,,chime,,3,idle,,
s001_14_14,s001_14,Speech,chime,Locale_SideStory:s001_14_14,True,,1,idle,,XXS_30,XXS_30,1.0,,,chime,,3,idle,,
s001_14_15,s001_14,Speech,marian_p,Locale_SideStory:s001_14_15,True,,1,idle,,XXS_30,10,1.0,,,marian_p,,3,idle,,
s001_14_16,s001_14,Speech,marian_p,Locale_SideStory:s001_14_16,True,,1,idle,,10,10,1.0,,,marian_p,,3,idle,,
s001_14_17,s001_14,Speech,chime,Locale_SideStory:s001_14_17,True,,1,idle,,10,31,1.0,,,chime,,3,idle,,
s001_14_18,s001_14,Speech,marian_p,Locale_SideStory:s001_14_18,True,,1,idle,,31,31,1.0,,,marian_p,,3,idle,,
s001_14_19,s001_14,Speech,chime,Locale_SideStory:s001_14_19,True,,1,idle,,31,31,1.0,,,chime,,3,idle,,
s001_14_20,s001_14,Speech,marian_p,Locale_SideStory:s001_14_20,True,,1,idle,,31,31,1.0,,,marian_p,,3,idle,,
s001_14_21,s001_14,Speech,chime,Locale_SideStory:s001_14_21,True,,1,idle,,31,31,1.0,,,chime,,3,idle,,
s001_14_22,s001_14,Speech,marian_p,Locale_SideStory:s001_14_22,True,,1,idle,,31,31,1.0,,,marian_p,,3,idle,,
s001_14_23,s001_14,Speech,marian_p,Locale_SideStory:s001_14_23,True,,1,idle,,31,31,1.0,,,marian_p,,3,idle,,
s001_14_24,s001_14,Speech,chime,Locale_SideStory:s001_14_24,True,,1,idle,,31,31,1.0,,,chime,,3,idle,,
s001_14_25,s001_14,Narration,marian_p,Locale_SideStory:s001_14_25,False,,1,angry,CrownCasltePanorama_n,black,black,1.0,,sfx_scn_dooropenlarge,,,3,idle,,chime
s001_14_26,s001_14,Narration,marian_p,Locale_SideStory:s001_14_26,False,,1,angry,,1,10,1.0,,,,,,,,
s001_14_27,s001_14,Narration,marian_p,Locale_SideStory:s001_14_27,False,,1,angry,,10,10,1.0,none,,,,,,,
s001_14_28,s001_14,Narration,marian_p,Locale_SideStory:s001_14_28,False,,1,angry,land_n,10,150,1.5,,,,,,,,
s001_14_29,s001_14,Speech,marian_p,Locale_SideStory:s001_14_29,True,,1,angry,,150,10,1.5,bgm_floraltribute,,marian_p,,,,,
s001_14_30,s001_14,Speech,marian_p,Locale_SideStory:s001_14_30,True,,1,angry,,10,10,1.0,,,marian_p,,,,,
s001_14_31,s001_14,Speech,marian_p,Locale_SideStory:s001_14_31,True,,1,angry,,10,100,1.0,,,marian_p,,,,,
s001_14_32,s001_14,Speech,marian_p,Locale_SideStory:s001_14_32,True,,1,angry,,100,10,1.0,,,marian_p,,,,,
s001_14_33,s001_14,Speech,marian_p,Locale_SideStory:s001_14_33,False,,1,angry,,10,10,1.0,,,marian_p,,,,,
s001_14_34,s001_14,Speech,marian_p,Locale_SideStory:s001_14_34,True,,1,angry,,10,10,1.0,,,marian_p,,,,,
s001_14_35,s001_14,Speech,marian_p,Locale_SideStory:s001_14_35,True,,1,angry,,10,10,1.0,,,marian_p,,,,,
s001_14_36,s001_14,Speech,marian_p,Locale_SideStory:s001_14_36,True,,1,angry,,10,10,1.0,,,marian_p,,,,,
s001_14_37,s001_14,Speech,marian_p,Locale_SideStory:s001_14_37,True,,1,angry,,10,10,1.0,,,marian_p,,,,,
s001_14_38,s001_14,Speech,marian_p,Locale_SideStory:s001_14_38,True,,1,angry,,10,100,0.5,,,marian_p,,,,,
