id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
s001_03_1,s001_03,Speech,rapunzel,rapunzel,Locale_SideStory:s001_03_1,True,marian_p,1,sad2,snowwhite,3,idle,rapunzel,13,idle,hongryeon,15,idle,IceLand_03,1315,1315,1.0,bgm_story_thepilgrimacv
s001_03_2,s001_03,Speech,hongryeon,hongryeon,Locale_SideStory:s001_03_2,True,,1,sad2,,3,idle,,13,idle,,15,idle,,1315,1315,1.0,
s001_03_3,s001_03,Speech,hongryeon,hongryeon,Locale_SideStory:s001_03_3,True,,1,sad2,,3,idle,,13,idle,,15,idle,,1315,1315,1.0,
s001_03_4,s001_03,Speech,hongryeon,hongryeon,Locale_SideStory:s001_03_4,True,,1,sad2,,3,idle,,13,idle,,15,idle,,1315,1315,1.0,
s001_03_5,s001_03,Speech,rapunzel,rapunzel,Locale_SideStory:s001_03_5,True,,1,sad2,,3,idle,,13,idle,,15,idle,,1315,1315,1.0,
s001_03_6,s001_03,Speech,hongryeon,hongryeon,Locale_SideStory:s001_03_6,True,,1,sad2,,3,idle,,13,idle,,15,idle,,1315,1315,1.0,
s001_03_7,s001_03,Speech,rapunzel,rapunzel,Locale_SideStory:s001_03_7,True,,1,sad2,,3,idle,,13,delight,,15,idle,,1315,1315,1.0,
s001_03_8,s001_03,Speech,hongryeon,hongryeon,Locale_SideStory:s001_03_8,False,,1,sad2,,3,idle,,13,delight,,15,pain,,1315,1315,1.0,
s001_03_9,s001_03,Speech,rapunzel,rapunzel,Locale_SideStory:s001_03_9,True,,1,sad2,,3,idle,,13,delight,,15,pain,,1315,130,1.0,
s001_03_10,s001_03,Speech,rapunzel,rapunzel,Locale_SideStory:s001_03_10,True,,1,sad2,,3,idle,,13,pain,,15,pain,,130,1300,0.5,
s001_03_11,s001_03,Speech,hongryeon,hongryeon,Locale_SideStory:s001_03_11,False,,1,sad2,,3,idle,,13,pain,,15,pain,,1500,1500,1.0,
s001_03_12,s001_03,Speech,marian_p,marian_p,Locale_SideStory:s001_03_12,True,,1,sad2,,3,idle,,13,idle,,15,pain,,100,10,1.0,
s001_03_13,s001_03,Speech,marian_p,marian_p,Locale_SideStory:s001_03_13,True,,1,sad2,,3,idle,,13,idle,,15,pain,,10,10,1.0,
s001_03_14,s001_03,Speech,snowwhite,snowwhite,Locale_SideStory:s001_03_14,True,,1,sad2,,3,idle,,13,idle,,15,idle,,10,31,1.0,
s001_03_15,s001_03,Speech,marian_p,marian_p,Locale_SideStory:s001_03_15,True,,1,sad2,,3,idle,,13,idle,,15,idle,,31,31,1.0,
s001_03_16,s001_03,Speech,snowwhite,snowwhite,Locale_SideStory:s001_03_16,True,,1,sad2,,3,idle,,13,idle,,15,idle,,31,31,1.0,
s001_03_17,s001_03,Speech,marian_p,marian_p,Locale_SideStory:s001_03_17,True,,1,sad2,,3,idle,,13,idle,,15,idle,,31,31,1.0,
s001_03_18,s001_03,Speech,marian_p,marian_p,Locale_SideStory:s001_03_18,True,,1,sad2,,3,idle,,13,idle,,15,idle,,31,31,1.0,
s001_03_19,s001_03,Speech,snowwhite,snowwhite,Locale_SideStory:s001_03_19,False,,1,sad2,,3,idle,,13,idle,,15,idle,,31,3,1.0,
s001_03_20,s001_03,Speech,snowwhite,snowwhite,Locale_SideStory:s001_03_20,True,,1,sad2,,3,idle,,13,idle,,15,idle,,3,30,1.0,
s001_03_21,s001_03,Speech,snowwhite,snowwhite,Locale_SideStory:s001_03_21,True,,1,sad2,,3,idle,,13,idle,,15,idle,,30,30,1.0,
s001_03_22,s001_03,Speech,snowwhite,snowwhite,Locale_SideStory:s001_03_22,True,,1,sad2,,3,idle,,13,idle,,15,idle,,30,30,1.0,
s001_03_23,s001_03,Speech,marian_p,marian_p,Locale_SideStory:s001_03_23,False,,1,sad2,,3,idle,,13,idle,,15,idle,,30,31,1.0,
s001_03_24,s001_03,Speech,marian_p,marian_p,Locale_SideStory:s001_03_24,True,,1,sad2,,3,idle,,13,idle,,15,idle,,31,31,1.0,
s001_03_25,s001_03,Speech,marian_p,marian_p,Locale_SideStory:s001_03_25,True,,1,sad2,,3,idle,,13,idle,,15,idle,,31,31,1.0,
