id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
s002_13_1,s002_13,Narration,Locale_SideStory:s002_13_1,False,MissilisOffice,black,black,1.0,sfx_scn_knock,none,,,syuen,1,angry,,,,
s002_13_2,s002_13,Speech,Locale_SideStory:s002_13_2,True,,1,S_10,1.0,,,syuen,syuen,,1,angry,,,,
s002_13_3,s002_13,Speech,Locale_SideStory:s002_13_3,True,,S_10,S_10,1.0,,bgm_recognition_underworld,mihara,mihara,,1,angry,,,,
s002_13_4,s002_13,Speech,Locale_SideStory:s002_13_4,True,,S_10,S_100,0.7,,,syuen,syuen,,1,angry,,,,
s002_13_5,s002_13,Speech,Locale_SideStory:s002_13_5,True,,S_100,S_100,1.0,,,mihara,mihara,,1,angry,,,,
s002_13_6,s002_13,Speech,Locale_SideStory:s002_13_6,True,,S_100,S_100,1.0,,,syuen,syuen,,1,angry,,,,
s002_13_7,s002_13,Narration,Locale_SideStory:s002_13_7,False,,black,black,1.0,sfx_scn_autodooropen,,syuen,,,1,angry,mihara,3,idle,
s002_13_8,s002_13,Speech,Locale_SideStory:s002_13_8,True,,S_100,S_10,1.0,,,syuen,syuen,,1,angry,,3,idle,
s002_13_9,s002_13,Speech,Locale_SideStory:s002_13_9,True,,S_10,31,1.0,,,mihara,mihara,,1,angry,,3,idle,
s002_13_10,s002_13,Speech,Locale_SideStory:s002_13_10,True,,31,31,1.0,,,mihara,mihara,,1,angry,,3,idle,
s002_13_11,s002_13,Speech,Locale_SideStory:s002_13_11,True,,31,31,1.0,,,syuen,syuen,,1,angry,,3,idle,
s002_13_12,s002_13,Speech,Locale_SideStory:s002_13_12,True,,31,31,1.0,,,syuen,syuen,,1,angry,,3,idle,
s002_13_13,s002_13,Speech,Locale_SideStory:s002_13_13,True,,31,31,1.0,,,mihara,mihara,,1,angry,,3,idle,
s002_13_14,s002_13,Speech,Locale_SideStory:s002_13_14,True,,31,S_10,1.0,,,syuen,syuen,,1,angry,,3,idle,
s002_13_15,s002_13,Speech,Locale_SideStory:s002_13_15,True,,S_10,S_10,1.0,,,syuen,syuen,,1,angry,,3,idle,
s002_13_16,s002_13,Speech,Locale_SideStory:s002_13_16,True,,S_10,S_10,1.0,,,syuen,syuen,,1,angry,,3,idle,
