id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
s001_07_1,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_1,True,EventScene_Side_01_01,campfire_01,campfire_02,2.0,ambient_scn_burnsilent,bgm_story_thepilgrimacv,,,,,,,,,,,,
s001_07_2,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_2,True,,campfire_02,campfire_02,1.0,,,,,,,,,,,,,,
s001_07_3,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_3,True,,campfire_02,campfire_02,1.0,,,,,,,,,,,,,,
s001_07_4,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_4,True,,campfire_02,campfire_03,1.5,,,,,,,,,,,,,,
s001_07_5,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_5,True,,campfire_03,campfire_03,1.0,,,,,,,,,,,,,,
s001_07_6,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_6,True,,campfire_03,campfire_03,1.0,,,,,,,,,,,,,,
s001_07_7,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_7,True,,campfire_03,campfire_03,1.0,,,,,,,,,,,,,,
s001_07_8,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_8,True,,campfire_03,campfire_03,1.0,,,,,,,,,,,,,,
s001_07_9,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_9,False,,campfire_03,campfire_04,2.0,,,,,,,,,,,,,,
s001_07_10,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_10,True,,campfire_04,campfire_04,1.0,,,,,,,,,,,,,,
s001_07_11,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_11,True,,campfire_04,campfire_04,2.0,,,,,,,,,,,,,,
s001_07_12,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_12,True,,campfire_04,campfire_04,1.0,,,,,,,,,,,,,,
s001_07_13,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_13,True,,campfire_04,campfire_02,2.0,,,,,,,,,,,,,,
s001_07_14,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_14,True,,campfire_02,campfire_02,1.0,,,,,,,,,,,,,,
s001_07_15,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_15,True,,campfire_02,campfire_02,1.0,,,,,,,,,,,,,,
s001_07_16,s001_07,Speech,marian_p,marian_p,Locale_SideStory:s001_07_16,True,,campfire_02,campfire_02,1.0,,,,,,,,,,,,,,
s001_07_17,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_17,False,,campfire_02,campfire_02,1.0,,,,,,,,,,,,,,
s001_07_18,s001_07,Speech,snowwhite,snowwhite,Locale_SideStory:s001_07_18,True,,campfire_02,campfire_05,1.0,,,,,,,,,,,,,,
s001_07_19,s001_07,Narration,snowwhite,,Locale_SideStory:s001_07_19,False,Desert_02_n,black,black,1.0,,,marian_p,1,idle,snowwhite,3,special,rapunzel,5,surprise,hongryeon,7,surprise
s001_07_20,s001_07,Speech,hongryeon,hongryeon,Locale_SideStory:s001_07_20,False,,7,70,0.7,,,,1,idle,,3,special,,5,surprise,,7,surprise
s001_07_21,s001_07,Speech,rapunzel,rapunzel,Locale_SideStory:s001_07_21,False,,5,50,0.7,,,,1,idle,,3,special,,5,surprise,,7,surprise
