id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,set_filter_02,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade
s003_08_1,s003_08,Monologue,Locale_SideStory:s003_08_1,False,IceLand_02,1,1,1.0,bgm_story_enormousgap,Grey,,,,,,,,,,,,,,,,,,
s003_08_2,s003_08,Monologue,Locale_SideStory:s003_08_2,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_3,s003_08,Monologue,Locale_SideStory:s003_08_3,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_4,s003_08,Monologue,Locale_SideStory:s003_08_4,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_5,s003_08,Monologue,Locale_SideStory:s003_08_5,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_6,s003_08,Monologue,Locale_SideStory:s003_08_6,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_7,s003_08,Narration,Locale_SideStory:s003_08_7,False,DeepWater_02,black,black,1.0,,Grey,sfx_scn_waterdive,,,,,,,,,,,,,,,,,
s003_08_8,s003_08,Monologue,Locale_SideStory:s003_08_8,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_9,s003_08,Monologue,Locale_SideStory:s003_08_9,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_10,s003_08,Monologue,Locale_SideStory:s003_08_10,False,,1,1,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_11,s003_08,Monologue,Locale_SideStory:s003_08_11,False,,1,100,1.5,,Grey,,,,,,,,,,,,,,,,,,
s003_08_12,s003_08,Monologue,Locale_SideStory:s003_08_12,False,,100,100,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_13,s003_08,Monologue,Locale_SideStory:s003_08_13,False,,100,100,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_14,s003_08,Monologue,Locale_SideStory:s003_08_14,False,,100,100,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_15,s003_08,Monologue,Locale_SideStory:s003_08_15,False,,100,100,1.0,,Grey,,,,,,,,,,,,,,,,,,
s003_08_16,s003_08,Monologue,Locale_SideStory:s003_08_16,False,,black,black,1.0,,Grey,,Blur_Middle,,,,,,,,,,,,,,,,
s003_08_17,s003_08,Speech,Locale_SideStory:s003_08_17,False,,100,1,1.3,,Grey,,Blur_Middle,lev,Low_2,,,,,,,,,,,,,,
s003_08_18,s003_08,Monologue,Locale_SideStory:s003_08_18,False,,1,1,1.0,,Grey,,Blur_Middle,,,,,,,,,,,,,,,,
s003_08_19,s003_08,Monologue,Locale_SideStory:s003_08_19,False,,1,1,1.0,,Grey,,Blur_Middle,,,,,,,,,,,,,,,,
s003_08_20,s003_08,Monologue,Locale_SideStory:s003_08_20,False,,1,1,1.0,,Grey,,Blur_Middle,,,,,,,,,,,,,,,,
s003_08_21,s003_08,Monologue,Locale_SideStory:s003_08_21,False,,black,black,1.0,,Grey,,Blur_Middle,,,,,,,,,,,,,,,,
s003_08_22,s003_08,Monologue,Locale_SideStory:s003_08_22,False,,black,black,1.0,,Grey,,Blur_High,,,,,,,,,,,,,,,,
s003_08_23,s003_08,Speech,Locale_SideStory:s003_08_23,True,,1,1,1.0,,Grey,,Blur_High,lev,,,,,,,,,,,,,,,
s003_08_24,s003_08,Speech,Locale_SideStory:s003_08_24,True,,1,1,1.0,,Grey,,Blur_High,lev,,,,,,,,,,,,,,,
s003_08_25,s003_08,Monologue,Locale_SideStory:s003_08_25,False,,1,100,1.3,,Grey,,Blur_High,,,,,,,,,,,,,,,,
s003_08_26,s003_08,Monologue,Locale_SideStory:s003_08_26,False,,100,100,1.0,,Grey,,Blur_High,,,,,,,,,,,,,,,,
s003_08_27,s003_08,Monologue,Locale_SideStory:s003_08_27,False,,100,100,1.0,,Grey,,Blur_High,,,,,,,,,,,,,,,,
s003_08_28,s003_08,Narration,Locale_SideStory:s003_08_28,False,IceLand_02,black,black,1.0,,Grey,sfx_scn_watersplash,Blur_High,,,massproduction01,12,idle,,,,,,,,,,,
s003_08_29,s003_08,Monologue,Locale_SideStory:s003_08_29,False,,4,4,1.0,,Grey,,,,,,12,idle,,,,,,,,,,,
s003_08_30,s003_08,Speech,Locale_SideStory:s003_08_30,True,,4,4,1.0,,Grey,,,lev,,,12,idle,,,,,,,,,,,
s003_08_31,s003_08,Speech,Locale_SideStory:s003_08_31,True,,4,4,1.0,,Grey,,,lev,,,12,idle,,,,,,,,,,,
s003_08_32,s003_08,Speech,Locale_SideStory:s003_08_32,True,,4,4,1.0,,Grey,,,massproduction01,,,12,idle,massproduction01,,,,,,,,,,
s003_08_33,s003_08,Monologue,Locale_SideStory:s003_08_33,False,,4,4,1.0,,Grey,,,,,,12,idle,massproduction01,,,,,,,,,,
