id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,set_filter_01,play_sound,set_camera_shake
s002_04_1,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_1,True,mihara,1,pain,yuni_n,3,idle,mana,13,idle,Jail,100,100,1.0,bgm_recognition_underworld,,,,,
s002_04_2,s002_04,Monologue,mihara,,Locale_SideStory:s002_04_2,False,,1,pain,,3,idle,,13,idle,none,black,black,1.0,,mihara,mana,,,
s002_04_3,s002_04,Monologue,yuni_n,,Locale_SideStory:s002_04_3,False,,,,,3,idle,,,,,L_30,L_300,1.0,,,,Vignetting,,
s002_04_4,s002_04,Monologue,yuni_n,,Locale_SideStory:s002_04_4,False,,,,,3,idle,,,,,L_300,L_300,1.0,,,,Vignetting,,
s002_04_5,s002_04,Monologue,yuni_n,,Locale_SideStory:s002_04_5,False,,,,,3,idle,,,,,L_300,yunileg_01,2.0,,,,Vignetting,,
s002_04_6,s002_04,Speech,yuni_n,mihara,Locale_SideStory:s002_04_6,True,,,,,3,idle,,,,,yunileg_01,yunileg_01,1.0,,,,Vignetting,,
s002_04_7,s002_04,Monologue,yuni_n,,Locale_SideStory:s002_04_7,False,,,,,3,idle,,,,,yunileg_01,L_300,2.0,,,,Vignetting,,
s002_04_8,s002_04,Speech,yuni_n,mihara,Locale_SideStory:s002_04_8,True,,,,,3,idle,,,,,L_300,L_30,1.0,,,,Vignetting,,
s002_04_9,s002_04,Speech,yuni_n,mana,Locale_SideStory:s002_04_9,True,,,,,3,idle,,,,,L_30,L_30,1.0,,,,Vignetting,,
s002_04_10,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_10,True,mihara,1,pain,,3,idle,mana,13,idle,Jail,black,black,1.0,,,,,,
s002_04_11,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_11,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_12,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_12,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_13,s002_04,Speech,yuni_n,yuni_n,Locale_SideStory:s002_04_13,True,,1,pain,,3,idle,,13,idle,,113,31,1.5,,,,,,
s002_04_14,s002_04,Monologue,yuni_n,,Locale_SideStory:s002_04_14,False,,1,pain,,3,idle,,13,idle,,31,31,1.0,,,,,,
s002_04_15,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_15,True,,1,pain,,3,idle,,13,idle,,31,31,1.0,,,,,,
s002_04_16,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_16,True,,1,pain,,3,idle,,13,idle,,31,113,1.5,,,,,,
s002_04_17,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_17,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_18,s002_04,Speech,mihara,mihara,Locale_SideStory:s002_04_18,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_19,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_19,True,,1,pain,,3,idle,,13,idle,,113,113,1.0,,,,,,
s002_04_20,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_20,True,,1,pain,,3,idle,,13,idle,,113,130,1.0,,,,,,
s002_04_21,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_21,True,,1,pain,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_22,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_22,True,,1,pain,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_23,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_23,True,,1,pain,,3,idle,,13,idle,,130,130,1.0,,,,,,
s002_04_24,s002_04,Speech,mana,mana,Locale_SideStory:s002_04_24,True,,1,pain,,3,idle,,13,idle,,130,130,1.0,,,,,,
