id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade
s001_12_1,s001_12,Narration,Locale_SideStory:s001_12_1,False,EventScene_Side_01_02,moonrun_01,moonrun_02,2.0,bgm_areah,,,,
s001_12_2,s001_12,Narration,Locale_SideStory:s001_12_2,False,,moonrun_02,moonrun_02,1.0,,,,,
s001_12_3,s001_12,Narration,Locale_SideStory:s001_12_3,False,,moonrun_02,moonrun_02,1.0,,,,,
s001_12_4,s001_12,Speech,Locale_SideStory:s001_12_4,False,,moonrun_02,moonrun_03,1.0,,marian_p,marian_p,,
s001_12_5,s001_12,Speech,Locale_SideStory:s001_12_5,False,,moonrun_03,moonrun_03,1.0,,chime,chime,,
s001_12_6,s001_12,Speech,Locale_SideStory:s001_12_6,False,,moonrun_03,moonrun_03,1.0,,chime,chime,,
s001_12_7,s001_12,Speech,Locale_SideStory:s001_12_7,False,,moonrun_03,moonrun_03,1.0,,marian_p,marian_p,,
s001_12_8,s001_12,Speech,Locale_SideStory:s001_12_8,False,,moonrun_03,moonrun_03,1.0,,chime,chime,,
s001_12_9,s001_12,Speech,Locale_SideStory:s001_12_9,False,,moonrun_03,moonrun_03,1.0,,marian_p,marian_p,,
s001_12_10,s001_12,Speech,Locale_SideStory:s001_12_10,False,,moonrun_03,moonrun_04,1.0,,marian_p,marian_p,,
s001_12_11,s001_12,Speech,Locale_SideStory:s001_12_11,False,,moonrun_04,moonrun_04,1.0,,chime,chime,,
s001_12_12,s001_12,Speech,Locale_SideStory:s001_12_12,False,,moonrun_04,moonrun_04,1.0,,chime,chime,,
s001_12_13,s001_12,Speech,Locale_SideStory:s001_12_13,False,,moonrun_04,moonrun_04,1.0,,marian_p,marian_p,,
s001_12_14,s001_12,Speech,Locale_SideStory:s001_12_14,False,,moonrun_04,moonrun_04,1.0,,marian_p,marian_p,,
s001_12_15,s001_12,Speech,Locale_SideStory:s001_12_15,False,,moonrun_04,moonrun_04,1.0,,crown,crown,,
s001_12_16,s001_12,Speech,Locale_SideStory:s001_12_16,False,,moonrun_04,moonrun_04,1.0,,marian_p,marian_p,,
s001_12_17,s001_12,Speech,Locale_SideStory:s001_12_17,False,,moonrun_04,moonrun_04,1.0,,crown,crown,,
