id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id
s003_12_1,s003_12,Narration,lev,Locale_SideStory:s003_12_1,False,lev,2,worry_02,littlemermaid,12,idle,SilentBeach_d,black,black,1.0,bgm_theruinedcity,,,,,
s003_12_2,s003_12,Monologue,lev,Locale_SideStory:s003_12_2,False,,2,worry_02,,12,idle,,black,black,1.0,,sfx_scn_5rapturestep,,,,
s003_12_3,s003_12,Speech,lev,Locale_SideStory:s003_12_3,False,,2,worry_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_4,s003_12,Monologue,lev,Locale_SideStory:s003_12_4,False,,2,worry_02,,12,idle,,1,1,1.0,,,,,,
s003_12_5,s003_12,Speech,lev,Locale_SideStory:s003_12_5,True,,2,worry_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_6,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_6,True,,2,worry_02,,12,idle,,1,1,1.0,,,littlemermaid,,,
s003_12_7,s003_12,Speech,lev,Locale_SideStory:s003_12_7,True,,2,angry_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_8,s003_12,Speech,lev,Locale_SideStory:s003_12_8,True,,2,angry_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_9,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_9,True,,2,angry_02,,12,idle,,1,1,1.0,,,littlemermaid,,,
s003_12_10,s003_12,Speech,lev,Locale_SideStory:s003_12_10,True,,2,angry_02,,12,idle,,1,S_20,1.3,,,lev,,,
s003_12_11,s003_12,Monologue,lev,Locale_SideStory:s003_12_11,False,,2,angry_02,,12,idle,,S_20,S_20,1.0,,,,,,
s003_12_12,s003_12,Narration,lev,Locale_SideStory:s003_12_12,False,,2,angry_02,,12,idle,,S_20,S_20,1.0,,sfx_scn_5rapturestep,,,,
s003_12_13,s003_12,Monologue,lev,Locale_SideStory:s003_12_13,False,,2,angry_02,,12,idle,,S_20,S_20,1.0,,,,,,
s003_12_14,s003_12,Monologue,lev,Locale_SideStory:s003_12_14,False,,2,angry_02,,12,idle,,S_20,S_20,1.0,,,,,,
s003_12_15,s003_12,Speech,lev,Locale_SideStory:s003_12_15,True,,2,angry_02,,12,idle,,S_20,S_200,1.3,,,lev,,,
s003_12_16,s003_12,Monologue,lev,Locale_SideStory:s003_12_16,False,,2,angry_02,,12,idle,,black,black,1.0,,,,,,
s003_12_17,s003_12,Narration,lev,Locale_SideStory:s003_12_17,False,,2,angry_02,,12,idle,,black,black,1.0,,sfx_scn_mermaidshot,,,,
s003_12_18,s003_12,Monologue,lev,Locale_SideStory:s003_12_18,False,,2,angry_02,,12,idle,,black,black,1.0,,,,,,
s003_12_19,s003_12,Narration,lev,Locale_SideStory:s003_12_19,False,,2,angry_02,,12,idle,,black,black,1.0,,sfx_scn_rapturefin,,Low_2,,
s003_12_20,s003_12,Monologue,lev,Locale_SideStory:s003_12_20,False,,2,angry_02,,12,idle,,S_200,S_20,1.3,,,,,,
s003_12_21,s003_12,Speech,lev,Locale_SideStory:s003_12_21,True,,2,delight_02,,12,idle,,S_20,S_20,1.0,,,lev,,,
s003_12_22,s003_12,Speech,lev,Locale_SideStory:s003_12_22,True,,2,delight_02,,12,idle,,S_20,S_20,1.0,,,lev,,,
s003_12_23,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_23,True,,2,delight_02,,12,delight,,S_20,1,1.3,,,littlemermaid,,,
s003_12_24,s003_12,Speech,lev,Locale_SideStory:s003_12_24,True,,2,shy_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_25,s003_12,Speech,lev,Locale_SideStory:s003_12_25,True,,2,shy_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_26,s003_12,Speech,lev,Locale_SideStory:s003_12_26,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_27,s003_12,Speech,lev,Locale_SideStory:s003_12_27,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_28,s003_12,Speech,lev,Locale_SideStory:s003_12_28,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_29,s003_12,Speech,lev,Locale_SideStory:s003_12_29,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_30,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_30,True,,2,delight_02,,12,delight,,1,1,1.0,,,littlemermaid,,,
s003_12_31,s003_12,Speech,lev,Locale_SideStory:s003_12_31,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_32,s003_12,Speech,lev,Locale_SideStory:s003_12_32,True,,2,idle_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_33,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_33,False,,2,idle_02,,12,idle,,1,1,1.0,,,littlemermaid,,,
s003_12_34,s003_12,Narration,littlemermaid,Locale_SideStory:s003_12_34,False,,2,idle_02,,12,idle,,1,1,1.0,,,,,,
s003_12_35,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_35,True,,2,idle_02,,12,delight,,1,1,1.0,,,littlemermaid,,,
s003_12_36,s003_12,Speech,lev,Locale_SideStory:s003_12_36,True,,2,shy_02,,12,delight,,1,1,1.3,,,lev,,,
s003_12_37,s003_12,Speech,lev,Locale_SideStory:s003_12_37,True,,2,shy_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_38,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_38,True,,2,shy_02,,12,delight,,1,1,1.0,,,littlemermaid,,,
s003_12_39,s003_12,Speech,lev,Locale_SideStory:s003_12_39,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_40,s003_12,Speech,lev,Locale_SideStory:s003_12_40,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_41,s003_12,Speech,lev,Locale_SideStory:s003_12_41,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_42,s003_12,Speech,lev,Locale_SideStory:s003_12_42,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_43,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_43,True,,2,delight_02,,12,delight,,1,1,1.0,,,littlemermaid,,,
s003_12_44,s003_12,Speech,lev,Locale_SideStory:s003_12_44,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_45,s003_12,Speech,lev,Locale_SideStory:s003_12_45,True,,2,delight_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_46,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_46,True,,2,delight_02,,12,idle,,1,1,1.0,,,littlemermaid,,,
s003_12_47,s003_12,Speech,lev,Locale_SideStory:s003_12_47,True,,2,idle_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_48,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_48,True,,2,idle_02,,12,idle,,1,1,1.0,,,littlemermaid,,,
s003_12_49,s003_12,Speech,lev,Locale_SideStory:s003_12_49,True,,2,delight_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_50,s003_12,Speech,lev,Locale_SideStory:s003_12_50,True,,2,delight_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_51,s003_12,Speech,lev,Locale_SideStory:s003_12_51,True,,2,idle_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_52,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_52,True,,2,idle_02,,12,delight,,1,1,1.0,,,littlemermaid,,,
s003_12_53,s003_12,Speech,lev,Locale_SideStory:s003_12_53,True,,2,shy_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_54,s003_12,Speech,lev,Locale_SideStory:s003_12_54,False,,2,shy_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_55,s003_12,Speech,lev,Locale_SideStory:s003_12_55,True,,2,idle_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_56,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_56,True,,2,idle_02,,12,idle,,1,1,1.0,,,littlemermaid,,,
s003_12_57,s003_12,Speech,lev,Locale_SideStory:s003_12_57,True,,2,idle_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_58,s003_12,Speech,lev,Locale_SideStory:s003_12_58,True,,2,idle_02,,12,idle,,1,1,1.0,,,lev,,,
s003_12_59,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_59,True,,2,idle_02,,12,delight,,1,1,1.0,,,littlemermaid,,,
s003_12_60,s003_12,Speech,lev,Locale_SideStory:s003_12_60,True,,2,angry_02,,12,delight,,1,1,1.0,,,lev,,,
s003_12_61,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_61,True,,2,angry_02,,12,delight,,1,1,1.0,,,littlemermaid,,,
s003_12_62,s003_12,Narration,littlemermaid,Locale_SideStory:s003_12_62,False,,2,angry_02,,12,delight,,black,black,1.0,none,sfx_scn_tsunamiquakefar,,,,
s003_12_63,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_63,False,,2,surprise_02,,12,surprise,,L_120,L_120,1.0,,,littlemermaid,,,
s003_12_64,s003_12,Speech,lev,Locale_SideStory:s003_12_64,True,,2,surprise_02,,12,surprise,,L_120,S_20,1.3,,,lev,,,
s003_12_65,s003_12,Narration,lev,Locale_SideStory:s003_12_65,False,,2,surprise_02,,12,surprise,,black,black,1.0,bgm_chapter31_field_beast_a,sfx_scn_earthquake,,,,
s003_12_66,s003_12,Monologue,lev,Locale_SideStory:s003_12_66,False,,2,surprise_02,,12,surprise,,black,black,1.0,,,,,,
s003_12_67,s003_12,Speech,lev,Locale_SideStory:s003_12_67,True,,2,surprise_02,,12,surprise,,1,1,1.0,,,lev,,,
s003_12_68,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_68,True,,2,surprise_02,,12,surprise,,1,1,1.0,,,littlemermaid,,,
s003_12_69,s003_12,Speech,lev,Locale_SideStory:s003_12_69,True,,2,surprise_02,,12,surprise,,1,1,1.0,,,lev,,,
s003_12_70,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_70,True,,2,surprise_02,,12,angry,,1,1,1.0,,,littlemermaid,,,
s003_12_71,s003_12,Speech,lev,Locale_SideStory:s003_12_71,True,,2,surprise_02,,12,angry,,1,1,1.0,,,lev,,,
s003_12_72,s003_12,Narration,lev,Locale_SideStory:s003_12_72,False,,2,surprise_02,,12,angry,EventScene_Side_03_02_1,black,black,1.0,,sfx_scn_groundbreak,,,lev,littlemermaid
s003_12_73,s003_12,Monologue,lev,Locale_SideStory:s003_12_73,False,,,,,,,,1,1,1.0,,,,,,
s003_12_74,s003_12,Monologue,lev,Locale_SideStory:s003_12_74,False,,,,,,,,1,1,1.0,,,,,,
s003_12_75,s003_12,Speech,lev,Locale_SideStory:s003_12_75,True,,,,,,,,1,10,1.3,,,lev,,,
s003_12_76,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_76,False,,,,,,,,10,10,1.0,,,littlemermaid,,,
s003_12_77,s003_12,Speech,littlemermaid,Locale_SideStory:s003_12_77,True,,,,,,,,10,10,1.0,,,littlemermaid,,,
