id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,set_filter_01,fade,characters/0/hide_char_id
s003_03_1,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_1,False,silentcave_off,black,black,1.0,bgm_story_discussion,,,,,,,,,,
s003_03_2,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_2,False,,black,black,1.0,,,,,,,,,,,
s003_03_3,s003_03,Monologue,littlemermaid,,Locale_SideStory:s003_03_3,False,,12,12,1.0,,,,,,,,,,,
s003_03_4,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_4,False,,12,S_120,1.3,,blackwatergirl,12,worry,,,,,,,
s003_03_5,s003_03,Monologue,blackwatergirl,,Locale_SideStory:s003_03_5,False,,S_120,S_120,1.0,,,12,worry,,,,,,,
s003_03_6,s003_03,Monologue,blackwatergirl,,Locale_SideStory:s003_03_6,False,,S_120,S_120,1.0,,,12,worry,,,,,,,
s003_03_7,s003_03,Speech,blackwatergirl,littlemermaid,Locale_SideStory:s003_03_7,False,,S_120,S_120,1.0,,,12,worry,,,,,,,
s003_03_8,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_8,False,,S_120,S_120,1.0,,,12,worry,,,,,,,
s003_03_9,s003_03,Speech,blackwatergirl,littlemermaid,Locale_SideStory:s003_03_9,False,,S_120,S_1200,1.3,,,12,worry,,,,,,,
s003_03_10,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_10,False,,S_1200,S_1200,1.0,,,12,worry,,,,,,,
s003_03_11,s003_03,Speech,blackwatergirl,littlemermaid,Locale_SideStory:s003_03_11,False,,S_1200,S_1200,1.0,,,12,worry,,,,,,,
s003_03_12,s003_03,Speech,blackwatergirl,blackwatergirl,Locale_SideStory:s003_03_12,True,,S_1200,S_120,0.7,,,12,surprise,,,,,,,
s003_03_13,s003_03,Speech,blackwatergirl,littlemermaid,Locale_SideStory:s003_03_13,False,,S_120,S_120,1.0,,,12,surprise,,,,,,,
s003_03_14,s003_03,Speech,blackwatergirl,littlemermaid,Locale_SideStory:s003_03_14,False,,S_120,S_120,1.0,,,12,surprise,,,,,,,
s003_03_15,s003_03,Monologue,littlemermaid,,Locale_SideStory:s003_03_15,False,TechIndoor,black,black,1.0,,abe,12,surprise,littlemermaid,2,think,blackwatergirl,,,
s003_03_16,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_16,True,,1,1,1.0,event_bgm_oldtales_firstpage,,12,worry,,2,idle,,Grey,black,
s003_03_17,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_17,True,,1,1,1.0,,,12,worry,,2,surprise,,Grey,,
s003_03_18,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_18,True,,1,1,1.0,,,12,worry,,2,surprise,,Grey,,
s003_03_19,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_19,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_20,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_20,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_21,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_21,True,,1,1,1.0,,,12,worry,,2,think,,Grey,,
s003_03_22,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_22,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_23,s003_03,Monologue,littlemermaid,,Locale_SideStory:s003_03_23,False,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_24,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_24,True,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
s003_03_25,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_25,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_26,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_26,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_27,s003_03,Monologue,littlemermaid,,Locale_SideStory:s003_03_27,False,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_28,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_28,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_29,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_29,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_30,s003_03,Speech,abe,abe,Locale_SideStory:s003_03_30,True,,1,1,1.0,,,12,idle,,2,think,,Grey,,
s003_03_31,s003_03,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_03_31,False,,1,1,1.0,,,12,idle,,2,idle,,Grey,,
