id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
s001_01_1,s001_01,Speech,snowwhite,snowwhite,Locale_SideStory:s001_01_1,True,snowwhite,1,pain,rapunzel,13,sad,hongryeon,15,no,marian_p,3,cry,IceLand_02,1,10,1.0,bgm_story_thepilgrimacv,
s001_01_2,s001_01,Speech,hongryeon,hongryeon,Locale_SideStory:s001_01_2,False,,1,pain,,13,sad,,15,no,,3,cry,,1315,1315,1.0,,
s001_01_3,s001_01,Speech,rapunzel,rapunzel,Locale_SideStory:s001_01_3,False,,1,pain,,13,sad,,15,no,,3,cry,,1315,1315,1.0,,
s001_01_4,s001_01,Speech,snowwhite,snowwhite,Locale_SideStory:s001_01_4,True,,1,pain,,13,sad,,15,no,,3,cry,,1,10,0.7,,
s001_01_5,s001_01,Speech,hongryeon,hongryeon,Locale_SideStory:s001_01_5,True,,1,pain,,13,sad,,15,no,,3,cry,,150,150,1.0,,
s001_01_6,s001_01,Speech,snowwhite,snowwhite,Locale_SideStory:s001_01_6,True,,1,angry,,13,sad,,15,no,,3,cry,,10,10,1.0,,
s001_01_7,s001_01,Speech,rapunzel,rapunzel,Locale_SideStory:s001_01_7,True,,1,angry,,13,sad,,15,no,,3,cry,,10,113,1.0,,
s001_01_8,s001_01,Speech,snowwhite,snowwhite,Locale_SideStory:s001_01_8,True,,1,idle,,13,sad,,15,no,,3,cry,,113,113,1.0,,
s001_01_9,s001_01,Speech,hongryeon,hongryeon,Locale_SideStory:s001_01_9,True,,1,idle,,13,sad,,15,pain,,3,cry,,113,1315,1.0,,
s001_01_10,s001_01,Speech,rapunzel,rapunzel,Locale_SideStory:s001_01_10,True,,1,idle,,13,sad,,15,pain,,3,cry,,1315,1315,1.0,,
s001_01_11,s001_01,Speech,hongryeon,hongryeon,Locale_SideStory:s001_01_11,True,,1,idle,,13,sad,,15,idle,,3,cry,,1315,1315,1.0,,
s001_01_12,s001_01,Speech,hongryeon,hongryeon,Locale_SideStory:s001_01_12,True,,1,idle,,13,sad,,15,idle,,3,cry,,1315,1315,1.0,,
