id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
s003_01_1,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_1,True,JungleBuilding,black,black,1.0,bgm_chapter32_field_advance,,,,leviathan,1,think_01,,,,,
s003_01_2,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_2,False,,S_10,S_10,1.0,,,,,,1,think_02,,,,,
s003_01_3,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_3,True,,S_10,S_10,1.0,,,,,,1,think_02,,,,,
s003_01_4,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_4,True,,S_10,S_10,1.0,,,,,,1,think_02,,,,,
s003_01_5,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_5,True,,S_10,S_10,1.0,,,,,,1,smile,,,,,
s003_01_6,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_6,True,,S_10,S_10,1.0,,,,,,1,smile,,,,,
s003_01_7,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_7,True,,S_10,S_10,1.0,,,,,,1,smile,,,,,
s003_01_8,s003_01,Narration,leviathan,,Locale_SideStory:s003_01_8,False,,S_10,S_10,1.0,,sfx_scn_wavebreak,,,,1,smile,,,,,
s003_01_9,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_9,False,,S_10,S_100,1.3,,,,,,1,think_01,,,,,
s003_01_10,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_10,True,,S_100,S_100,1.0,,,,,,1,think_01,,,,,
s003_01_11,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_11,True,,S_100,S_100,1.0,,,,,,1,think_01,,,,,
s003_01_12,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_12,False,,S_100,S_100,1.0,,,,,,1,think_01,,,,,
s003_01_13,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_13,True,,S_100,S_10,1.3,,,,,,1,think_01,,,,,
s003_01_14,s003_01,Speech,leviathan,leviathan,Locale_SideStory:s003_01_14,True,,S_10,S_10,1.0,,,,,,1,think_01,,,,,
s003_01_15,s003_01,Monologue,leviathan,,Locale_SideStory:s003_01_15,False,,S_10,S_10,1.0,,,,,,1,think_01,,,,,
s003_01_16,s003_01,Narration,leviathan,,Locale_SideStory:s003_01_16,False,DeepWater_02,black,black,1.0,none,sfx_scn_waterdive,black,,,1,think_01,leviathan,,,,
s003_01_17,s003_01,Monologue,,,Locale_SideStory:s003_01_17,False,,black,black,1.0,,,,,,,,,,,,
s003_01_18,s003_01,Monologue,,,Locale_SideStory:s003_01_18,False,,black,black,1.0,,,,,,,,,,,,
s003_01_19,s003_01,Monologue,,,Locale_SideStory:s003_01_19,False,,black,black,1.0,,,,,,,,,,,,
s003_01_20,s003_01,Monologue,,,Locale_SideStory:s003_01_20,False,,black,black,1.0,,,,,,,,,,,,
s003_01_21,s003_01,Narration,,,Locale_SideStory:s003_01_21,False,,black,black,1.0,event_bgm_oldtales_orgel_2,sfx_scn_underwater,,,,,,,,,,
s003_01_22,s003_01,Monologue,,,Locale_SideStory:s003_01_22,False,,black,black,1.0,,,,,,,,,,,,
s003_01_23,s003_01,Monologue,,,Locale_SideStory:s003_01_23,False,,black,black,1.0,,,,,,,,,,,,
s003_01_24,s003_01,Monologue,,,Locale_SideStory:s003_01_24,False,,100,1,1.5,,,,,,,,,,,,
s003_01_25,s003_01,Monologue,,,Locale_SideStory:s003_01_25,False,,1,1,1.0,,,,,,,,,,,,
s003_01_26,s003_01,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_01_26,True,,1,1,1.0,,,,,,,,,,,,
s003_01_27,s003_01,Monologue,,,Locale_SideStory:s003_01_27,False,,1,1,1.0,,,,,,,,,,,,
s003_01_28,s003_01,Monologue,,,Locale_SideStory:s003_01_28,False,,1,1,1.0,,,,,,,,,,,,
s003_01_29,s003_01,Monologue,,,Locale_SideStory:s003_01_29,False,,1,1,1.0,,,,,,,,,,,,
s003_01_30,s003_01,Monologue,,,Locale_SideStory:s003_01_30,False,,1,1,1.0,,,,,,,,,,,,
s003_01_31,s003_01,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_01_31,True,,1,1,1.0,,,,,,,,,,,,
s003_01_32,s003_01,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_01_32,True,,1,1,1.0,,,,,,,,,,,,
s003_01_33,s003_01,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_01_33,True,,1,1,1.0,,,,,,,,,,,,
s003_01_34,s003_01,Monologue,,,Locale_SideStory:s003_01_34,False,,1,1,1.0,,,,,,,,,,,,
s003_01_35,s003_01,Monologue,,,Locale_SideStory:s003_01_35,False,,1,1,1.0,,,,,,,,,,,,
s003_01_36,s003_01,Monologue,,,Locale_SideStory:s003_01_36,False,,1,1,1.0,,,,,,,,,,,,
s003_01_37,s003_01,Monologue,,,Locale_SideStory:s003_01_37,False,,1,1,1.0,,,,,,,,,,,,
s003_01_38,s003_01,Monologue,,,Locale_SideStory:s003_01_38,False,,1,1,1.0,,,,,,,,,,,,
s003_01_39,s003_01,Monologue,,,Locale_SideStory:s003_01_39,False,,1,10,1.3,,,,,,,,,,,,
s003_01_40,s003_01,Speech,littlemermaid,littlemermaid,Locale_SideStory:s003_01_40,True,,10,10,1.0,,,,,,,,,,,,
s003_01_41,s003_01,Monologue,,,Locale_SideStory:s003_01_41,False,,10,10,1.0,,,,,,,,,,,,
s003_01_42,s003_01,Monologue,,,Locale_SideStory:s003_01_42,False,,10,10,1.0,,,,,,,,,,,,
s003_01_43,s003_01,Monologue,,,Locale_SideStory:s003_01_43,False,,10,10,1.0,,,,,,,,,,,,
