stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/2/private_monster_count,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_path,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/7/private_monster_count,mod_value,wave_data/8/private_monster_count
7033001,wave_campaign_hard_014,Campaign,90,5,true,false,point_grd_cityforestcrystal_005,point_fly_cityforestcrystal_005,sbg_cityforestundercrystal_005,CityForestUnder,Night,ibg_cityforestundercrystal_001,2320020151,path_grd_mid_small_049,3220050151,Drop,3220050151,Drop,3220050151,Drop,2220040151,Drop,path_grd_mid_special_065,7,1120010151,Dash,1120010151,Dash,2220030151,Dash,2320020251,Dash,path_grd_far_small_044,2220030151,Dash,2220030151,Dash,2220030151,Dash,2220040151,Dash,path_fly_far_special_045,0,1110010151,Drop,1110010151,Drop,1110010151,Drop,1210040151,Drop,path_grd_mid_special_065,10,1120010151,Drop,1120010151,Drop,2220030151,Drop,2320020151,Drop,path_grd_far_small_006,8,2220030151,Jump,2220030151,Jump,2220030151,Jump,2220040151,Jump,0,36,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033002,wave_campaign_hard_014,Campaign,90,5,true,false,point_grd_cityforestcrystal_002,point_fly_cityforestcrystal_002,sbg_cityforestundercrystal_002,CityForestUnder,Night,ibg_cityforestundercrystal_001,1320010151,path_grd_mid_small_055,1220060151,Drop,1220060151,Drop,1220060151,Drop,2220040151,Drop,path_grd_far_elite1_803,7,1220030151,Dash,1220030151,Dash,3220070151,Drop,3320020251,Drop,path_grd_mid_small_011,3220010151,Dash,3220010151,Dash,3220070151,Dash,2220040151,Dash,path_grd_close_elite1_801,0,1220060151,Dash,1220060151,Dash,2220040151,Drop,1320010151,Drop,path_grd_far_small_074,6,3220070151,Dash,3220070151,Dash,3220070151,Dash,2220040151,Dash,,,,,,,,,,,9,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033003,wave_campaign_hard_014,Campaign,90,5,true,false,point_grd_cityforestcrystal_003,point_fly_cityforestcrystal_003,sbg_cityforestundercrystal_003,CityForestUnder,Night,ibg_cityforestundercrystal_001,1310030151,path_grd_mid_small_052,2220030151,Drop,2220030151,Drop,2220030151,Drop,2220030151,Drop,path_fly_mid_elite1_802,,3210020151,Dash,3210020151,Dash,1210040151,Drop,1310030251,Drop,path_fly_mid_small_050,3210020151,Dash,3210020151,Dash,3210020151,Dash,1210040151,Dash,path_fly_mid_elite2_805,0,3210020151,Drop,3210020151,Drop,1310010251,Drop,1310030151,Drop,path_grd_mid_small_052,8,2220030151,Drop,2220030151,Drop,2220030151,Drop,2220030151,Drop,path_fly_mid_small_050,7,3210020151,Dash,3210020151,Dash,3210020151,Dash,1210040151,Dash,0,42,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033004,wave_campaign_hard_014,Campaign,90,5,true,false,point_grd_cityforestcrystal_001,point_fly_cityforestcrystal_001,sbg_cityforestundercrystal_001,CityForestUnder,Night,ibg_cityforestundercrystal_001,2310020151,path_grd_mid_small_002,1220060151,Dash,1220060151,Dash,1220060151,Dash,1220060151,Dash,path_fly_mid_elite1_802,,2210020151,Dash,2210020151,Dash,2210040151,Drop,2310020251,Drop,path_fly_mid_small_039,2210020151,Drop,2210020151,Drop,2210020151,Drop,2210020151,Drop,path_fly_mid_small_039,0,2210020151,Drop,2210020151,Drop,2210040151,Drop,2210040151,Drop,path_fly_mid_elite1_802,8,2210020151,Dash,2210020151,Dash,2210040151,Drop,2310020151,Drop,path_grd_mid_small_043,8,1220060151,Dash,1220060151,Dash,1220060151,Dash,1220060151,Dash,0,42,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033005,wave_campaign_hard_014,Campaign,90,7,true,false,point_grd_cityforestcrystal_004,point_fly_cityforestcrystal_004,sbg_cityforestundercrystal_004,CityForestUnder,Night,ibg_cityforestundercrystal_001,1310030151,path_fly_mid_small_053,2210020151,Drop,1210050151,Drop,2210020151,Drop,1210050151,Drop,path_grd_close_elite2_804,,2220030151,Dash,2220030151,Dash,2320050251,Jump,2320050251,Jump,path_grd_far_small_044,2220030151,Dash,2220040151,Dash,2220030151,Dash,2220040151,Dash,path_fly_mid_small_039,10,3210010151,Drop,3210010151,Drop,1210050151,Drop,1210050151,Drop,path_fly_mid_special_047,0,3210010151,Dash,2210020151,Dash,1210050151,Drop,1310030151,Drop,path_fly_mid_elite1_802,10,1210020151,Dash,1210020151,Dash,1210050151,Drop,1310030251,Drop,9,42,12,,path_grd_far_small_044,5,2220030151,Dash,2220040151,Dash,2220030151,Dash,2220040151,Dash,path_fly_mid_small_024,3210040151,Drop,1210050151,Drop,3210040151,Drop,1210050151,Drop,,,,,,,,,,,,
7033006,wave_campaign_hard_014,Campaign,90,5,true,false,point_grd_cityforestcrystal_003,point_fly_cityforestcrystal_003,sbg_cityforestundercrystal_003,CityForestUnder,Night,ibg_cityforestundercrystal_001,2320060151,path_grd_mid_small_070,3220050151,Dash,3220050151,Dash,3220050151,Dash,2220050151,Dash,path_fly_mid_small_039,,1210020151,Dash,1210020151,Dash,1210040151,Dash,1310010251,Dash,path_grd_mid_small_034,3220060151,Drop,3220080151,Drop,3220060151,Drop,2220050151,Dash,path_grd_mid_small_068,0,3220060151,Dash,3220060151,Dash,2220050151,Drop,2320060151,Drop,path_grd_mid_small_043,10,3220050151,Dash,3220060151,Dash,2220050151,Dash,3220080151,Normal,,,,,,,,,,,0,30,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033007,wave_campaign_hard_014,Campaign,90,5,true,false,point_grd_cityforestcrystal_002,point_fly_cityforestcrystal_002,sbg_cityforestundercrystal_002,CityForestUnder,Night,ibg_cityforestundercrystal_001,2320010151,path_grd_mid_small_002,3220040151,Dash,3220040151,Dash,3220040151,Dash,3220040151,Dash,path_fly_mid_small_050,,3210010151,Dash,3210010151,Dash,3210010151,Dash,3210030151,Dash,path_grd_mid_elite1_802,3220040151,Drop,3220040151,Drop,3220060151,Drop,2320010251,Drop,path_grd_mid_elite2_808,0,3220040151,Dash,3220060151,Dash,1320030251,Drop,2320010151,Drop,path_fly_mid_small_050,10,3210010151,Dash,3210010151,Dash,3210010151,Dash,3210030151,Dash,path_grd_mid_small_043,7,3220040151,Drop,3220060151,Drop,3220040151,Drop,3220060151,Drop,0,42,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033008,wave_campaign_hard_014,Campaign,90,7,true,false,point_grd_cityforestcrystal_001,point_fly_cityforestcrystal_001,sbg_cityforestundercrystal_001,CityForestUnder,Night,ibg_cityforestundercrystal_001,1310020151,path_grd_mid_small_034,2220010151,Drop,2220010151,Drop,2220010151,Drop,2220050151,Drop,path_grd_mid_elite3_811,3,3220040151,Dash,2320030251,Dash,2320030251,Drop,2320030251,Drop,path_fly_mid_small_005,1210050151,Drop,1210040151,Drop,1210050151,Drop,1210040151,Drop,path_fly_mid_small_008,10,2210010151,Dash,1210050151,Drop,2210010151,Dash,1210050151,Drop,path_grd_mid_special_025,0,3220040151,Dash,2220010151,Dash,3220050151,Dash,2320030251,Dash,path_fly_mid_elite2_808,10,3210010151,Dash,1210050151,Drop,1310030251,Drop,1310020151,Drop,0,69,0,12,path_grd_mid_small_073,8,2220010151,Dash,2220010151,Dash,3220020151,Dash,2320030251,Dash,path_fly_mid_small_021,3210010151,Dash,1210050151,Drop,3210010151,Dash,1210050151,Drop,path_fly_mid_small_002,3210040151,Drop,1210050151,Drop,3210040151,Drop,1210050151,Drop,,,
7033009,wave_campaign_hard_014,Campaign,90,5,true,false,point_grd_cityforestcrystal_004,point_fly_cityforestcrystal_004,sbg_cityforestundercrystal_004,CityForestUnder,Night,ibg_cityforestundercrystal_001,3310050151,path_grd_close_small_001,3220030151,Jump,3220030151,Jump,3220030151,Dash,2220040151,Dash,path_fly_mid_elite1_802,7,3210010151,Dash,3210010151,Dash,3210010151,Dash,3310050251,Dash,path_grd_close_small_051,2220010151,Dash,2220010151,Dash,2220040151,Dash,2220010151,Dash,path_fly_mid_elite1_802,0,1210010151,Dash,1210010151,Dash,3210030151,Drop,3310050151,Drop,path_grd_close_small_042,,3220050151,Dash,3220050151,Dash,3220050151,Dash,2220040151,Dash,path_grd_mid_special_025,,3120010151,Jump,3120010151,Jump,3120010151,Drop,3120010151,Drop,18,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033010,wave_campaign_hard_014,Campaign,90,5,true,false,point_grd_cityforestcrystal_003,point_fly_cityforestcrystal_003,sbg_cityforestundercrystal_003,CityForestUnder,Night,ibg_cityforestundercrystal_001,1320060151,path_grd_mid_small_055,2220010151,Drop,2220010151,Drop,2220010151,Drop,2220010151,Drop,path_grd_mid_elite3_814,,2220020151,Dash,3320010251,Dash,2220040151,Dash,1320060251,Dash,path_grd_mid_small_011,2220010151,Drop,2220010151,Drop,2220010151,Drop,2220010151,Drop,path_grd_mid_elite3_814,0,2220020151,Dash,3320010251,Dash,2220040151,Drop,1320060151,Drop,path_grd_mid_small_043,8,2220010151,Drop,2220010151,Drop,2220010151,Drop,2220010151,Drop,,,,,,,,,,,0,36,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
