stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/2/private_monster_count,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/5/private_monster_count,wave_data/7/wave_path,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/7/private_monster_count,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,mod_value
6009001,wave_campaign_normal_004,Campaign,90,5,True,False,point_grd_wasteland_003,point_fly_wasteland_003,sbg_wasteland_003,Wasteland,Day,ibg_wasteland_001,2320020121.0,path_grd_far_small_033,3220070121,Dash,3220070121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,path_grd_close_small_054,6.0,3220050121.0,Drop,3220050121.0,Drop,3220050121.0,Drop,3320050221.0,Drop,path_grd_mid_small_070,3220070121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,3220020121.0,Dash,path_grd_mid_elite1_802,0.0,3220050121.0,Dash,3220050121.0,Dash,3220070121.0,Drop,2320020121.0,Drop,path_grd_mid_small_008,3220070121.0,Drop,3220070121.0,Drop,3220070121.0,Drop,3220070121.0,Dash,6,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009002,wave_campaign_normal_004,Campaign,90,5,True,False,point_grd_wasteland_004,point_fly_wasteland_004,sbg_wasteland_004,Wasteland,Day,ibg_wasteland_001,2320030121.0,path_grd_close_small_039,3220010121,Dash,3220010121.0,Dash,3220010121.0,Dash,3220010121.0,Dash,path_grd_mid_small_049,6.0,3220010121.0,Jump,3220010121.0,Jump,3220070121.0,Jump,1320010221.0,Jump,path_fly_mid_small_050,3210020121.0,Drop,3210020121.0,Drop,3210020121.0,Drop,3210030121.0,Drop,path_grd_close_elite1_801,0.0,3220070121.0,Jump,3220070121.0,Jump,3220010121.0,Drop,2320030121.0,Drop,path_grd_mid_small_012,3220010121.0,Jump,3220010121.0,Jump,3220010121.0,Jump,2220040121.0,Dash,15,18,0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009003,wave_campaign_normal_004,Campaign,90,7,True,False,point_grd_wasteland_001,point_fly_wasteland_001,sbg_wasteland_001,Wasteland,Day,ibg_wasteland_001,1320040121.0,path_grd_mid_small_043,3220010121,Jump,3220010121.0,Jump,3220010121.0,Jump,3220010121.0,Jump,path_grd_close_small_054,,1220030121.0,Drop,1220030121.0,Drop,1220030121.0,Drop,2320030221.0,Drop,path_fly_mid_elite1_802,1210030121.0,Jump,1210030121.0,Jump,3210030121.0,Drop,3310010221.0,Drop,path_grd_mid_special_065,,1120010121.0,Jump,1120010121.0,Jump,1220030121.0,Drop,2220040121.0,Drop,path_grd_close_elite2_807,3220010121.0,Jump,3220010121.0,Jump,2320030221.0,Drop,1320040121.0,Drop,21,45,0,10.0,0.0,path_grd_mid_special_025,3220010121.0,Jump,3220010121.0,Jump,1120010121.0,Drop,1120010121.0,Drop,path_fly_close_small_038,5.0,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,1210030121.0,Dash,,,,,,,,,,,,,,,,,,,,,,
6009004,wave_campaign_normal_004,Campaign,90,5,True,False,point_grd_wasteland_005,point_fly_wasteland_005,sbg_wasteland_005,Wasteland,Day,ibg_wasteland_001,3320040121.0,path_grd_close_small_042,1220010121,Dash,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,path_grd_mid_elite1_802,6.0,2220030121.0,Jump,2220030121.0,Jump,3220020121.0,Jump,3320010221.0,Jump,path_grd_close_special_064,2120010121.0,Dash,2120010121.0,Dash,2220030121.0,Jump,3220020121.0,Jump,path_grd_mid_special_025,0.0,2220030121.0,Jump,2220030121.0,Jump,2220040121.0,Drop,3320040121.0,Drop,path_grd_close_small_042,1220050121.0,Dash,1220050121.0,Dash,1220050121.0,Dash,1220050121.0,Dash,27,30,0,10.0,8.0,path_grd_mid_small_012,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,1220010121.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009005,wave_campaign_normal_004,Campaign,90,5,True,False,point_grd_wasteland_003,point_fly_wasteland_003,sbg_wasteland_003,Wasteland,Day,ibg_wasteland_001,3310020121.0,path_grd_far_small_062,2220030121,Dash,2220030121.0,Dash,2220030121.0,Dash,2220030121.0,Dash,path_grd_mid_elite1_802,6.0,2220030121.0,Dash,2220030121.0,Dash,2220040121.0,Drop,3320060221.0,Drop,path_fly_mid_small_030,2210010121.0,Drop,2210010121.0,Drop,2210010121.0,Drop,2210010121.0,Drop,path_fly_mid_elite1_802,0.0,2210010121.0,Drop,2210010121.0,Drop,3210030121.0,Drop,3310020121.0,Drop,path_grd_far_special_063,2220030121.0,Jump,2220030121.0,Jump,2220030121.0,Jump,2220040121.0,Dash,0,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009006,wave_campaign_normal_004,Campaign,90,7,True,False,point_grd_wasteland_005,point_fly_wasteland_005,sbg_wasteland_005,Wasteland,Day,ibg_wasteland_001,1310020121.0,path_fly_close_special_044,2110010121,Drop,2110010121.0,Drop,2210030121.0,Drop,2210030121.0,Drop,path_grd_mid_elite2_805,10.0,2220030121.0,Dash,2220030121.0,Dash,2320050221.0,Drop,2320050221.0,Drop,path_fly_mid_small_053,2210020121.0,Dash,2210020121.0,Dash,2210020121.0,Dash,1210040121.0,Dash,path_fly_close_small_029,,2210020121.0,Jump,2210020121.0,Jump,2210020121.0,Jump,2210020121.0,Jump,path_fly_mid_elite1_802,2210020121.0,Dash,2210020121.0,Dash,3210030121.0,Drop,1310020121.0,Drop,36,24,0,,0.0,path_grd_close_elite1_801,2220030121.0,Jump,2220030121.0,Jump,2220040121.0,Drop,3320040221.0,Drop,path_fly_close_small_029,5.0,2210020121.0,Drop,2210020121.0,Drop,2210020121.0,Drop,2210020121.0,Drop,10.0,,,,,,,,,,,,,,,,,,,,,
6009007,wave_campaign_normal_004,Campaign,90,5,True,False,point_grd_wasteland_004,point_fly_wasteland_004,sbg_wasteland_004,Wasteland,Day,ibg_wasteland_001,3310010121.0,path_grd_mid_small_037,3220060121,Dash,3220060121.0,Dash,3220060121.0,Dash,1320040221.0,Dash,path_grd_far_small_041,4.0,3220060121.0,Dash,3220060121.0,Dash,3220060121.0,Dash,2220050121.0,Dash,path_fly_far_small_031,1210010121.0,Drop,1210010121.0,Drop,1210010121.0,Drop,1210010121.0,Drop,path_fly_mid_elite2_805,0.0,1210010121.0,Jump,1210010121.0,Jump,1210040121.0,Drop,3310010121.0,Drop,path_grd_far_small_044,3220060121.0,Dash,3220060121.0,Dash,3220060121.0,Dash,3220060121.0,Dash,0,15,18,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009008,wave_campaign_normal_004,Campaign,90,5,True,False,point_grd_wasteland_004,point_fly_wasteland_004,sbg_wasteland_004,Wasteland,Day,ibg_wasteland_001,1320030121.0,path_grd_close_elite1_801,2220030121,Dash,2220030121.0,Dash,2220040121.0,Drop,1320030221.0,Drop,path_grd_mid_small_043,7.0,2220030121.0,Dash,2220030121.0,Dash,2220030121.0,Dash,2220030121.0,Dash,path_fly_close_small_049,3210020121.0,Drop,3210020121.0,Drop,3210020121.0,Drop,1210040121.0,Drop,path_grd_mid_elite1_802,0.0,2220030121.0,Dash,2220030121.0,Dash,2220040121.0,Drop,1320030121.0,Drop,path_grd_close_small_054,2220030121.0,Drop,2220030121.0,Drop,2220030121.0,Drop,2220040121.0,Dash,21,15,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6009009,wave_campaign_normal_004,Campaign,90,7,True,False,point_grd_wasteland_001,point_fly_wasteland_001,sbg_wasteland_001,Wasteland,Day,ibg_wasteland_001,3320020121.0,path_grd_close_small_054,3220030121,Drop,3220030121.0,Drop,2220040121.0,Drop,2320030221.0,Drop,path_grd_mid_elite1_802,,3220030121.0,Dash,3220030121.0,Dash,3220070121.0,Drop,1320010221.0,Drop,path_fly_mid_special_047,2110010121.0,Dash,2110010121.0,Dash,2210010121.0,Drop,3210030121.0,Drop,path_grd_far_small_044,,3220030121.0,Dash,3220030121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,path_grd_mid_elite2_808,3220030121.0,Dash,3220030121.0,Dash,2320020221.0,Drop,3320020121.0,Drop,6,39,18,8.0,0.0,path_grd_mid_small_070,3220070121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,2220040121.0,Dash,path_grd_far_small_038,,3220030121.0,Dash,3220030121.0,Dash,3220030121.0,Dash,2220040121.0,Dash,,path_grd_far_small_044,3220070121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,,,,,,,,,,,,
6009010,wave_campaign_normal_004,Campaign,90,5,True,False,point_grd_wasteland_003,point_fly_wasteland_003,sbg_wasteland_003,Wasteland,Day,ibg_wasteland_001,1320010121.0,path_grd_mid_small_052,3220070121,Dash,3220070121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,path_fly_mid_small_033,6.0,3210010121.0,Drop,3210010121.0,Drop,3210010121.0,Drop,2310020221.0,Drop,path_grd_mid_small_070,3220060121.0,Drop,3220060121.0,Drop,3220060121.0,Drop,2220040121.0,Drop,path_grd_mid_small_043,7.0,3220070121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,3220070121.0,Dash,path_grd_mid_elite1_802,3220070121.0,Drop,3220070121.0,Drop,3220060121.0,Drop,1320010121.0,Drop,6,33,0,3.0,0.0,path_grd_close_small_072,3220050121.0,Dash,3220050121.0,Dash,3220050121.0,Dash,3220020121.0,Dash,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
