stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,close_monster_count,mid_monster_count,far_monster_count,mod_value,target_list/0,wave_data/0/wave_path,wave_data/0/private_monster_count,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type
6121001,wave_lostsector_005,Campaign,90,5,True,False,point_grd_lostsector_004,point_fly_lostsector_004,sbg_lostsector_004,lostsector,Day,ibg_lostsector_001,0,18,18,,3320020151.0,path_grd_mid_small_055,,path_grd_far_elite1_803,7.0,path_fly_mid_small_030,,path_grd_far_elite1_803,0.0,path_grd_mid_small_043,6.0,,,,,,,,,1220060151,Drop,1220060151,Drop,1220060151,Drop,2220040151,Drop,1220060151,Dash,1220060151,Dash,3220070151,Dash,1320010251,Dash,1210020151,Dash,1210020151,Dash,3210020151,Dash,3210020151,Dash,3220040151,Dash,3220040151,Dash,2220040151,Drop,3320020151,Drop,1220060151,Jump,1220060151,Jump,1220060151,Jump,3220020151,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6121002,wave_lostsector_005,Campaign,90,5,True,False,point_grd_lostsector_002,point_fly_lostsector_002,sbg_lostsector_002,lostsector,Day,ibg_lostsector_001,6,51,0,,2320050151.0,path_grd_mid_special_025,,path_fly_mid_small_030,10.0,path_grd_close_small_013,4.0,path_grd_mid_elite1_802,0.0,path_grd_mid_special_025,6.0,path_grd_mid_small_043,3.0,,,,,,,1120010151,Jump,1120010151,Jump,3220050151,Drop,2320050251,Drop,1210020151,Drop,1210020151,Drop,1210020151,Drop,3210040151,Drop,1220050151,Dash,1220050151,Dash,1220050151,Dash,1220050151,Dash,3220050151,Dash,3220050151,Dash,1220050151,Drop,3320080251,Drop,3120010151,Dash,3120010151,Dash,1220050151,Drop,2320050151,Dash,1220050151.0,Dash,1220050151.0,Dash,1220050151.0,Dash,2220040151.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,
6121003,wave_lostsector_005,Campaign,90,7,True,False,point_grd_lostsector_001,point_fly_lostsector_001,sbg_lostsector_001,lostsector,Day,ibg_lostsector_001,18,33,0,,3320030151.0,path_grd_close_small_042,,path_grd_close_small_067,4.0,path_grd_mid_elite1_802,12.0,path_fly_mid_elite1_802,0.0,path_grd_mid_elite2_808,10.0,path_grd_mid_small_043,10.0,path_grd_close_small_013,5.0,,,,,3220030151,Dash,3220030151,Dash,3220040151,Dash,3220040151,Dash,3220060151,Dash,3220060151,Dash,3220060151,Drop,2320020251,Drop,3220030151,Dash,3220030151,Dash,3220020151,Drop,3320030251,Drop,3210010151,Jump,3210010151,Jump,1210040151,Drop,3310030251,Drop,3220030151,Dash,3220030151,Dash,2320020251,Drop,3320030151,Drop,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,3220060151.0,Dash,3220040151.0,Dash,3220040151.0,Dash,3220040151.0,Dash,3220040151.0,Dash,,,,,,,,,,,,,,,,
6121004,wave_lostsector_005,Campaign,90,5,True,False,point_grd_lostsector_005,point_fly_lostsector_005,sbg_lostsector_005,lostsector,Day,ibg_lostsector_001,0,36,0,,2310050151.0,path_grd_mid_small_070,,path_fly_mid_elite2_808,7.0,path_grd_mid_small_058,7.0,path_fly_mid_elite1_802,0.0,path_grd_mid_small_040,6.0,,,,,,,,,1220010151,Dash,1220010151,Dash,1220010151,Jump,2220050151,Jump,1210010151,Dash,2210040151,Dash,1210010151,Dash,3210030151,Dash,3220030151,Dash,3220030151,Dash,3220030151,Dash,2220040151,Dash,2210020151,Dash,2210020151,Dash,1210010151,Drop,2310050151,Drop,2220020151,Dash,3220060151,Jump,2220020151,Dash,3220060151,Jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6121005,wave_lostsector_005,BaseDefense,60,6,True,True,point_grd_lostsector_004_midclear,point_fly_lostsector_004,sbg_lostsector_004_midclear,lostsector,Day,ibg_lostsector_basedefense_001,27,39,0,normal,,path_grd_close_small_042,,path_grd_close_small_051,,path_grd_mid_small_070,,path_grd_mid_special_025,3.0,path_fly_mid_small_030,10.0,path_grd_mid_small_070,8.0,path_grd_close_small_051,,path_grd_mid_small_075,5.0,path_grd_close_elite1_801,7.0,1220010151,Dash,1220010151,Dash,1220010151,Dash,1220010151,Dash,1220010151,Jump,1220050151,Jump,1220010151,Jump,1220050151,Jump,1220040151,Dash,1220040151,Dash,1220040151,Dash,1220050151,Drop,3120010151,Jump,3120010151,Jump,1220050151,Drop,1320030251,Drop,3210040151,Drop,3210040151,Drop,3210040151,Drop,3210040151,Drop,1220010151.0,Dash,1220010151.0,Dash,1220010151.0,Dash,2220040151.0,Jump,1220050151.0,Jump,1220050151.0,Jump,1220050151.0,Jump,1220050151.0,Jump,1220010151.0,Drop,1220010151.0,Drop,1220010151.0,Drop,2220040151.0,Drop,1220010151.0,Jump,1220010151.0,Jump,1220050151.0,Drop,1320030251.0,Drop
6121006,wave_lostsector_005,Campaign,90,7,True,False,point_grd_lostsector_002,point_fly_lostsector_002,sbg_lostsector_002,lostsector,Day,ibg_lostsector_001,33,24,0,,2320050151.0,path_grd_close_elite1_801,,path_grd_mid_small_055,5.0,path_fly_close_special_046,10.0,path_grd_mid_small_037,,path_grd_close_elite3_813,0.0,path_grd_mid_small_043,,path_grd_mid_small_070,8.0,,,,,1220060151,Dash,1220060151,Dash,2220040151,Drop,2320030251,Drop,1220060151,Drop,1220060151,Drop,1220060151,Drop,2320030251,Drop,2110010151,Dash,2110010151,Dash,3210040151,Drop,3210030151,Drop,1220060151,Dash,1220060151,Dash,1220060151,Dash,3220020151,Dash,1220060151,Drop,2320030251,Drop,2320030251,Drop,2320050151,Drop,1220060151.0,Dash,2220040151.0,Dash,1220060151.0,Dash,2220040151.0,Dash,1220060151.0,Dash,1220060151.0,Dash,1220060151.0,Dash,2220040151.0,Normal,,,,,,,,,,,,,,,,
6121007,wave_lostsector_005,Campaign,90,5,True,False,point_grd_lostsector_003,point_fly_lostsector_003,sbg_lostsector_003,lostsector,Day,ibg_lostsector_001,0,33,0,,3320030151.0,path_grd_mid_small_040,,path_fly_mid_small_005,7.0,path_fly_mid_small_050,7.0,path_fly_mid_elite1_802,0.0,path_grd_mid_small_043,7.0,,,,,,,,,1220060151,Dash,1220060151,Dash,1220060151,Dash,1220060151,Dash,1210020151,Dash,1210020151,Dash,1210020151,Dash,1210040151,Dash,1210030151,Dash,1210030151,Dash,1210030151,Dash,1210040151,Dash,3210010151,Dash,3210010151,Dash,1210010151,Drop,1310010251,Drop,2220030151,Jump,3220020151,Jump,2220030151,Jump,3320030151,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6121008,wave_lostsector_005,Campaign,90,5,True,False,point_grd_lostsector_005,point_fly_lostsector_005,sbg_lostsector_005,lostsector,Day,ibg_lostsector_001,30,18,0,,2320030151.0,path_grd_close_small_067,,path_grd_mid_small_012,,path_grd_mid_small_046,4.0,path_grd_close_elite1_801,0.0,path_grd_mid_small_043,6.0,path_grd_close_special_064,3.0,,,,,,,3220030151,Dash,3220030151,Dash,3220030151,Drop,2320020251,Drop,3220030151,Dash,3220030151,Dash,1220050151,Dash,1220050151,Dash,1220050151,Drop,1220050151,Drop,1220050151,Drop,1220050151,Drop,2120010151,Jump,2120010151,Jump,2220040151,Drop,3320050251,Drop,1220050151,Dash,1220050151,Dash,1220050151,Dash,2320030151,Dash,2120010151.0,Dash,2120010151.0,Dash,1220050151.0,Drop,1220050151.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,
6121009,wave_lostsector_005,Campaign,90,7,True,False,point_grd_lostsector_001,point_fly_lostsector_001,sbg_lostsector_001,lostsector,Day,ibg_lostsector_001,18,39,0,,3320080151.0,path_grd_close_small_045,,path_fly_mid_small_050,,path_grd_mid_elite2_808,,path_fly_mid_small_036,10.0,path_fly_mid_elite2_808,0.0,path_fly_mid_elite2_805,10.0,path_grd_close_small_042,,path_fly_close_small_049,,,,2220010151,Dash,2220010151,Dash,2220020151,Dash,2220020151,Dash,1210020151,Dash,1210020151,Dash,1210020151,Dash,3210030151,Drop,2220020151,Dash,2220020151,Dash,2320020251,Drop,3320080251,Drop,1210030151,Dash,1210030151,Dash,1210030151,Dash,1210030151,Dash,1210030151,Dash,1210030151,Dash,1310030251,Dash,1310030251,Dash,1210020151.0,Dash,1210020151.0,Dash,1310010251.0,Drop,3320080151.0,Drop,2220010151.0,Jump,2220050151.0,Jump,2220010151.0,Jump,2220050151.0,Jump,1210020151.0,Dash,1210020151.0,Dash,1210020151.0,Dash,3210030151.0,Drop,,,,,,,,
6121010,wave_lostsector_005,Defense,90,7,True,True,point_grd_lostsector_002_rightclear,point_fly_lostsector_002_rightclear,sbg_lostsector_002_rightclear,lostsector,Day,ibg_lostsector_defense_001,36,39,0,20,,path_grd_close_small_036,,path_grd_mid_small_005,8.0,path_grd_close_special_024,,path_grd_close_small_067,4.0,path_grd_mid_special_025,12.0,path_grd_mid_small_037,10.0,path_grd_mid_small_076,10.0,path_grd_close_elite1_801,,path_grd_mid_small_043,15.0,1220060151,Normal,1220060151,Normal,1220060151,Normal,1220060151,Normal,3220050151,Jump,3220050151,Jump,3220050151,Jump,3220020151,Jump,2120010151,Drop,2120010151,Drop,3220050151,Dash,3220050151,Dash,3220050151,Drop,3220050151,Drop,2220050151,Drop,2320020251,Drop,2120010151,Drop,2120010151,Drop,1220060151,Normal,1220060151,Normal,3220050151.0,Dash,3220050151.0,Dash,3220050151.0,Dash,3220020151.0,Dash,1220060151.0,Normal,3220020151.0,Dash,1220060151.0,Normal,2220050151.0,Dash,3220050151.0,Dash,3220050151.0,Dash,3220020151.0,Drop,2320020251.0,Drop,1220060151.0,Normal,1220060151.0,Normal,1220060151.0,Normal,2320010251.0,Drop
