stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,mod_value,wave_data/6/wave_path,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_path,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/8/private_monster_count,wave_data/6/private_monster_count,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6210551,wave_tower_default_007,Campaign,90,5,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Day,ibg_tower_001,3320010111.0,path_grd_mid_small_002,3220050111,Dash,3220050111.0,Dash,3220050111.0,Drop,3220050111.0,Drop,path_grd_mid_special_025,6.0,3220040111.0,Drop,2120010111.0,Drop,2120010111.0,Drop,3320010211.0,Drop,path_fly_mid_small_024,6.0,3210010111.0,Drop,3210010111.0,Drop,3210010111.0,Drop,3210030111.0,Drop,path_grd_mid_elite1_802,0.0,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Drop,3320010111.0,Drop,path_grd_close_small_072,8.0,2220020111.0,Dash,2220020111.0,Dash,2220020111.0,Dash,2220040111.0,Dash,6,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210552,wave_tower_default_007,Campaign,90,5,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Day,ibg_tower_001,3320060111.0,path_grd_mid_small_002,2220020111,Drop,2220020111.0,Drop,1220050111.0,Dash,1220050111.0,Dash,path_grd_close_elite1_801,7.0,2220020111.0,Dash,2220020111.0,Dash,1220050111.0,Drop,3320060211.0,Drop,path_fly_mid_small_050,,1210040111.0,Dash,1210040111.0,Dash,1210040111.0,Dash,3210040111.0,Drop,path_grd_close_small_048,,1220050111.0,Jump,1220050111.0,Jump,1220050111.0,Jump,1220050111.0,Jump,path_grd_mid_elite1_802,0.0,2220020111.0,Dash,2220020111.0,Dash,2220040111.0,Drop,3320060111.0,Drop,21,21,0,path_grd_close_small_051,6.0,1220050111.0,Jump,1220050111.0,Jump,1220050111.0,Jump,1220050111.0,Jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210553,wave_tower_default_007,Campaign,90,5,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Day,ibg_tower_001,2320060111.0,path_grd_mid_small_049,3220050111,Drop,3220050111.0,Drop,3220050111.0,Drop,3220050111.0,Drop,path_fly_mid_special_016,7.0,2210020111.0,Jump,2110010111.0,Jump,2110010111.0,Jump,1310010211.0,Jump,path_grd_close_small_051,6.0,1220040111.0,Dash,1220040111.0,Dash,1220040111.0,Dash,1220040111.0,Dash,path_fly_mid_small_050,0.0,1210020111.0,Jump,1210040111.0,Jump,1210020111.0,Dash,1210040111.0,Drop,path_grd_close_elite1_801,7.0,3220030111.0,Jump,3220030111.0,Jump,3220030111.0,Dash,2320060111.0,Drop,21,27,0,path_grd_close_small_001,,3220040111.0,Jump,3220040111.0,Jump,3220040111.0,Jump,3220040111.0,Jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210554,wave_tower_default_007,Campaign,90,7,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Day,ibg_tower_001,1320020111.0,path_grd_mid_small_070,3220040111,Dash,3220040111.0,Dash,3220040111.0,Dash,2220040111.0,Normal,path_fly_mid_elite1_802,6.0,2210010111.0,Drop,2210010111.0,Drop,3310050211.0,Drop,3310040211.0,Drop,path_grd_mid_small_034,10.0,3220040111.0,Drop,3220040111.0,Drop,3220040111.0,Drop,1320020211.0,Drop,path_fly_mid_small_050,0.0,2210010111.0,Drop,2210010111.0,Drop,2210010111.0,Drop,3310040211.0,Drop,path_grd_mid_elite2_808,,3220040111.0,Drop,3220040111.0,Drop,3220040111.0,Drop,1320020111.0,Drop,0,42,0,path_fly_mid_small_050,,2210010111.0,Drop,2210010111.0,Drop,3210030111.0,Drop,3310050211.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210555,wave_tower_default_007,Defense,90,7,True,True,point_grd_tower_002_rightclear,point_fly_tower_002_rightclear,sbg_tower_002_rightclear,Tower,Day,ibg_tower_defense_001,,path_grd_close_elite1_801,3220050111,Dash,1120010111.0,Dash,2220050111.0,Drop,2320050211.0,Drop,path_fly_mid_small_005,12.0,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,path_grd_close_small_048,,3220050111.0,Dash,3220020111.0,Jump,1120010111.0,Dash,3220020111.0,Jump,path_grd_far_small_033,,3220050111.0,Jump,1120010111.0,Jump,3220050111.0,Jump,3220020111.0,Dash,path_grd_mid_elite2_805,3.0,3220050111.0,Jump,1120010111.0,Dash,3320010211.0,Jump,3320010111.0,Normal,15,36,21,path_fly_mid_small_005,,2210020111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,2310030211.0,Drop,20,path_grd_far_special_063,1120010111.0,Jump,1120010111.0,Jump,3220050111.0,Dash,2220040111.0,Dash,path_grd_mid_small_075,10.0,3220050111.0,Dash,3220050111.0,Dash,1120010111.0,Dash,1120010111.0,Dash,path_grd_mid_elite2_805,3220050111.0,Dash,3220020111.0,Drop,2320010211.0,Dash,2320010211.0,Jump,,,,,,,,,,,,
6210556,wave_tower_default_007,Campaign,90,7,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Day,ibg_tower_001,2310010111.0,path_grd_mid_small_043,3220050111,Dash,3220050111.0,Dash,3220060111.0,Dash,3220060111.0,Dash,path_fly_mid_small_033,,2210020111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,2310060211.0,Drop,path_fly_mid_elite1_802,10.0,2210020111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,2310010211.0,Drop,path_grd_mid_elite1_802,0.0,3220050111.0,Dash,3220050111.0,Dash,3220060111.0,Drop,2320070211.0,Drop,path_fly_mid_elite2_805,10.0,2210020111.0,Drop,2210020111.0,Drop,2310060211.0,Drop,2310010111.0,Drop,0,45,0,path_fly_mid_small_024,,2210020111.0,Drop,2210020111.0,Dash,1210010111.0,Dash,1210010111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210557,wave_tower_default_007,Campaign,90,7,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Day,ibg_tower_001,3320040111.0,path_grd_far_small_053,1220060111,Dash,1220060111.0,Dash,1220060111.0,Dash,3220020111.0,Dash,path_grd_mid_elite1_802,6.0,3220050111.0,Jump,3220050111.0,Jump,2220050111.0,Drop,3320040211.0,Drop,path_fly_mid_small_050,,2210010111.0,Drop,2210010111.0,Drop,2210010111.0,Drop,1210040111.0,Drop,path_grd_mid_elite2_808,0.0,3220050111.0,Jump,3220050111.0,Jump,3320040211.0,Drop,3320040111.0,Drop,path_fly_mid_special_016,6.0,2210010111.0,Drop,2110010111.0,Drop,2210010111.0,Drop,1210040111.0,Drop,0,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6210558,wave_tower_default_007,Campaign,90,7,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Day,ibg_tower_001,1320030111.0,path_grd_mid_small_049,2220020111,Jump,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,path_grd_mid_elite2_808,,2220020111.0,Drop,1220050111.0,Drop,2320010211.0,Drop,1320030211.0,Drop,path_fly_mid_small_002,,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210050111.0,Dash,path_grd_mid_small_043,,1220050111.0,Dash,2220020111.0,Dash,1220050111.0,Dash,2220020111.0,Dash,path_grd_mid_elite2_808,0.0,2220020111.0,Dash,1220050111.0,Dash,2320010211.0,Drop,1320030111.0,Drop,0,54,0,path_fly_mid_small_005,,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210050111.0,Dash,,path_fly_mid_small_008,3210040111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210040111.0,Dash,path_grd_mid_small_043,,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,,,,,,,,,,,,,,,,,,,,,
6210559,wave_tower_default_007,Defense,90,7,True,True,point_grd_tower_002_rightclear,point_fly_tower_002_rightclear,sbg_tower_002_rightclear,Tower,Day,ibg_tower_defense_001,,path_fly_close_elite1_801,1210030111,Dash,1210030111.0,Dash,3210030111.0,Drop,2310010211.0,Drop,path_fly_mid_small_005,12.0,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,path_grd_mid_special_025,,3120010111.0,Jump,3120010111.0,Jump,3220050111.0,Dash,2220040111.0,Dash,path_grd_far_small_044,14.0,3220050111.0,Dash,3220070111.0,Dash,3220050111.0,Dash,3220070111.0,Dash,path_grd_mid_elite2_808,3.0,3220050111.0,Dash,3220070111.0,Drop,1320030211.0,Drop,2320070111.0,Normal,9,54,12,path_fly_mid_elite1_802,,2110010111.0,Jump,2110010111.0,Jump,1210030111.0,Drop,2310030211.0,Drop,20,path_grd_far_small_041,3220070111.0,Dash,3220070111.0,Dash,3220070111.0,Dash,2220040111.0,Dash,path_grd_mid_small_076,10.0,3220050111.0,Dash,3220050111.0,Dash,2220040111.0,Dash,2320040211.0,Normal,path_fly_mid_elite2_808,1210030111.0,Dash,1210030111.0,Dash,2310010211.0,Dash,2310010211.0,Drop,12.0,,,,,,,,,,,
6210560,wave_tower_default_007,Campaign,180,5,False,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003_midclear,lostsector,Twilight,ibg_tower_001,1421010111.0,path_grd_mid_centurion_902,1421010111,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
