stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/6/wave_path,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,mod_value,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6017001,wave_campaign_normal_007,Campaign,90,5,True,False,point_grd_iceland_003,point_fly_iceland_003,sbg_iceland_003,IceLand,Day,ibg_iceland_001,3320060141.0,path_grd_close_small_007,2220020141,Drop,2220020141.0,Drop,1220050141.0,Drop,1320030241.0,Drop,path_fly_mid_small_036,4.0,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,path_fly_close_special_044,6.0,3210040141.0,Drop,3210040141.0,Drop,3210010141.0,Drop,3210030141.0,Drop,path_grd_mid_elite1_802,0.0,2120010141.0,Dash,2120010141.0,Dash,1220050141.0,Drop,3320060141.0,Drop,path_fly_close_special_046,6.0,2110010141.0,Dash,2110010141.0,Dash,3210040141.0,Drop,3210040141.0,Drop,path_fly_close_small_035,3.0,3210040141.0,Dash,3210040141.0,Dash,3210040141.0,Dash,3210040141.0,Dash,42,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017002,wave_campaign_normal_007,Campaign,90,5,True,False,point_grd_iceland_007,point_fly_iceland_007,sbg_iceland_007,IceLand,Day,ibg_iceland_001,3320050141.0,path_grd_close_small_067,3220030141,Dash,3220030141.0,Dash,3220030141.0,Drop,2320020241.0,Drop,path_grd_mid_small_012,,3220030141.0,Dash,3220030141.0,Dash,1220050141.0,Dash,1220050141.0,Dash,path_grd_mid_small_046,4.0,1220050141.0,Drop,1220050141.0,Drop,1220050141.0,Drop,1220050141.0,Drop,path_grd_close_elite1_801,0.0,2120010141.0,Jump,2120010141.0,Jump,2220040141.0,Drop,3320050141.0,Drop,path_grd_mid_small_043,6.0,1220050141.0,Dash,1220050141.0,Dash,1220050141.0,Dash,1220050141.0,Dash,path_grd_close_special_064,3.0,2120010141.0,Dash,2120010141.0,Dash,1220050141.0,Drop,1220050141.0,Drop,30,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017003,wave_campaign_normal_007,Campaign,90,7,True,False,point_grd_iceland_007,point_fly_iceland_007,sbg_iceland_007,IceLand,Day,ibg_iceland_001,2310020141.0,path_fly_mid_elite1_802,3210020141,Dash,3210020141.0,Dash,3210010141.0,Drop,2310020241.0,Drop,path_grd_mid_elite1_802,10.0,3220060141.0,Dash,3220060141.0,Dash,2220040141.0,Drop,3320060241.0,Drop,path_fly_far_small_025,,3210010141.0,Drop,3210010141.0,Drop,3210010141.0,Drop,3210010141.0,Drop,path_fly_mid_small_036,10.0,3210020141.0,Dash,3210020141.0,Dash,3210020141.0,Dash,3210020141.0,Dash,path_fly_mid_elite2_805,0.0,3210010141.0,Jump,3210010141.0,Jump,2310020241.0,Drop,2310020141.0,Drop,path_grd_far_small_074,,3220060141.0,Dash,3220060141.0,Dash,3220060141.0,Dash,2220040141.0,Dash,0,48,12,path_fly_mid_special_047,3110010141.0,Dash,3110010141.0,Dash,3210020141.0,Drop,3210020141.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017004,wave_campaign_normal_007,Campaign,90,5,True,False,point_grd_iceland_001,point_fly_iceland_001,sbg_iceland_001,IceLand,Day,ibg_iceland_001,2320060141.0,path_grd_mid_small_070,3220050141,Dash,3220050141.0,Dash,3220050141.0,Dash,2220050141.0,Dash,path_fly_mid_small_039,,1210020141.0,Dash,1210020141.0,Dash,1210040141.0,Dash,1310010241.0,Dash,path_grd_mid_small_034,7.0,3220050141.0,Drop,3220050141.0,Drop,3220050141.0,Drop,2220050141.0,Dash,path_grd_mid_small_068,0.0,3220050141.0,Dash,3220050141.0,Dash,2220050141.0,Drop,2320060141.0,Drop,path_grd_mid_small_037,10.0,3220050141.0,Dash,3220050141.0,Dash,3220050141.0,Dash,2220050141.0,Normal,,,,,,,,,,,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017005,wave_campaign_normal_007,Campaign,90,5,True,False,point_grd_iceland_002,point_fly_iceland_002,sbg_iceland_002,IceLand,Day,ibg_iceland_001,3310020141.0,path_grd_far_small_062,2220030141,Dash,2220030141.0,Dash,2220030141.0,Dash,2220030141.0,Dash,path_grd_mid_elite1_802,7.0,2220030141.0,Dash,2220030141.0,Dash,2220040141.0,Drop,3320060241.0,Drop,path_fly_mid_small_030,,2210010141.0,Drop,2210010141.0,Drop,2210010141.0,Drop,2210010141.0,Drop,path_fly_mid_elite1_802,0.0,2210010141.0,Drop,2210010141.0,Drop,3210030141.0,Drop,3310020141.0,Drop,path_grd_far_special_063,6.0,2220030141.0,Jump,2220030141.0,Jump,2220030141.0,Jump,2220040141.0,Dash,,,,,,,,,,,0,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017006,wave_campaign_normal_007,Campaign,90,7,True,False,point_grd_iceland_004,point_fly_iceland_004,sbg_iceland_004,IceLand,Day,ibg_iceland_001,1310020141.0,path_fly_close_special_044,2110010141,Drop,2110010141.0,Drop,2210030141.0,Drop,2210030141.0,Drop,path_grd_mid_elite2_805,10.0,2220030141.0,Dash,2220030141.0,Dash,2320050241.0,Drop,2320050241.0,Drop,path_fly_mid_small_053,,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,1210040141.0,Dash,path_fly_close_small_029,,2210020141.0,Jump,2210020141.0,Jump,2210020141.0,Jump,2210020141.0,Jump,path_fly_mid_elite1_802,0.0,2210020141.0,Dash,2210020141.0,Dash,3210030141.0,Drop,1310020141.0,Drop,path_grd_close_elite1_801,10.0,2220030141.0,Jump,2220030141.0,Jump,2220040141.0,Drop,3320040241.0,Drop,36,24,0,path_fly_close_small_029,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017007,wave_campaign_normal_007,Campaign,90,5,True,False,point_grd_iceland_005,point_fly_iceland_005,sbg_iceland_005,IceLand,Day,ibg_iceland_001,3320040141.0,path_grd_close_small_042,1220010141,Dash,1220010141.0,Dash,1220010141.0,Dash,1220010141.0,Dash,path_grd_mid_elite1_802,6.0,1220010141.0,Jump,1220010141.0,Jump,3220020141.0,Drop,3320010241.0,Drop,path_grd_close_special_064,7.0,1220010141.0,Dash,1220010141.0,Dash,1220050141.0,Drop,1220050141.0,Drop,path_grd_mid_special_025,0.0,1220010141.0,Jump,1220010141.0,Jump,2220040141.0,Drop,3320040141.0,Drop,path_grd_close_small_042,8.0,1220050141.0,Dash,1220050141.0,Dash,1220050141.0,Dash,1220050141.0,Dash,path_grd_mid_small_012,,1220010141.0,Dash,1220010141.0,Dash,1220010141.0,Dash,1220010141.0,Dash,27,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017008,wave_campaign_normal_007,Campaign,90,5,True,False,point_grd_iceland_003,point_fly_iceland_003,sbg_iceland_003,IceLand,Day,ibg_iceland_001,2320030141.0,path_grd_close_elite1_801,1220040141,Jump,1220040141.0,Jump,1220050141.0,Drop,2320030241.0,Drop,path_grd_close_small_013,7.0,1220040141.0,Dash,1220050141.0,Dash,1220040141.0,Dash,1220050141.0,Dash,path_grd_mid_small_049,6.0,1220040141.0,Drop,1220050141.0,Drop,1220040141.0,Drop,2220040141.0,Drop,path_fly_close_small_041,7.0,1110010141.0,Drop,1110010141.0,Drop,3210040141.0,Drop,3210040141.0,Drop,path_grd_mid_small_055,0.0,1220040141.0,Drop,1220040141.0,Drop,3220020141.0,Drop,2320030141.0,Drop,path_grd_close_small_042,4.0,1220050141.0,Dash,1220050141.0,Dash,1220050141.0,Dash,1220050141.0,Dash,27,18,0,path_fly_mid_small_030,3210040141.0,Drop,3210040141.0,Drop,3210040141.0,Drop,3210040141.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017009,wave_campaign_normal_007,Campaign,90,7,True,False,point_grd_iceland_004,point_fly_iceland_004,sbg_iceland_004,IceLand,Day,ibg_iceland_001,1320030141.0,path_grd_mid_small_052,3220030141,Dash,3220030141.0,Dash,3220030141.0,Dash,3220030141.0,Dash,path_fly_mid_elite2_808,3.0,2210020141.0,Dash,2210020141.0,Dash,2310010241.0,Dash,2310010241.0,Dash,path_fly_far_small_051,10.0,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,3210030141.0,Dash,path_grd_close_special_024,,3120010141.0,Jump,3120010141.0,Jump,3220030141.0,Drop,2220040141.0,Drop,path_grd_far_elite2_806,0.0,3220030141.0,Dash,3220030141.0,Dash,2320070241.0,Dash,2320070241.0,Dash,path_grd_mid_small_049,10.0,3220030141.0,Drop,3220030141.0,Drop,3220030141.0,Drop,1320030141.0,Drop,30,27,9,path_fly_close_special_046,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Drop,3210030141.0,Drop,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6017010,wave_campaign_normal_007,Campaign,90,5,True,False,point_grd_iceland_006,point_fly_iceland_006,sbg_iceland_006,IceLand,Day,ibg_iceland_001,2310010141.0,path_grd_mid_special_065,3120010141,Dash,3120010141.0,Dash,2220020141.0,Drop,2320070241.0,Drop,path_grd_far_small_074,12.0,2220020141.0,Dash,2220020141.0,Dash,2220020141.0,Dash,2220040141.0,Dash,path_fly_mid_small_005,,3210010141.0,Dash,3210010141.0,Dash,3210010141.0,Dash,3210010141.0,Dash,path_fly_mid_elite1_802,0.0,3210010141.0,Dash,3210010141.0,Dash,3210030141.0,Drop,2310010141.0,Drop,path_grd_far_small_071,7.0,2220020141.0,Dash,2220020141.0,Dash,2220020141.0,Dash,2220040141.0,Jump,,,,,,,,,,,0,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
