stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,mod_value,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/7/private_monster_count
6230651,wave_tower_missilis_008,Campaign,90,5,True,False,point_grd_tower_004,point_fly_tower_004,sbg_tower_004,Tower,Missilis,ibg_tower_001,1310030111.0,path_fly_mid_small_018,2210020111,Dash,2210020111.0,Dash,2210020111.0,Drop,2210020111.0,Drop,path_fly_mid_special_047,6.0,3210010111.0,Dash,2110010111.0,Dash,2110010111.0,Dash,1310020211.0,Dash,path_grd_close_small_004,6.0,3220040111.0,Drop,3220040111.0,Drop,3220040111.0,Drop,3220040111.0,Drop,path_fly_mid_elite1_802,0.0,2210020111.0,Drop,2210020111.0,Drop,2210020111.0,Drop,1310030111.0,Drop,path_fly_mid_small_024,7.0,3210010111.0,Jump,3210010111.0,Jump,3210010111.0,Jump,1210040111.0,Jump,6,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230652,wave_tower_missilis_008,BaseDefense,60,6,True,True,point_grd_tower_003_midclear,point_fly_tower_003,sbg_tower_003_midclear,Tower,Missilis,ibg_tower_basedefense_001,,path_grd_mid_small_043,2220010111,Dash,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,path_fly_mid_small_050,,3210040111.0,Drop,3210050111.0,Drop,3210040111.0,Drop,3210030111.0,Normal,path_grd_mid_small_070,,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,2220040111.0,Dash,path_grd_mid_elite2_805,3.0,2220010111.0,Drop,2220010111.0,Drop,1220050111.0,Drop,3320010211.0,Drop,path_grd_mid_small_034,10.0,2220010111.0,Drop,2220010111.0,Drop,1220050111.0,Drop,3320010211.0,Drop,0,54,0,normal,path_fly_mid_small_050,10.0,3210040111.0,Drop,3210050111.0,Drop,3210040111.0,Drop,3210030111.0,Normal,path_grd_mid_small_076,4.0,2220010111.0,Drop,2220010111.0,Drop,2220010111.0,Drop,2220010111.0,Drop,path_grd_mid_elite2_805,2220010111.0,Drop,1220050111.0,Drop,3320010211.0,Drop,3320010211.0,Drop,,,,,,,,,,,
6230653,wave_tower_missilis_008,Campaign,90,7,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Missilis,ibg_tower_001,1310020111.0,path_grd_mid_small_002,2220010111,Dash,2220010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,path_fly_mid_elite2_805,5.0,1210030111.0,Dash,1110010111.0,Dash,1310020211.0,Drop,1310010211.0,Drop,path_fly_mid_special_047,12.0,1210030111.0,Dash,2110010111.0,Dash,1210050111.0,Drop,1210050111.0,Drop,path_fly_mid_elite1_802,0.0,1210030111.0,Dash,1210030111.0,Dash,1210050111.0,Drop,1310010211.0,Drop,path_fly_mid_special_047,10.0,1210030111.0,Dash,2110010111.0,Dash,1210050111.0,Dash,1310020111.0,Dash,0,69,0,,path_grd_mid_elite2_805,,2220010111.0,Dash,2120010111.0,Dash,2220010111.0,Dash,2220010111.0,Dash,path_fly_mid_small_002,8.0,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,1210030111.0,Dash,,,,,,,,,,,,,,,,,,,,
6230654,wave_tower_missilis_008,Campaign,90,7,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Missilis,ibg_tower_001,2310040111.0,path_grd_mid_small_002,2220030111,Dash,2220030111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,path_fly_mid_elite2_808,5.0,3210020111.0,Dash,3210020111.0,Dash,1310030211.0,Drop,2310040211.0,Drop,path_grd_mid_small_043,10.0,2220030111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,path_fly_mid_elite2_808,0.0,3210020111.0,Dash,3210020111.0,Dash,2310040211.0,Drop,2310040111.0,Drop,path_grd_mid_small_037,10.0,2220030111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,0,42,0,,path_grd_mid_small_040,,2220030111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,2220030111.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230655,wave_tower_missilis_008,Defense,90,8,True,True,point_grd_tower_002_rightclear,point_fly_tower_002_rightclear,sbg_tower_002_rightclear,Tower,Missilis,ibg_tower_defense_001,,path_fly_mid_small_050,2210020111,Dash,2210020111.0,Dash,3210050111.0,Dash,3210030111.0,Normal,path_fly_mid_small_027,10.0,2210020111.0,Dash,2210020111.0,Dash,1210040111.0,Normal,3310050211.0,Dash,path_grd_mid_small_043,,3220050111.0,Dash,3220050111.0,Dash,1220050111.0,Drop,3220050111.0,Dash,path_fly_mid_small_036,,3210050111.0,Dash,2210020111.0,Dash,2210020111.0,Dash,2210030111.0,Normal,path_fly_mid_elite2_808,5.0,2210020111.0,Dash,2210020111.0,Dash,3310050211.0,Drop,3310050111.0,Drop,0,60,0,20,path_fly_mid_small_050,8.0,2210020111.0,Dash,2210020111.0,Dash,3210050111.0,Dash,3210030111.0,Normal,path_grd_mid_small_043,,3220050111.0,Dash,3220050111.0,Dash,1220050111.0,Drop,3220050111.0,Dash,path_fly_mid_small_039,2210020111.0,Dash,3210040111.0,Dash,3210030111.0,Drop,2210030111.0,Normal,path_fly_mid_elite2_808,10.0,2210020111.0,Dash,2210020111.0,Dash,3310050211.0,Drop,3310050211.0,Drop,
6230656,wave_tower_missilis_008,Campaign,90,7,True,False,point_grd_tower_005,point_fly_tower_005,sbg_tower_005,Tower,Missilis,ibg_tower_001,3320020111.0,path_grd_mid_small_002,3220050111,Dash,3220050111.0,Dash,3220050111.0,Dash,3220050111.0,Dash,path_grd_mid_elite1_802,5.0,3220050111.0,Dash,3220050111.0,Dash,3220070111.0,Drop,3320050211.0,Drop,path_grd_far_small_044,8.0,3220070111.0,Drop,3220070111.0,Drop,3220070111.0,Drop,3220070111.0,Drop,path_grd_far_elite2_809,0.0,1120010111.0,Drop,3220050111.0,Drop,3320050211.0,Drop,3320020111.0,Drop,path_grd_mid_small_043,8.0,3220050111.0,Drop,3220070111.0,Drop,3220050111.0,Drop,3220070111.0,Drop,0,21,21,,path_grd_far_small_044,8.0,3220070111.0,Drop,3220050111.0,Drop,3220070111.0,Drop,3220050111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230657,wave_tower_missilis_008,Campaign,90,7,True,False,point_grd_tower_001,point_fly_tower_001,sbg_tower_001,Tower,Missilis,ibg_tower_001,3310040111.0,path_grd_mid_small_043,2220020111,Jump,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,path_fly_far_elite1_803,5.0,1210030111.0,Drop,1210030111.0,Drop,1210010111.0,Drop,3310040211.0,Drop,path_grd_mid_small_034,8.0,2220020111.0,Dash,2220020111.0,Dash,2220020111.0,Dash,2320030211.0,Dash,path_fly_far_elite1_803,0.0,1210030111.0,Drop,1210030111.0,Drop,1210010111.0,Drop,3310040111.0,Drop,path_grd_mid_small_034,10.0,2220020111.0,Dash,2220020111.0,Dash,2220020111.0,Dash,2320030211.0,Dash,0,24,18,,path_fly_mid_small_024,,1210030111.0,Drop,1210030111.0,Drop,1210010111.0,Drop,1210010111.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230658,wave_tower_missilis_008,Campaign,90,7,True,False,point_grd_tower_003,point_fly_tower_003,sbg_tower_003,Tower,Missilis,ibg_tower_001,1320030111.0,path_grd_mid_small_049,2220020111,Jump,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,path_grd_mid_elite2_808,,2220020111.0,Drop,1220050111.0,Drop,2320010211.0,Drop,1320030211.0,Drop,path_fly_mid_small_002,,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210050111.0,Dash,path_grd_mid_small_043,,1220050111.0,Dash,2220020111.0,Dash,1220050111.0,Dash,2220020111.0,Dash,path_grd_mid_elite2_808,0.0,2220020111.0,Dash,1220050111.0,Dash,2320010211.0,Drop,1320030111.0,Drop,0,54,0,,path_fly_mid_small_005,,1210020111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210050111.0,Dash,path_fly_mid_small_008,,3210040111.0,Dash,1210020111.0,Dash,1210020111.0,Dash,3210040111.0,Dash,path_grd_mid_small_043,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,2220020111.0,Jump,,,,,,,,,,,
6230659,wave_tower_missilis_008,Campaign,90,7,True,False,point_grd_tower_002,point_fly_tower_002,sbg_tower_002,Tower,Missilis,ibg_tower_001,3310040111.0,path_grd_mid_small_055,1220030111,Jump,2220040111.0,Jump,1220030111.0,Jump,2220040111.0,Jump,path_fly_far_elite2_806,5.0,3210020111.0,Dash,1210050111.0,Dash,3310040211.0,Drop,3310040211.0,Drop,path_grd_far_small_044,10.0,3220070111.0,Dash,3220070111.0,Dash,3220070111.0,Dash,2220040111.0,Dash,path_fly_mid_small_002,,1210050111.0,Drop,2210010111.0,Jump,1210050111.0,Drop,2210010111.0,Jump,path_grd_far_small_050,0.0,3220070111.0,Drop,3220070111.0,Drop,1220030111.0,Drop,1220030111.0,Drop,0,27,33,,path_fly_mid_elite2_805,,3210020111.0,Dash,1210050111.0,Dash,1310010211.0,Drop,3310040111.0,Drop,path_grd_far_small_056,8.0,3220070111.0,Drop,3220070111.0,Drop,3220070111.0,Drop,3220070111.0,Drop,path_fly_mid_small_021,1210050111.0,Drop,3210030111.0,Dash,1210050111.0,Drop,3310040211.0,Drop,path_grd_far_small_006,,3220070111.0,Jump,3220070111.0,Jump,1220030111.0,Jump,1220030111.0,Jump,
6230660,wave_tower_missilis_008,Campaign,180,6,False,False,point_grd_talkertive_01,point_fly_talkertive_01,sbg_iceland_b_001,IceLand,Day,ibg_iceland_001,1520020111.0,b_grd_talkertive_01,1520020111,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
