stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,wave_data/5/wave_path,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/2/private_monster_count,wave_data/5/private_monster_count,wave_data/4/private_monster_count,wave_data/6/wave_path,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,mod_value,wave_data/6/private_monster_count,wave_data/7/wave_path,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/7/private_monster_count,wave_data/9/wave_path,wave_data/9/private_monster_count,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6035001,wave_campaign_normal_016,Campaign,90,5,True,False,point_grd_swamplandjungle_003,point_fly_swamplandjungle_003,sbg_swamplandjungle_003,SwamplandJungle,Day,ibg_swamplandjungle_001,3310050141.0,path_grd_close_small_001,3220030141,Jump,3220030141.0,Jump,3220030141.0,Dash,2220040141.0,Dash,path_fly_mid_elite1_802,7.0,3210010141.0,Dash,3210010141.0,Dash,3210010141.0,Dash,3310050241.0,Dash,path_grd_close_small_051,2220010141.0,Dash,2220010141.0,Dash,2220040141.0,Dash,2220010141.0,Dash,path_fly_mid_elite1_802,0.0,1210010141.0,Dash,1210010141.0,Dash,3210030141.0,Drop,3310050141.0,Drop,path_grd_close_small_042,3220050141.0,Dash,3220050141.0,Dash,3220050141.0,Dash,2220040141.0,Dash,path_grd_mid_special_025,3120010141.0,Jump,3120010141.0,Jump,3120010141.0,Drop,3120010141.0,Drop,18,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6035002,wave_campaign_normal_016,Campaign,90,5,True,False,point_grd_swamplandjungle_001,point_fly_swamplandjungle_001,sbg_swamplandjungle_001,SwamplandJungle,Day,ibg_swamplandjungle_001,3320070141.0,path_grd_mid_small_073,2220030141,Drop,2220030141.0,Drop,2220030141.0,Drop,3220090141.0,Drop,path_fly_mid_elite1_802,,3210020141.0,Dash,1110010141.0,Dash,1210040141.0,Drop,1310030241.0,Drop,path_fly_mid_small_050,3210020141.0,Dash,3210020141.0,Dash,3210020141.0,Dash,1210040141.0,Dash,path_fly_mid_small_050,0.0,3210020141.0,Drop,3210020141.0,Drop,3210020141.0,Drop,1310010241.0,Drop,path_grd_mid_elite2_808,2220030141.0,Drop,2120010141.0,Drop,3220090141.0,Drop,3320070141.0,Drop,path_grd_close_small_014,3220090141.0,Drop,2220030141.0,Drop,2220030141.0,Drop,2220030141.0,Drop,6,36,0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6035003,wave_campaign_normal_016,Campaign,90,7,True,False,point_grd_swamplandjungle_005,point_fly_swamplandjungle_005,sbg_swamplandjungle_005,SwamplandJungle,Day,ibg_swamplandjungle_001,3310040141.0,path_fly_mid_small_021,2210020141,Drop,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,path_fly_mid_small_050,,2210020141.0,Dash,2210020141.0,Dash,1210010141.0,Dash,3310040241.0,Drop,path_fly_mid_elite1_802,2210020141.0,Dash,2210020141.0,Dash,1210010141.0,Drop,1310020241.0,Drop,path_fly_mid_small_036,,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,path_fly_far_small_034,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,3310040141.0,Drop,path_fly_mid_elite2_808,2210020141.0,Dash,2210020141.0,Dash,1310020241.0,Drop,1310020241.0,Drop,0,42,6,10.0,8.0,0.0,path_fly_mid_small_036,1210010141.0,Drop,1210010141.0,Drop,2210020141.0,Dash,2210020141.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6035004,wave_campaign_normal_016,Defense,90,7,True,True,point_grd_swamplandjungle_004_rightclear,point_fly_swamplandjungle_004_rightclear,sbg_swamplandjungle_004_rightclear,SwamplandJungle,Day,ibg_swamplandjungle_defense_001,,path_grd_far_small_044,3220050141,Dash,3220070141.0,Dash,3220050141.0,Dash,3220070141.0,Dash,path_grd_mid_special_025,8.0,3120010141.0,Drop,3120010141.0,Drop,3220050141.0,Dash,2220040141.0,Dash,path_grd_far_small_038,3220050141.0,Dash,3220070141.0,Drop,3220050141.0,Dash,3220070141.0,Drop,path_grd_mid_elite1_802,2.0,3220050141.0,Dash,3220050141.0,Dash,3220070141.0,Drop,1320030241.0,Drop,path_grd_far_small_053,3220070141.0,Drop,3220050141.0,Dash,3220070141.0,Drop,3220050141.0,Dash,path_fly_mid_special_047,2110010141.0,Jump,2110010141.0,Jump,3210020141.0,Normal,3210020141.0,Normal,0,51,27,10.0,10.0,12.0,path_grd_mid_small_075,3220050141.0,Jump,3220070141.0,Jump,3220050141.0,Jump,3220070141.0,Jump,20,10.0,path_grd_far_elite1_803,3220050141.0,Drop,3220050141.0,Drop,2220040141.0,Jump,3320020241.0,Drop,path_grd_mid_small_037,15.0,3220070141.0,Drop,3220070141.0,Drop,2220040141.0,Drop,2320010241.0,Normal,,,,,,,,,,,
6035005,wave_campaign_normal_016,Defense,90,8,True,True,point_grd_swamplandjungle_004_rightclear,point_fly_swamplandjungle_004_rightclear,sbg_swamplandjungle_004_rightclear,SwamplandJungle,Day,ibg_swamplandjungle_defense_001,,path_fly_mid_elite1_802,1210030141,Dash,1210030141.0,Dash,1210030141.0,Dash,3310040241.0,Dash,path_grd_close_small_060,8.0,3220050141.0,Jump,1220050141.0,Jump,3220050141.0,Jump,1220050141.0,Jump,path_grd_mid_small_043,3220050141.0,Dash,3220050141.0,Dash,3220050141.0,Dash,3220050141.0,Dash,path_fly_mid_elite1_802,4.0,1210030141.0,Dash,1210030141.0,Dash,3210040141.0,Dash,3310040241.0,Dash,path_grd_mid_small_058,3220050141.0,Dash,3220050141.0,Dash,3220050141.0,Dash,3320010241.0,Dash,path_grd_close_small_060,3220050141.0,Jump,1220050141.0,Jump,3220050141.0,Jump,1220050141.0,Jump,12,54,0,,8.0,10.0,path_grd_mid_small_076,3220050141.0,Dash,3220050141.0,Dash,2220040141.0,Normal,2220040141.0,Normal,20,,path_fly_mid_elite1_802,1210030141.0,Dash,1210030141.0,Dash,3210040141.0,Dash,3310040241.0,Dash,path_grd_mid_elite1_802,10.0,3220050141.0,Dash,3220050141.0,Dash,1220050141.0,Dash,3320010241.0,Dash,,,,,,,,,,,
6035006,wave_campaign_normal_016,BaseDefense,60,6,True,True,point_grd_swamplandjungle_002_midclear,point_fly_swamplandjungle_002,sbg_swamplandjungle_002_midclear,SwamplandJungle,Day,ibg_swamplandjungle_basedefense_001,,path_grd_mid_small_043,1220030141,Jump,1220030141.0,Jump,1220030141.0,Jump,1220030141.0,Jump,path_grd_mid_small_055,,3220030141.0,Dash,3220030141.0,Dash,3220030141.0,Dash,3220090141.0,Drop,path_grd_mid_small_012,1220030141.0,Dash,3220020141.0,Dash,1220030141.0,Dash,1220030141.0,Dash,path_grd_mid_elite1_802,3.0,1220030141.0,Dash,3220030141.0,Dash,3220020141.0,Drop,3320040241.0,Drop,path_grd_close_small_045,1220030141.0,Jump,1220030141.0,Jump,1220030141.0,Jump,3220090141.0,Jump,path_grd_mid_small_005,3220030141.0,Dash,3220020141.0,Dash,3220030141.0,Dash,3220020141.0,Dash,6,48,0,,8.0,10.0,path_grd_mid_small_075,1220030141.0,Drop,1220030141.0,Drop,3220090141.0,Drop,1220030141.0,Drop,normal,,path_grd_mid_elite2_805,1220030141.0,Dash,3220030141.0,Dash,3320040241.0,Drop,3320040241.0,Drop,,,,,,,,,,,5.0,,,,,,,,,,
6035007,wave_campaign_normal_016,BaseDefense,60,7,True,True,point_grd_swamplandjungle_002_midclear,point_fly_swamplandjungle_002,sbg_swamplandjungle_002_midclear,SwamplandJungle,Day,ibg_swamplandjungle_basedefense_001,,path_grd_mid_small_055,1220010141,Dash,1220010141.0,Dash,1220010141.0,Dash,1320020241.0,Dash,path_grd_close_small_042,6.0,1220010141.0,Dash,1220050141.0,Dash,1220010141.0,Dash,1220050141.0,Dash,path_grd_mid_small_052,1220030141.0,Jump,1220030141.0,Jump,1220030141.0,Jump,1220050141.0,Jump,path_grd_mid_elite1_802,2.0,1220030141.0,Dash,1220030141.0,Dash,1220050141.0,Drop,2320070241.0,Drop,path_fly_mid_elite2_805,3210040141.0,Drop,1220010141.0,Drop,2210030141.0,Drop,2320070241.0,Drop,path_grd_mid_small_043,1220030141.0,Dash,1220050141.0,Dash,1220030141.0,Dash,1220050141.0,Dash,6,51,0,,5.0,10.0,path_grd_mid_small_075,1220010141.0,Dash,1220050141.0,Dash,1220010141.0,Dash,1220050141.0,Dash,normal,7.0,path_grd_mid_elite1_802,1220010141.0,Jump,1220010141.0,Jump,1220050141.0,Drop,1320020141.0,Drop,,,,,,,,,,,,,,,,,,,,,
6035008,wave_campaign_normal_016,Campaign,90,5,True,False,point_grd_swamplandjungle_003,point_fly_swamplandjungle_003,sbg_swamplandjungle_003,SwamplandJungle,Day,ibg_swamplandjungle_001,2310040141.0,path_fly_mid_small_018,3210020141,Jump,3210020141.0,Jump,3210020141.0,Jump,3210020141.0,Jump,path_grd_mid_elite2_808,,3220050141.0,Drop,2120010141.0,Drop,3220090141.0,Drop,2320030241.0,Drop,path_grd_mid_small_070,2220010141.0,Drop,2220010141.0,Drop,3220020141.0,Drop,2220050141.0,Drop,path_fly_mid_small_033,7.0,3210020141.0,Drop,1110010141.0,Drop,3210020141.0,Drop,3210040141.0,Drop,path_grd_mid_elite2_808,2120010141.0,Drop,2220010141.0,Drop,3220090141.0,Drop,2220050141.0,Drop,path_fly_mid_elite1_802,2210010141.0,Dash,1110010141.0,Dash,1210040141.0,Drop,2310040141.0,Drop,0,44,1,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6035009,wave_campaign_normal_016,Campaign,90,5,True,False,point_grd_swamplandjungle_002,point_fly_swamplandjungle_002,sbg_swamplandjungle_002,SwamplandJungle,Day,ibg_swamplandjungle_001,2310020141.0,path_grd_mid_small_002,1220060141,Dash,1220060141.0,Dash,1220060141.0,Dash,1220060141.0,Dash,path_fly_mid_elite1_802,,2210020141.0,Dash,2210020141.0,Dash,2210040141.0,Drop,2310020241.0,Drop,path_fly_mid_small_039,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,path_fly_mid_small_039,0.0,2210020141.0,Drop,2210020141.0,Drop,2210040141.0,Drop,2210040141.0,Drop,path_fly_mid_elite1_802,2210020141.0,Dash,2210020141.0,Dash,2210040141.0,Drop,2310020141.0,Drop,path_grd_mid_small_043,1220060141.0,Dash,1220060141.0,Dash,1220060141.0,Dash,1220060141.0,Dash,0,42,0,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6035010,wave_campaign_normal_016,Campaign,90,7,True,False,point_grd_swamplandjungle_001,point_fly_swamplandjungle_001,sbg_swamplandjungle_001,SwamplandJungle,Day,ibg_swamplandjungle_001,1320060141.0,path_grd_mid_small_005,1220010141,Dash,1220010141.0,Dash,1220010141.0,Dash,1220010141.0,Dash,path_grd_mid_small_068,5.0,1220010141.0,Drop,1220010141.0,Drop,1220010141.0,Drop,2320020241.0,Drop,path_grd_mid_elite1_802,1220010141.0,Drop,1220010141.0,Drop,1220010141.0,Drop,1320060241.0,Drop,path_grd_mid_small_043,,1220010141.0,Drop,1220010141.0,Drop,1220010141.0,Drop,1220010141.0,Drop,path_grd_mid_elite2_805,1220010141.0,Dash,1220010141.0,Dash,2320020241.0,Drop,1320060141.0,Drop,path_grd_mid_small_043,1220010141.0,Dash,1220010141.0,Dash,1220010141.0,Dash,1220010141.0,Dash,6,42,0,10.0,,0.0,path_grd_close_small_067,1220010141.0,Dash,1220010141.0,Dash,1220010141.0,Dash,2320020241.0,Drop,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
