stage_id,group_id,spot_mod,battle_time,monster_count,use_intro_scene,wave_repeat,point_data,point_data_fly,background_name,theme,theme_time,stage_info_bg,target_list/0,wave_data/0/wave_path,wave_data/0/wave_monster_list/0/wave_monster_id,wave_data/0/wave_monster_list/0/spawn_type,wave_data/0/wave_monster_list/1/wave_monster_id,wave_data/0/wave_monster_list/1/spawn_type,wave_data/0/wave_monster_list/2/wave_monster_id,wave_data/0/wave_monster_list/2/spawn_type,wave_data/0/wave_monster_list/3/wave_monster_id,wave_data/0/wave_monster_list/3/spawn_type,wave_data/1/wave_path,wave_data/1/private_monster_count,wave_data/1/wave_monster_list/0/wave_monster_id,wave_data/1/wave_monster_list/0/spawn_type,wave_data/1/wave_monster_list/1/wave_monster_id,wave_data/1/wave_monster_list/1/spawn_type,wave_data/1/wave_monster_list/2/wave_monster_id,wave_data/1/wave_monster_list/2/spawn_type,wave_data/1/wave_monster_list/3/wave_monster_id,wave_data/1/wave_monster_list/3/spawn_type,wave_data/2/wave_path,wave_data/2/private_monster_count,wave_data/2/wave_monster_list/0/wave_monster_id,wave_data/2/wave_monster_list/0/spawn_type,wave_data/2/wave_monster_list/1/wave_monster_id,wave_data/2/wave_monster_list/1/spawn_type,wave_data/2/wave_monster_list/2/wave_monster_id,wave_data/2/wave_monster_list/2/spawn_type,wave_data/2/wave_monster_list/3/wave_monster_id,wave_data/2/wave_monster_list/3/spawn_type,wave_data/3/wave_path,wave_data/3/private_monster_count,wave_data/3/wave_monster_list/0/wave_monster_id,wave_data/3/wave_monster_list/0/spawn_type,wave_data/3/wave_monster_list/1/wave_monster_id,wave_data/3/wave_monster_list/1/spawn_type,wave_data/3/wave_monster_list/2/wave_monster_id,wave_data/3/wave_monster_list/2/spawn_type,wave_data/3/wave_monster_list/3/wave_monster_id,wave_data/3/wave_monster_list/3/spawn_type,wave_data/4/wave_path,wave_data/4/private_monster_count,wave_data/4/wave_monster_list/0/wave_monster_id,wave_data/4/wave_monster_list/0/spawn_type,wave_data/4/wave_monster_list/1/wave_monster_id,wave_data/4/wave_monster_list/1/spawn_type,wave_data/4/wave_monster_list/2/wave_monster_id,wave_data/4/wave_monster_list/2/spawn_type,wave_data/4/wave_monster_list/3/wave_monster_id,wave_data/4/wave_monster_list/3/spawn_type,close_monster_count,mid_monster_count,far_monster_count,wave_data/5/wave_path,wave_data/5/private_monster_count,wave_data/5/wave_monster_list/0/wave_monster_id,wave_data/5/wave_monster_list/0/spawn_type,wave_data/5/wave_monster_list/1/wave_monster_id,wave_data/5/wave_monster_list/1/spawn_type,wave_data/5/wave_monster_list/2/wave_monster_id,wave_data/5/wave_monster_list/2/spawn_type,wave_data/5/wave_monster_list/3/wave_monster_id,wave_data/5/wave_monster_list/3/spawn_type,wave_data/6/wave_path,wave_data/6/private_monster_count,wave_data/6/wave_monster_list/0/wave_monster_id,wave_data/6/wave_monster_list/0/spawn_type,wave_data/6/wave_monster_list/1/wave_monster_id,wave_data/6/wave_monster_list/1/spawn_type,wave_data/6/wave_monster_list/2/wave_monster_id,wave_data/6/wave_monster_list/2/spawn_type,wave_data/6/wave_monster_list/3/wave_monster_id,wave_data/6/wave_monster_list/3/spawn_type,wave_data/7/wave_path,wave_data/7/private_monster_count,wave_data/7/wave_monster_list/0/wave_monster_id,wave_data/7/wave_monster_list/0/spawn_type,wave_data/7/wave_monster_list/1/wave_monster_id,wave_data/7/wave_monster_list/1/spawn_type,wave_data/7/wave_monster_list/2/wave_monster_id,wave_data/7/wave_monster_list/2/spawn_type,wave_data/7/wave_monster_list/3/wave_monster_id,wave_data/7/wave_monster_list/3/spawn_type,mod_value,wave_data/8/wave_path,wave_data/8/private_monster_count,wave_data/8/wave_monster_list/0/wave_monster_id,wave_data/8/wave_monster_list/0/spawn_type,wave_data/8/wave_monster_list/1/wave_monster_id,wave_data/8/wave_monster_list/1/spawn_type,wave_data/8/wave_monster_list/2/wave_monster_id,wave_data/8/wave_monster_list/2/spawn_type,wave_data/8/wave_monster_list/3/wave_monster_id,wave_data/8/wave_monster_list/3/spawn_type,wave_data/9/wave_path,wave_data/9/wave_monster_list/0/wave_monster_id,wave_data/9/wave_monster_list/0/spawn_type,wave_data/9/wave_monster_list/1/wave_monster_id,wave_data/9/wave_monster_list/1/spawn_type,wave_data/9/wave_monster_list/2/wave_monster_id,wave_data/9/wave_monster_list/2/spawn_type,wave_data/9/wave_monster_list/3/wave_monster_id,wave_data/9/wave_monster_list/3/spawn_type
6007001,wave_campaign_normal_003,Campaign,90,5,True,False,point_grd_iceland_005,point_fly_iceland_005,sbg_iceland_005,IceLand,Day,ibg_iceland_001,3310010141.0,path_fly_mid_small_018,3210010141,Drop,3210010141.0,Drop,3110010141.0,Dash,3110010141.0,Dash,path_fly_mid_small_005,6.0,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,1310020241.0,Dash,path_grd_close_small_039,3.0,3220030141.0,Dash,3220030141.0,Dash,3220030141.0,Dash,3220030141.0,Dash,path_fly_mid_elite1_802,0.0,3210010141.0,Drop,3210010141.0,Drop,3210030141.0,Drop,3310010141.0,Drop,path_fly_mid_small_024,7.0,2210020141.0,Jump,2210020141.0,Jump,2210020141.0,Jump,2210020141.0,Jump,6,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007002,wave_campaign_normal_003,Campaign,90,5,True,False,point_grd_iceland_003,point_fly_iceland_003,sbg_iceland_003,IceLand,Day,ibg_iceland_001,3320050141.0,path_grd_close_small_067,3220040141,Dash,3220040141.0,Dash,3220060141.0,Drop,2320020241.0,Drop,path_grd_mid_small_070,6.0,3220060141.0,Dash,3220060141.0,Dash,3220060141.0,Dash,2220050141.0,Dash,path_grd_mid_special_065,,2120010141.0,Dash,2120010141.0,Dash,3220060141.0,Drop,3220060141.0,Drop,path_grd_close_elite1_801,0.0,3220060141.0,Dash,3220060141.0,Dash,3220060141.0,Drop,3320050141.0,Drop,path_grd_mid_small_043,,3220060141.0,Dash,3220060141.0,Dash,3220060141.0,Dash,3220060141.0,Dash,15,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007003,wave_campaign_normal_003,Campaign,90,7,True,False,point_grd_iceland_006,point_fly_iceland_006,sbg_iceland_006,IceLand,Day,ibg_iceland_001,1310020141.0,path_fly_close_special_044,2110010141,Drop,2110010141.0,Drop,2110010141.0,Drop,2210030141.0,Drop,path_grd_mid_elite2_805,10.0,2220030141.0,Dash,2220030141.0,Dash,2320050241.0,Drop,2320050241.0,Drop,path_fly_mid_small_053,,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,1210040141.0,Dash,path_fly_close_small_029,,2210020141.0,Jump,2210020141.0,Jump,2210020141.0,Jump,2210020141.0,Jump,path_fly_mid_elite1_802,0.0,2210020141.0,Dash,2210020141.0,Dash,3210030141.0,Drop,1310020141.0,Drop,36,24,0,path_grd_close_elite1_801,10.0,2220030141.0,Jump,2220030141.0,Jump,2220040141.0,Drop,3320040241.0,Drop,path_fly_close_small_029,5.0,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,2210020141.0,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007004,wave_campaign_normal_003,Campaign,90,5,True,False,point_grd_iceland_001,point_fly_iceland_001,sbg_iceland_001,IceLand,Day,ibg_iceland_001,3320070141.0,path_grd_mid_special_025,3120010141,Drop,3120010141.0,Drop,3120010141.0,Drop,3120010141.0,Drop,path_grd_close_small_067,12.0,1220040141.0,Dash,1220040141.0,Dash,1220040141.0,Dash,2320020241.0,Drop,path_grd_mid_special_065,,1120010141.0,Dash,1120010141.0,Dash,1120010141.0,Dash,1120010141.0,Dash,path_grd_mid_special_025,0.0,1120010141.0,Drop,1120010141.0,Drop,2220040141.0,Drop,3320070141.0,Drop,path_grd_mid_small_046,13.0,1220040141.0,Drop,1220040141.0,Drop,1220040141.0,Drop,1220040141.0,Drop,6,66,0,path_fly_mid_special_047,6.0,2110010141.0,Dash,2110010141.0,Dash,2110010141.0,Dash,2110010141.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007005,wave_campaign_normal_003,Campaign,90,5,True,False,point_grd_iceland_005,point_fly_iceland_005,sbg_iceland_005,IceLand,Day,ibg_iceland_001,3320060141.0,path_grd_close_small_007,2120010141,Drop,2120010141.0,Drop,2120010141.0,Drop,3320060241.0,Drop,path_fly_mid_small_036,6.0,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Dash,path_fly_close_special_044,6.0,3210040141.0,Drop,3210040141.0,Drop,3210040141.0,Drop,3210030141.0,Drop,path_grd_mid_elite1_802,0.0,2120010141.0,Dash,2120010141.0,Dash,1220050141.0,Drop,3320060141.0,Drop,path_fly_close_special_046,6.0,2110010141.0,Dash,2110010141.0,Dash,2110010141.0,Dash,3210030141.0,Dash,36,21,0,path_fly_mid_small_036,3.0,3210040141.0,Dash,3210020141.0,Dash,3210020141.0,Dash,3210020141.0,Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6007006,wave_campaign_normal_003,Campaign,90,7,True,False,point_grd_iceland_002,point_fly_iceland_002,sbg_iceland_002,IceLand,Day,ibg_iceland_001,1320030141.0,path_grd_close_small_001,3220050141,Dash,3220050141.0,Dash,3220050141.0,Drop,3220020141.0,Drop,path_grd_mid_special_065,,1220020141.0,Dash,1220020141.0,Dash,3220050141.0,Drop,3320040241.0,Drop,path_grd_close_small_042,,2220010141.0,Dash,2220010141.0,Dash,2220010141.0,Dash,2220010141.0,Dash,path_grd_mid_special_025,12.0,3220050141.0,Jump,3220050141.0,Jump,2220010141.0,Drop,3220020141.0,Drop,path_grd_close_elite2_807,0.0,2220010141.0,Jump,2220010141.0,Jump,2320020241.0,Drop,1320030141.0,Drop,0,77,10,path_grd_mid_special_065,9.0,1220020141.0,Dash,1220020141.0,Dash,2220010141.0,Drop,3220020141.0,Drop,path_grd_close_small_048,9.0,3220050141.0,Drop,3220050141.0,Drop,3220050141.0,Drop,3220050141.0,Drop,path_grd_mid_special_065,10.0,1220020141.0,Jump,1220020141.0,Jump,2220010141.0,Drop,3220020141.0,Drop,,,,,,,,,,,,,,,,,,,,
6007007,wave_campaign_normal_003,Defense,90,7,True,True,point_grd_iceland_001_rightclear,point_fly_iceland_001_rightclear,sbg_iceland_001_rightclear,IceLand,Day,ibg_iceland_defense_001,,path_grd_close_small_039,3220050141,Normal,3220050141.0,Normal,3220020141.0,Normal,2220050141.0,Normal,path_grd_mid_small_075,12.0,3220010141.0,Jump,3220010141.0,Jump,3220010141.0,Jump,3220020141.0,Jump,path_grd_close_special_064,,3120010141.0,Jump,3120010141.0,Jump,3220050141.0,Dash,3220050141.0,Dash,path_grd_mid_elite1_802,16.0,3220020141.0,Jump,3220020141.0,Jump,2220040141.0,Drop,1320060241.0,Drop,path_grd_mid_small_076,16.0,3220010141.0,Dash,3220010141.0,Dash,3220010141.0,Dash,3220020141.0,Dash,27,45,0,path_grd_close_small_048,,3220050141.0,Drop,2220050141.0,Drop,3220050141.0,Drop,2220050141.0,Drop,path_fly_mid_special_047,9.0,3110010141.0,Jump,3110010141.0,Jump,3210030141.0,Dash,3210030141.0,Dash,path_grd_mid_elite1_802,22.0,2220010141.0,Dash,2220010141.0,Dash,2220040141.0,Normal,1320060141.0,Normal,20,,,,,,,,,,,,,,,,,,,
6007008,wave_campaign_normal_003,Defense,90,20,True,True,point_grd_iceland_001_rightclear,point_fly_iceland_001_rightclear,sbg_iceland_001_rightclear,IceLand,Day,ibg_iceland_defense_001,,path_grd_close_special_064,1120010141,Dash,1120010141.0,Dash,2220010141.0,Dash,2220010141.0,Dash,path_fly_mid_special_016,20.0,1110010141.0,Drop,1110010141.0,Drop,1210020141.0,Normal,1210020141.0,Normal,path_grd_mid_special_025,,3120010141.0,Drop,3120010141.0,Drop,3220060141.0,Drop,2220050141.0,Drop,path_fly_mid_special_047,9.0,2110010141.0,Dash,2110010141.0,Dash,1210020141.0,Normal,1310020241.0,Normal,path_grd_close_special_024,,3120010141.0,Dash,3120010141.0,Dash,3220060141.0,Dash,2220050141.0,Dash,45,51,15,path_grd_far_special_066,,1120010141.0,Drop,1120010141.0,Drop,1120010141.0,Drop,1120010141.0,Drop,path_grd_mid_small_075,14.0,2220010141.0,Jump,3220060141.0,Jump,2220010141.0,Jump,3220060141.0,Jump,path_grd_close_special_024,,2120010141.0,Jump,2120010141.0,Jump,3220060141.0,Normal,2320010141.0,Normal,20,,,,,,,,,,,,,,,,,,,
6007009,wave_campaign_normal_003,Defense,90,7,True,True,point_grd_iceland_001_rightclear,point_fly_iceland_001_rightclear,sbg_iceland_001_rightclear,IceLand,Day,ibg_iceland_defense_001,,path_grd_mid_elite3_811,3220020141,Normal,3320040141.0,Normal,3320040141.0,Normal,3320040141.0,Normal,path_fly_mid_small_008,10.0,2210020141.0,Dash,2210020141.0,Dash,1210040141.0,Dash,2310030241.0,Dash,path_grd_mid_elite1_802,10.0,3220020141.0,Drop,3220020141.0,Drop,2220050141.0,Drop,2320040241.0,Normal,path_fly_close_elite1_801,10.0,2210020141.0,Dash,2210020141.0,Dash,1210040141.0,Jump,2310030241.0,Drop,path_grd_close_elite2_804,6.0,3220020141.0,Normal,3220020141.0,Normal,3320040141.0,Jump,3320040141.0,Jump,18,30,0,path_grd_mid_small_040,14.0,3220020141.0,Drop,2220050141.0,Drop,3220020141.0,Drop,2320040241.0,Normal,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,
6007010,wave_campaign_normal_003,BaseDefense,60,6,True,True,point_grd_iceland_007_midclear,point_fly_iceland_007,sbg_iceland_007_midclear,IceLand,Day,ibg_iceland_basedefense_001,,path_grd_close_small_036,2220020141,Dash,2220020141.0,Dash,2220020141.0,Dash,2220050141.0,Dash,path_grd_mid_small_040,,1220040141.0,Dash,1220040141.0,Dash,1220040141.0,Dash,3220020141.0,Dash,path_grd_mid_small_052,,2220020141.0,Dash,1220040141.0,Jump,2220020141.0,Dash,1220040141.0,Jump,path_grd_mid_elite1_802,3.0,1220040141.0,Jump,1220040141.0,Jump,3220020141.0,Drop,2320060241.0,Drop,path_grd_mid_small_070,,1220040141.0,Dash,1220040141.0,Dash,1220040141.0,Dash,3220020141.0,Jump,6,57,0,path_grd_mid_special_065,8.0,2120010141.0,Dash,2120010141.0,Dash,2220020141.0,Drop,3220020141.0,Drop,path_grd_mid_small_075,5.0,2220020141.0,Jump,2220020141.0,Jump,2220020141.0,Jump,3220020141.0,Jump,path_fly_mid_elite2_805,7.0,2210020141.0,Dash,2210020141.0,Dash,2210020141.0,Drop,1310010141.0,Drop,normal,,,,,,,,,,,,,,,,,,,
